# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000413	6
300	0.000697	4
500	0.001053	0
700	0.001484	0
900	0.001988	0
1100	0.002565	0
1300	0.003216	0
1500	0.003941	5
1700	0.004739	3
1900	0.005611	0
2100	0.006556	0
2300	0.007575	0
2500	0.008667	0
2700	0.009833	0
2900	0.011072	1
3100	0.012385	0
3300	0.013772	0
3500	0.015232	0
3700	0.016765	0
3900	0.018373	0
4100	0.020053	0
4300	0.021808	1
4500	0.023635	1
4700	0.025537	0
4900	0.027512	0
5100	0.029560	0
5300	0.031682	0
5500	0.033878	0
5700	0.036147	0
5900	0.038489	0
6100	0.040905	0
6300	0.043395	0
6500	0.045958	0
6700	0.048595	0
6900	0.051306	0
7100	0.054090	0
7300	0.056947	0
7500	0.059878	0
7700	0.062883	0
7900	0.065961	0
8100	0.069112	0
8300	0.072338	0
8500	0.075636	0
8700	0.079009	0
8900	0.082454	0
9100	0.085974	0
9300	0.089567	0
9500	0.093233	0
9700	0.096973	0
9900	0.100787	0
10100	0.104674	0
10300	0.108635	0
10500	0.112669	0
10700	0.116777	0
10900	0.120958	0
11100	0.125213	0
11300	0.129541	0
11500	0.133943	0
11700	0.138419	0
11900	0.142968	0
12100	0.147590	0
12300	0.152286	0
12500	0.157056	0
12700	0.161899	0
12900	0.166816	0
13100	0.171807	0
13300	0.176870	0
13500	0.182008	0
13700	0.187219	0
13900	0.192503	0
14100	0.197861	0
14300	0.203293	0
14500	0.208798	0
14700	0.214377	0
14900	0.220029	0
15100	0.225755	0
15300	0.231554	0
15500	0.237427	0
15700	0.243374	0
15900	0.249394	0
16100	0.255487	0
16300	0.261654	0
16500	0.267895	0
16700	0.274209	0
16900	0.280597	0
17100	0.287058	0
17300	0.293593	1
17500	0.300201	0
17700	0.306883	0
17900	0.313639	0
18100	0.320468	0
18300	0.327370	0
18500	0.334346	0
18700	0.341396	0
18900	0.348519	0
19100	0.355716	0
19300	0.362986	0
