# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000229	0
300	0.000449	73
500	0.000742	1
700	0.001110	0
900	0.001550	0
1100	0.002065	0
1300	0.002652	4
1500	0.003314	6
1700	0.004049	10
1900	0.004857	0
2100	0.005739	0
2300	0.006695	0
2500	0.007724	1
2700	0.008826	0
2900	0.010002	0
3100	0.011252	1
3300	0.012575	0
3500	0.013972	0
3700	0.015442	0
3900	0.016986	0
4100	0.018603	0
4300	0.020294	0
4500	0.022059	0
4700	0.023897	0
4900	0.025808	1
5100	0.027793	1
5300	0.029852	0
5500	0.031984	1
5700	0.034190	0
5900	0.036469	1
6100	0.038822	0
6300	0.041248	0
6500	0.043748	0
6700	0.046321	0
6900	0.048968	0
7100	0.051688	0
7300	0.054482	0
7500	0.057350	0
7700	0.060291	0
7900	0.063306	0
8100	0.066394	0
8300	0.069555	0
8500	0.072791	0
8700	0.076099	0
8900	0.079482	0
9100	0.082938	0
9300	0.086467	0
9500	0.090070	0
9700	0.093746	0
9900	0.097496	0
10100	0.101320	0
10300	0.105217	0
10500	0.109187	0
10700	0.113232	0
10900	0.117349	1
11100	0.121541	0
11300	0.125805	0
11500	0.130144	0
11700	0.134555	0
11900	0.139041	0
12100	0.143600	0
12300	0.148232	0
12500	0.152938	0
12700	0.157718	1
12900	0.162571	0
13100	0.167497	0
13300	0.172497	0
13500	0.177571	0
13700	0.182718	1
13900	0.187939	0
14100	0.193233	0
14300	0.198601	0
14500	0.204043	0
14700	0.209558	0
14900	0.215146	1
15100	0.220808	0
15300	0.226544	0
15500	0.232353	0
15700	0.238235	0
15900	0.244191	0
16100	0.250221	0
16300	0.256324	0
16500	0.262501	0
16700	0.268751	0
16900	0.275075	0
17100	0.281473	0
17300	0.287944	0
17500	0.294488	1
17700	0.301106	0
17900	0.307798	0
18100	0.314563	0
18300	0.321401	1
18500	0.328313	0
18700	0.335299	0
18900	0.342358	1
19100	0.349491	1
19300	0.356698	0
19500	0.363977	0
19700	0.371331	0
19900	0.378758	1
20100	0.386258	1
20300	0.393832	0
20500	0.401480	0
20700	0.409201	0
20900	0.416995	0
21100	0.424864	0
21300	0.432805	0
21500	0.440821	0
21700	0.448909	0
21900	0.457072	0
22100	0.465307	0
22300	0.473617	0
22500	0.482000	0
22700	0.490456	0
22900	0.498986	0
23100	0.507590	0
23300	0.516267	0
23500	0.525018	0
23700	0.533842	0
23900	0.542739	0
24100	0.551711	0
24300	0.560755	0
24500	0.569874	0
24700	0.579066	0
24900	0.588331	0
25100	0.597670	1
25300	0.607083	0
25500	0.616569	0
25700	0.626128	0
25900	0.635761	0
26100	0.645468	4
26300	0.655248	7
26500	0.665102	0
26700	0.675029	0
26900	0.685030	0
27100	0.695104	1
27300	0.705252	0
27500	0.715473	0
27700	0.725768	0
27900	0.736137	0
28100	0.746579	0
28300	0.757094	0
28500	0.767683	0
28700	0.778346	1
28900	0.789082	0
29100	0.799892	0
29300	0.810775	0
29500	0.821732	0
29700	0.832762	0
29900	0.843866	0
30100	0.855044	0
30300	0.866295	0
30500	0.877619	0
30700	0.889017	0
30900	0.900489	1
31100	0.912034	0
31300	0.923652	1
31500	0.935345	5
31700	0.947110	7
31900	0.958950	87
32100	0.970862	205
32300	0.982849	157
32500	0.994909	212
32700	1.007042	4025309
32900	1.019249	8862
33100	1.031530	200
33300	1.043884	102
33500	1.056311	74
33700	1.068812	49
33900	1.081387	43
34100	1.094035	58
34300	1.106757	50
34500	1.119552	58
34700	1.132421	40
34900	1.145363	36
35100	1.158379	27
35300	1.171469	13
35500	1.184632	10
35700	1.197868	12
35900	1.211178	5
36100	1.224562	14
36300	1.238019	9
36500	1.251549	6
36700	1.265154	14
36900	1.278831	5
37100	1.292583	5
37300	1.306407	4
37500	1.320306	2
37700	1.334278	7
37900	1.348323	4
38100	1.362442	3
38300	1.376635	2
38500	1.390901	4
38700	1.405240	4
38900	1.419653	3
39100	1.434140	0
39300	1.448700	0
39500	1.463334	3
39700	1.478041	2
39900	1.492822	2
40100	1.507676	1
40300	1.522604	4
40500	1.537606	2
40700	1.552681	0
40900	1.567829	1
41100	1.583051	1
41300	1.598347	1
41500	1.613716	3
41700	1.629159	0
41900	1.644675	0
42100	1.660265	0
42300	1.675928	2
42500	1.691665	0
42700	1.707475	0
42900	1.723359	3
43100	1.739316	1
43300	1.755347	2
43500	1.771452	2
43700	1.787630	1
43900	1.803882	0
44100	1.820207	0
44300	1.836605	1
44500	1.853078	2
44700	1.869623	1
