# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000244	0
300	0.000469	56
500	0.000766	3
700	0.001135	0
900	0.001577	1
1100	0.002092	1
1300	0.002679	1
1500	0.003338	10
1700	0.004070	2
1900	0.004875	0
2100	0.005752	0
2300	0.006702	0
2500	0.007724	1
2700	0.008818	0
2900	0.009986	1
3100	0.011225	0
3300	0.012538	0
3500	0.013922	0
3700	0.015380	0
3900	0.016909	0
4100	0.018512	0
4300	0.020187	0
4500	0.021934	0
4700	0.023754	1
4900	0.025646	0
5100	0.027611	0
5300	0.029648	0
5500	0.031758	1
5700	0.033941	0
5900	0.036196	0
6100	0.038523	0
6300	0.040923	1
6500	0.043396	0
6700	0.045941	0
6900	0.048559	0
7100	0.051249	0
7300	0.054011	0
7500	0.056846	0
7700	0.059754	0
7900	0.062734	0
8100	0.065787	0
8300	0.068912	0
8500	0.072110	0
8700	0.075380	0
8900	0.078723	0
9100	0.082138	0
9300	0.085626	0
9500	0.089186	0
9700	0.092819	0
9900	0.096524	0
10100	0.100302	0
10300	0.104153	0
10500	0.108076	0
10700	0.112071	0
10900	0.116139	0
11100	0.120280	0
11300	0.124492	0
11500	0.128778	0
11700	0.133136	0
11900	0.137567	0
12100	0.142070	0
12300	0.146645	0
12500	0.151293	0
12700	0.156014	0
12900	0.160807	0
13100	0.165673	0
13300	0.170611	0
13500	0.175622	0
13700	0.180705	0
13900	0.185861	0
14100	0.191089	0
14300	0.196390	0
14500	0.201763	0
14700	0.207209	0
14900	0.212727	0
15100	0.218318	0
15300	0.223981	0
15500	0.229717	0
15700	0.235526	0
15900	0.241407	0
16100	0.247360	0
16300	0.253386	0
16500	0.259485	0
16700	0.265656	0
16900	0.271899	0
17100	0.278215	0
17300	0.284604	0
17500	0.291065	0
17700	0.297598	0
17900	0.304205	0
18100	0.310883	0
18300	0.317634	0
18500	0.324458	0
18700	0.331354	0
18900	0.338323	0
19100	0.345364	0
19300	0.352478	0
19500	0.359664	0
19700	0.366923	0
19900	0.374254	0
20100	0.381658	0
20300	0.389134	0
20500	0.396683	0
20700	0.404305	0
20900	0.411999	0
21100	0.419765	0
21300	0.427604	0
21500	0.435516	0
21700	0.443499	0
21900	0.451556	0
22100	0.459685	0
22300	0.467887	0
22500	0.476161	0
22700	0.484507	0
22900	0.492926	0
23100	0.501418	0
23300	0.509982	0
23500	0.518619	0
23700	0.527328	0
23900	0.536110	0
24100	0.544964	0
24300	0.553891	0
24500	0.562890	0
24700	0.571962	0
24900	0.581106	0
25100	0.590323	0
25300	0.599612	0
25500	0.608974	0
25700	0.618408	0
25900	0.627915	0
26100	0.637495	0
26300	0.647146	0
26500	0.656871	0
26700	0.666668	0
26900	0.676537	0
27100	0.686479	0
27300	0.696494	0
27500	0.706581	0
27700	0.716740	0
27900	0.726973	0
28100	0.737277	0
28300	0.747654	0
28500	0.758104	0
28700	0.768626	0
28900	0.779221	0
29100	0.789888	0
29300	0.800628	0
29500	0.811440	0
29700	0.822325	1
29900	0.833282	0
30100	0.844312	0
30300	0.855414	0
30500	0.866589	0
30700	0.877836	0
30900	0.889156	0
31100	0.900548	1
31300	0.912013	1
31500	0.923551	0
31700	0.935161	0
31900	0.946843	1
32100	0.958598	2
32300	0.970426	7
32500	0.982326	68
32700	0.994298	111
32900	1.006343	739892
33100	1.018461	2060
33300	1.030651	55
33500	1.042913	38
33700	1.055249	22
33900	1.067656	24
34100	1.080136	18
34300	1.092689	12
34500	1.105314	9
34700	1.118012	11
34900	1.130782	12
35100	1.143625	1
35300	1.156540	6
35500	1.169528	4
35700	1.182588	3
35900	1.195721	4
36100	1.208927	1
36300	1.222204	5
36500	1.235555	6
36700	1.248978	1
36900	1.262473	3
37100	1.276041	2
37300	1.289682	2
37500	1.303395	0
37700	1.317180	1
37900	1.331038	0
38100	1.344969	1
38300	1.358972	1
38500	1.373047	0
38700	1.387196	2
38900	1.401416	1
39100	1.415709	2
39300	1.430075	1
39500	1.444513	0
39700	1.459024	1
39900	1.473607	0
40100	1.488263	0
40300	1.502991	2
40500	1.517792	1
40700	1.532665	0
40900	1.547611	3
41100	1.562629	0
41300	1.577720	1
41500	1.592883	0
41700	1.608119	0
41900	1.623428	0
42100	1.638809	0
42300	1.654262	0
42500	1.669788	0
42700	1.685387	1
42900	1.701058	1
43100	1.716801	2
43300	1.732617	0
43500	1.748506	0
43700	1.764467	1
43900	1.780500	0
44100	1.796607	0
44300	1.812785	0
44500	1.829036	0
44700	1.845360	0
44900	1.861756	0
45100	1.878225	0
45300	1.894766	0
45500	1.911380	0
45700	1.928066	0
45900	1.944825	1
46100	1.961656	0
46300	1.978560	0
46500	1.995537	0
46700	2.012585	57
46900	2.029707	0
47100	2.046901	0
47300	2.064167	0
47500	2.081506	0
47700	2.098918	0
47900	2.116402	0
48100	2.133958	0
48300	2.151587	0
48500	2.169289	0
48700	2.187063	0
48900	2.204909	0
49100	2.222828	1
49300	2.240820	0
49500	2.258884	0
49700	2.277021	0
49900	2.295230	0
50100	2.313512	0
50300	2.331866	0
50500	2.350293	0
50700	2.368792	0
50900	2.387364	0
51100	2.406008	0
51300	2.424725	0
51500	2.443514	0
51700	2.462376	0
51900	2.481310	0
52100	2.500317	0
52300	2.519397	0
52500	2.538548	0
52700	2.557773	1
52900	2.577070	0
53100	2.596439	0
53300	2.615881	0
53500	2.635396	0
53700	2.654983	0
53900	2.674642	0
54100	2.694374	0
54300	2.714179	0
54500	2.734056	0
54700	2.754006	0
54900	2.774028	0
55100	2.794123	0
55300	2.814290	0
55500	2.834530	2
55700	2.854842	0
55900	2.875227	0
56100	2.895684	0
56300	2.916214	0
56500	2.936816	0
56700	2.957491	0
56900	2.978238	0
57100	2.999058	0
57300	3.019950	0
57500	3.040915	0
57700	3.061953	1
57900	3.083063	0
58100	3.104245	0
58300	3.125500	0
58500	3.146827	0
58700	3.168227	0
58900	3.189700	0
59100	3.211245	0
59300	3.232863	0
59500	3.254553	0
59700	3.276315	1
59900	3.298150	0
60100	3.320058	0
60300	3.342038	0
60500	3.364091	2
60700	3.386216	0
60900	3.408414	0
61100	3.430684	0
61300	3.453027	0
61500	3.475442	0
61700	3.497930	0
61900	3.520490	1
62100	3.543123	0
62300	3.565829	0
62500	3.588606	0
62700	3.611457	0
62900	3.634380	0
63100	3.657375	0
63300	3.680443	1
63500	3.703584	4
63700	3.726797	0
63900	3.750082	1
64100	3.773440	0
64300	3.796871	0
64500	3.820374	1
64700	3.843949	0
64900	3.867597	0
65100	3.891318	0
65300	3.915111	0
65500	3.938977	0
65700	3.962915	0
65900	3.986926	0
66100	4.011009	0
66300	4.035165	0
66500	4.059393	1
66700	4.083694	0
66900	4.108067	0
67100	4.132513	0
67300	4.157031	0
67500	4.181622	0
67700	4.206285	0
