# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000402	2
300	0.000679	21
500	0.001030	0
700	0.001452	1
900	0.001947	0
1100	0.002515	0
1300	0.003155	4
1500	0.003868	4
1700	0.004653	2
1900	0.005511	1
2100	0.006441	0
2300	0.007444	1
2500	0.008519	0
2700	0.009667	0
2900	0.010887	0
3100	0.012180	0
3300	0.013545	0
3500	0.014983	0
3700	0.016493	0
3900	0.018076	0
4100	0.019731	0
4300	0.021459	0
4500	0.023259	0
4700	0.025132	0
4900	0.027078	0
5100	0.029095	0
5300	0.031186	0
5500	0.033349	0
5700	0.035584	0
5900	0.037892	1
6100	0.040272	0
6300	0.042725	0
6500	0.045251	0
6700	0.047849	0
6900	0.050519	0
7100	0.053262	0
7300	0.056077	0
7500	0.058965	0
7700	0.061926	0
7900	0.064959	0
8100	0.068064	0
8300	0.071242	0
8500	0.074493	0
8700	0.077816	0
8900	0.081211	0
9100	0.084679	0
9300	0.088220	1
9500	0.091833	0
9700	0.095518	0
9900	0.099276	0
10100	0.103107	0
10300	0.107010	0
10500	0.110985	0
10700	0.115033	0
10900	0.119154	0
11100	0.123347	0
11300	0.127613	0
11500	0.131951	0
11700	0.136361	0
11900	0.140845	0
12100	0.145400	0
12300	0.150028	0
12500	0.154729	0
12700	0.159502	0
12900	0.164348	0
13100	0.169266	0
13300	0.174257	0
13500	0.179320	0
13700	0.184456	0
13900	0.189664	0
14100	0.194944	0
14300	0.200298	0
14500	0.205723	0
14700	0.211222	0
14900	0.216792	0
15100	0.222436	0
15300	0.228151	0
15500	0.233940	0
15700	0.239801	0
15900	0.245734	0
16100	0.251740	0
16300	0.257818	0
16500	0.263969	0
16700	0.270192	0
16900	0.276488	0
17100	0.282856	0
17300	0.289297	0
17500	0.295810	0
17700	0.302396	0
17900	0.309055	0
18100	0.315786	0
18300	0.322589	0
18500	0.329465	0
18700	0.336413	0
18900	0.343434	0
19100	0.350528	0
19300	0.357693	0
19500	0.364932	0
19700	0.372243	0
19900	0.379626	0
20100	0.387082	0
20300	0.394611	0
20500	0.402212	0
20700	0.409885	0
20900	0.417631	0
21100	0.425450	0
21300	0.433341	0
21500	0.441304	0
21700	0.449340	0
21900	0.457449	0
22100	0.465630	0
22300	0.473883	0
22500	0.482209	0
22700	0.490608	0
22900	0.499079	0
23100	0.507623	0
23300	0.516239	0
23500	0.524927	0
23700	0.533689	0
23900	0.542522	0
24100	0.551428	0
24300	0.560407	0
24500	0.569458	0
24700	0.578582	0
24900	0.587778	0
25100	0.597047	0
25300	0.606388	0
25500	0.615801	0
25700	0.625288	0
25900	0.634846	0
26100	0.644477	0
26300	0.654181	0
26500	0.663957	0
26700	0.673806	0
26900	0.683727	0
27100	0.693721	0
27300	0.703787	0
27500	0.713926	0
27700	0.724137	0
27900	0.734421	0
28100	0.744778	0
28300	0.755206	0
28500	0.765708	0
28700	0.776281	0
28900	0.786928	0
29100	0.797647	0
29300	0.808438	0
29500	0.819302	0
29700	0.830238	0
29900	0.841247	0
30100	0.852328	0
30300	0.863482	0
30500	0.874709	0
30700	0.886008	0
30900	0.897379	3
31100	0.908823	2
31300	0.920339	99
31500	0.931928	7
31700	0.943590	7
31900	0.955324	9
32100	0.967130	6
32300	0.979009	14
32500	0.990961	106
32700	1.002985	310751
32900	1.015081	45286
33100	1.027250	66
33300	1.039492	30
33500	1.051806	26
33700	1.064192	16
33900	1.076651	16
34100	1.089183	10
34300	1.101787	6
34500	1.114463	2
34700	1.127212	3
34900	1.140034	5
35100	1.152928	2
35300	1.165895	0
35500	1.178934	0
35700	1.192045	2
35900	1.205229	5
36100	1.218486	2
36300	1.231815	1
36500	1.245217	0
36700	1.258691	0
36900	1.272238	1
37100	1.285857	1
37300	1.299548	0
37500	1.313313	2
37700	1.327149	0
37900	1.341058	2
38100	1.355040	1
38300	1.369094	0
38500	1.383221	3
38700	1.397420	0
38900	1.411692	1
39100	1.426036	0
39300	1.440453	0
39500	1.454942	2
39700	1.469504	1
39900	1.484138	2
40100	1.498845	1
40300	1.513624	0
40500	1.528476	1
40700	1.543401	1
40900	1.558397	2
41100	1.573467	0
41300	1.588609	0
41500	1.603823	1
41700	1.619110	0
41900	1.634469	0
42100	1.649901	0
42300	1.665405	0
42500	1.680982	0
42700	1.696632	0
42900	1.712354	0
43100	1.728148	1
43300	1.744015	0
43500	1.759954	0
43700	1.775966	1
43900	1.792051	0
44100	1.808208	0
44300	1.824437	0
44500	1.840739	0
44700	1.857113	1
44900	1.873560	0
45100	1.890080	1
45300	1.906672	0
45500	1.923336	0
45700	1.940073	1
45900	1.956883	0
46100	1.973765	0
46300	1.990720	0
46500	2.007747	34
46700	2.024846	9
46900	2.042018	0
47100	2.059263	0
47300	2.076580	0
47500	2.093970	0
47700	2.111432	0
47900	2.128966	0
48100	2.146573	0
48300	2.164253	0
48500	2.182005	0
48700	2.199830	0
48900	2.217727	0
49100	2.235697	0
49300	2.253739	0
49500	2.271853	0
49700	2.290041	0
49900	2.308300	1
50100	2.326632	0
50300	2.345037	0
50500	2.363514	0
50700	2.382064	0
50900	2.400686	0
51100	2.419381	0
51300	2.438148	0
51500	2.456988	0
51700	2.475900	0
51900	2.494885	0
52100	2.513942	0
52300	2.533072	0
52500	2.552274	0
52700	2.571549	0
52900	2.590897	0
53100	2.610316	0
53300	2.629809	0
53500	2.649374	0
53700	2.669011	0
53900	2.688721	0
54100	2.708503	0
54300	2.728358	0
54500	2.748285	0
54700	2.768285	0
54900	2.788358	0
55100	2.808503	1
55300	2.828720	0
55500	2.849010	0
55700	2.869372	0
55900	2.889807	0
56100	2.910315	0
56300	2.930895	0
56500	2.951547	0
56700	2.972272	0
56900	2.993070	0
57100	3.013940	0
57300	3.034882	0
57500	3.055897	0
57700	3.076985	0
57900	3.098145	0
58100	3.119377	0
58300	3.140682	0
58500	3.162060	0
58700	3.183510	0
58900	3.205032	0
59100	3.226627	0
59300	3.248295	0
59500	3.270035	0
59700	3.291848	0
59900	3.313733	0
60100	3.335690	0
60300	3.357721	0
60500	3.379823	0
60700	3.401998	0
60900	3.424246	0
61100	3.446566	0
61300	3.468959	0
61500	3.491424	0
61700	3.513962	0
61900	3.536572	0
62100	3.559254	0
62300	3.582010	0
62500	3.604837	1
62700	3.627738	0
62900	3.650710	0
63100	3.673756	0
63300	3.696873	1
63500	3.720064	0
63700	3.743326	0
63900	3.766662	1
64100	3.790069	0
64300	3.813550	0
64500	3.837102	0
64700	3.860728	0
64900	3.884426	0
65100	3.908196	0
65300	3.932039	0
65500	3.955954	0
65700	3.979942	0
65900	4.004002	0
66100	4.028135	0
66300	4.052340	0
66500	4.076618	0
66700	4.100969	0
66900	4.125392	0
67100	4.149887	0
67300	4.174455	0
67500	4.199095	0
67700	4.223808	0
67900	4.248594	0
68100	4.273452	0
68300	4.298382	0
68500	4.323385	0
68700	4.348460	0
68900	4.373608	0
69100	4.398829	0
69300	4.424122	0
69500	4.449487	0
69700	4.474925	1
69900	4.500436	0
70100	4.526019	0
70300	4.551674	0
70500	4.577402	0
70700	4.603203	0
70900	4.629076	0
71100	4.655022	0
71300	4.681040	0
71500	4.707130	0
71700	4.733293	0
71900	4.759529	0
72100	4.785837	0
72300	4.812218	0
72500	4.838671	0
72700	4.865196	0
72900	4.891795	0
73100	4.918465	0
73300	4.945208	0
73500	4.972024	0
73700	4.998912	0
73900	5.025873	0
74100	5.052906	1
74300	5.080012	0
74500	5.107190	0
74700	5.134441	0
74900	5.161764	0
75100	5.189160	0
75300	5.216628	0
75500	5.244169	0
75700	5.271782	0
75900	5.299468	0
76100	5.327226	1
76300	5.355057	0
76500	5.382960	0
76700	5.410936	0
76900	5.438984	0
77100	5.467105	0
77300	5.495298	0
77500	5.523564	0
77700	5.551902	0
77900	5.580313	0
78100	5.608797	0
78300	5.637352	0
78500	5.665981	0
78700	5.694682	0
78900	5.723455	0
79100	5.752301	0
79300	5.781219	0
79500	5.810210	0
79700	5.839274	0
