# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000246	1
300	0.000473	63
500	0.000774	1
700	0.001149	0
900	0.001597	0
1100	0.002119	0
1300	0.002714	3
1500	0.003383	5
1700	0.004126	3
1900	0.004942	0
2100	0.005832	0
2300	0.006795	0
2500	0.007832	0
2700	0.008943	0
2900	0.010127	0
3100	0.011385	0
3300	0.012717	0
3500	0.014122	0
3700	0.015601	0
3900	0.017153	0
4100	0.018780	0
4300	0.020479	0
4500	0.022253	0
4700	0.024100	1
4900	0.026020	0
5100	0.028014	0
5300	0.030082	0
5500	0.032224	0
5700	0.034439	0
5900	0.036728	0
6100	0.039090	0
6300	0.041526	0
6500	0.044036	0
6700	0.046619	0
6900	0.049276	0
7100	0.052006	0
7300	0.054810	0
7500	0.057688	0
7700	0.060639	0
7900	0.063664	0
8100	0.066763	0
8300	0.069935	0
8500	0.073181	0
8700	0.076501	0
8900	0.079894	0
9100	0.083360	0
9300	0.086901	1
9500	0.090515	0
9700	0.094202	0
9900	0.097964	0
10100	0.101798	0
10300	0.105707	0
10500	0.109689	0
10700	0.113745	0
10900	0.117874	0
11100	0.122077	0
11300	0.126354	0
11500	0.130704	0
11700	0.135128	0
11900	0.139625	1
12100	0.144197	0
12300	0.148841	0
12500	0.153560	0
12700	0.158352	0
12900	0.163217	0
13100	0.168156	0
13300	0.173169	0
13500	0.178256	0
13700	0.183416	0
13900	0.188650	0
14100	0.193957	0
14300	0.199338	0
14500	0.204793	0
14700	0.210321	0
14900	0.215923	0
15100	0.221598	0
15300	0.227347	0
15500	0.233170	0
15700	0.239066	0
15900	0.245036	0
16100	0.251080	0
16300	0.257197	0
16500	0.263388	0
16700	0.269653	0
16900	0.275991	0
17100	0.282403	0
17300	0.288888	0
17500	0.295447	0
17700	0.302080	0
17900	0.308786	0
18100	0.315566	0
18300	0.322419	0
18500	0.329346	0
18700	0.336347	0
18900	0.343421	0
19100	0.350569	0
19300	0.357791	0
19500	0.365086	0
19700	0.372455	0
19900	0.379898	0
20100	0.387414	0
20300	0.395004	0
20500	0.402667	0
20700	0.410404	0
20900	0.418215	0
21100	0.426099	0
21300	0.434057	0
21500	0.442088	0
21700	0.450193	0
21900	0.458372	0
22100	0.466624	0
22300	0.474950	0
22500	0.483350	0
22700	0.491823	0
22900	0.500370	0
23100	0.508991	0
23300	0.517685	0
23500	0.526453	0
23700	0.535294	0
23900	0.544209	0
24100	0.553198	0
24300	0.562260	0
24500	0.571396	0
24700	0.580605	0
24900	0.589888	0
25100	0.599245	0
25300	0.608675	0
25500	0.618180	0
25700	0.627757	0
25900	0.637408	0
26100	0.647133	0
26300	0.656932	0
26500	0.666804	0
26700	0.676750	0
26900	0.686769	0
27100	0.696862	0
27300	0.707029	0
27500	0.717269	0
27700	0.727583	0
27900	0.737970	0
28100	0.748431	0
28300	0.758966	0
28500	0.769575	0
28700	0.780257	0
28900	0.791012	0
29100	0.801842	0
29300	0.812744	0
29500	0.823721	0
29700	0.834771	0
29900	0.845895	0
