# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000405	1
300	0.000686	14
500	0.001040	0
700	0.001469	0
900	0.001970	0
1100	0.002546	0
1300	0.003195	2
1500	0.003918	6
1700	0.004714	1
1900	0.005584	0
2100	0.006528	0
2300	0.007545	0
2500	0.008636	0
2700	0.009801	0
2900	0.011039	0
3100	0.012351	0
3300	0.013736	0
3500	0.015195	0
3700	0.016728	0
3900	0.018334	0
4100	0.020014	0
4300	0.021768	2
4500	0.023595	1
4700	0.025496	0
4900	0.027471	0
5100	0.029519	0
5300	0.031641	0
5500	0.033836	0
5700	0.036105	0
5900	0.038448	0
6100	0.040864	0
6300	0.043354	0
6500	0.045917	0
6700	0.048555	0
6900	0.051266	0
7100	0.054050	0
7300	0.056908	0
7500	0.059840	0
7700	0.062845	0
7900	0.065924	0
8100	0.069077	0
8300	0.072303	0
8500	0.075603	0
8700	0.078976	0
8900	0.082424	0
9100	0.085944	0
9300	0.089539	0
9500	0.093207	0
9700	0.096949	0
9900	0.100764	0
10100	0.104653	0
10300	0.108615	0
10500	0.112652	0
10700	0.116762	0
10900	0.120945	0
11100	0.125202	0
11300	0.129533	0
11500	0.133937	0
11700	0.138415	0
11900	0.142967	0
12100	0.147592	0
12300	0.152291	0
12500	0.157064	0
12700	0.161910	0
12900	0.166830	0
13100	0.171823	0
13300	0.176890	0
13500	0.182031	0
13700	0.187245	0
13900	0.192533	0
14100	0.197895	0
14300	0.203330	0
14500	0.208839	0
14700	0.214421	0
14900	0.220078	0
15100	0.225807	0
15300	0.231611	0
15500	0.237488	0
15700	0.243438	0
15900	0.249463	1
16100	0.255561	0
16300	0.261732	0
16500	0.267977	0
16700	0.274296	0
16900	0.280689	0
17100	0.287155	0
17300	0.293694	0
17500	0.300308	0
17700	0.306995	0
17900	0.313755	0
18100	0.320590	0
18300	0.327498	0
18500	0.334479	0
18700	0.341534	0
18900	0.348663	0
19100	0.355865	0
19300	0.363141	0
19500	0.370491	0
19700	0.377914	0
19900	0.385411	0
20100	0.392982	0
20300	0.400626	0
20500	0.408344	0
20700	0.416135	0
20900	0.424001	0
21100	0.431939	0
21300	0.439952	0
21500	0.448038	0
21700	0.456197	0
21900	0.464431	0
22100	0.472737	0
22300	0.481118	0
22500	0.489572	0
22700	0.498100	0
22900	0.506701	0
23100	0.515376	0
23300	0.524125	0
23500	0.532947	0
23700	0.541843	0
23900	0.550813	0
24100	0.559856	0
24300	0.568973	0
24500	0.578164	0
24700	0.587428	0
24900	0.596765	0
25100	0.606177	0
25300	0.615662	0
25500	0.625220	0
25700	0.634853	0
25900	0.644559	0
26100	0.654338	0
26300	0.664191	0
26500	0.674118	0
26700	0.684119	0
26900	0.694193	0
27100	0.704340	0
27300	0.714562	0
27500	0.724857	0
27700	0.735225	0
27900	0.745668	0
28100	0.756183	0
28300	0.766773	0
28500	0.777436	0
28700	0.788173	0
28900	0.798983	0
29100	0.809867	0
29300	0.820825	0
29500	0.831856	0
29700	0.842961	0
29900	0.854140	0
30100	0.865392	0
30300	0.876718	0
30500	0.888117	0
30700	0.899590	0
30900	0.911137	0
31100	0.922757	29
31300	0.934451	3
31500	0.946219	1
31700	0.958060	4
31900	0.969975	2
32100	0.981964	19
32300	0.994026	35
32500	1.006162	142257
32700	1.018371	514
32900	1.030654	21
33100	1.043011	9
33300	1.055441	8
33500	1.067945	4
33700	1.080523	5
33900	1.093174	0
34100	1.105899	2
34300	1.118697	1
34500	1.131569	1
34700	1.144515	1
34900	1.157534	0
35100	1.170627	0
35300	1.183794	0
35500	1.197034	1
35700	1.210348	0
35900	1.223736	0
36100	1.237197	1
36300	1.250732	1
36500	1.264340	0
36700	1.278022	0
36900	1.291778	0
37100	1.305607	0
37300	1.319510	1
37500	1.333487	2
37700	1.347537	0
37900	1.361661	0
38100	1.375858	0
38300	1.390129	1
38500	1.404474	2
38700	1.418892	0
38900	1.433384	0
39100	1.447950	0
39300	1.462589	0
39500	1.477302	0
39700	1.492089	0
39900	1.506949	0
40100	1.521883	0
40300	1.536890	0
40500	1.551971	1
40700	1.567126	0
40900	1.582354	0
41100	1.597656	0
41300	1.613032	0
41500	1.628481	0
41700	1.644004	1
41900	1.659601	0
42100	1.675271	0
42300	1.691014	0
42500	1.706832	0
42700	1.722723	0
42900	1.738688	0
43100	1.754726	0
43300	1.770838	0
43500	1.787023	0
43700	1.803283	0
43900	1.819615	0
44100	1.836022	0
44300	1.852502	0
44500	1.869056	0
44700	1.885683	0
44900	1.902384	2
45100	1.919159	0
45300	1.936007	0
45500	1.952929	0
45700	1.969924	0
45900	1.986993	0
46100	2.004136	0
46300	2.021353	18
46500	2.038643	0
46700	2.056006	0
46900	2.073444	0
47100	2.090955	0
47300	2.108539	0
47500	2.126197	0
47700	2.143929	0
47900	2.161735	0
48100	2.179614	0
48300	2.197567	0
48500	2.215593	0
48700	2.233693	0
48900	2.251867	0
49100	2.270114	0
49300	2.288435	0
49500	2.306829	0
49700	2.325297	1
49900	2.343839	0
50100	2.362455	0
50300	2.381144	0
50500	2.399906	0
50700	2.418743	0
50900	2.437653	0
51100	2.456636	0
51300	2.475694	0
51500	2.494824	0
51700	2.514029	0
51900	2.533307	0
52100	2.552659	0
52300	2.572084	0
52500	2.591583	0
52700	2.611156	0
52900	2.630802	0
53100	2.650522	0
53300	2.670316	0
53500	2.690183	0
53700	2.710124	0
53900	2.730138	0
54100	2.750226	0
54300	2.770388	0
54500	2.790623	0
54700	2.810932	0
54900	2.831315	0
55100	2.851771	0
55300	2.872301	0
55500	2.892904	0
55700	2.913581	0
55900	2.934332	0
56100	2.955157	0
56300	2.976055	0
56500	2.997026	0
56700	3.018072	0
56900	3.039191	0
57100	3.060383	0
57300	3.081649	0
57500	3.102989	0
57700	3.124403	0
57900	3.145890	0
58100	3.167450	0
58300	3.189085	0
58500	3.210793	0
58700	3.232574	0
58900	3.254430	0
59100	3.276358	0
59300	3.298361	0
59500	3.320437	0
59700	3.342587	0
59900	3.364810	0
60100	3.387107	0
60300	3.409478	0
60500	3.431922	0
60700	3.454440	0
60900	3.477032	0
61100	3.499697	0
61300	3.522436	0
61500	3.545248	0
61700	3.568135	0
61900	3.591094	0
62100	3.614128	0
62300	3.637235	0
62500	3.660415	0
