# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000333	0
300	0.000590	7
500	0.000922	0
700	0.001327	0
900	0.001805	1
1100	0.002357	0
1300	0.002983	0
1500	0.003682	3
1700	0.004455	3
1900	0.005301	1
2100	0.006220	1
2300	0.007214	0
2500	0.008280	1
2700	0.009421	0
2900	0.010634	0
3100	0.011922	0
3300	0.013283	0
3500	0.014717	0
3700	0.016225	0
3900	0.017806	0
4100	0.019461	0
4300	0.021190	0
4500	0.022992	0
4700	0.024867	0
4900	0.026816	0
5100	0.028839	0
5300	0.030935	0
5500	0.033105	0
5700	0.035348	0
5900	0.037665	0
6100	0.040055	0
6300	0.042519	0
6500	0.045056	0
6700	0.047667	0
6900	0.050351	0
7100	0.053109	0
7300	0.055941	0
7500	0.058846	0
7700	0.061824	0
7900	0.064876	0
8100	0.068002	0
8300	0.071201	0
8500	0.074474	1
8700	0.077820	0
8900	0.081239	0
9100	0.084733	0
9300	0.088299	0
9500	0.091940	0
9700	0.095653	0
9900	0.099441	0
10100	0.103302	0
10300	0.107236	0
10500	0.111244	0
10700	0.115325	0
10900	0.119480	0
11100	0.123709	0
11300	0.128011	0
11500	0.132386	0
11700	0.136835	0
11900	0.141358	0
12100	0.145954	0
12300	0.150624	0
12500	0.155367	0
12700	0.160184	0
12900	0.165074	0
13100	0.170038	0
13300	0.175075	0
13500	0.180186	0
13700	0.185370	0
13900	0.190628	0
14100	0.195960	0
14300	0.201365	0
14500	0.206843	0
14700	0.212395	0
14900	0.218021	0
15100	0.223720	0
15300	0.229493	0
15500	0.235339	0
15700	0.241258	0
15900	0.247252	0
16100	0.253318	0
16300	0.259459	0
16500	0.265673	0
16700	0.271960	0
16900	0.278321	0
17100	0.284755	0
17300	0.291263	0
17500	0.297844	0
17700	0.304499	0
17900	0.311228	0
18100	0.318030	0
18300	0.324906	0
18500	0.331855	0
18700	0.338877	0
18900	0.345973	0
19100	0.353143	0
19300	0.360386	0
19500	0.367703	0
19700	0.375093	0
19900	0.382557	0
20100	0.390095	0
20300	0.397705	0
20500	0.405390	0
20700	0.413148	0
20900	0.420979	0
21100	0.428884	0
21300	0.436863	0
21500	0.444915	0
21700	0.453040	0
21900	0.461239	0
22100	0.469512	0
22300	0.477858	0
22500	0.486278	0
22700	0.494771	0
22900	0.503338	0
23100	0.511978	0
23300	0.520692	0
23500	0.529479	0
23700	0.538340	0
23900	0.547274	0
24100	0.556282	0
24300	0.565364	0
24500	0.574519	0
24700	0.583747	0
24900	0.593049	0
25100	0.602425	0
25300	0.611874	0
25500	0.621397	0
25700	0.630993	0
25900	0.640663	0
26100	0.650406	0
26300	0.660223	0
26500	0.670113	0
26700	0.680077	0
