# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000233	1
300	0.000455	187
500	0.000751	7
700	0.001121	0
900	0.001564	0
1100	0.002081	0
1300	0.002672	3
1500	0.003336	1
1700	0.004074	0
1900	0.004886	1
2100	0.005772	0
2300	0.006731	0
2500	0.007764	0
2700	0.008870	0
2900	0.010051	0
3100	0.011305	0
3300	0.012633	0
3500	0.014034	0
3700	0.015509	0
3900	0.017058	0
4100	0.018681	0
4300	0.020377	0
4500	0.022147	0
4700	0.023990	0
4900	0.025908	0
5100	0.027899	0
5300	0.029964	0
5500	0.032102	0
5700	0.034314	0
5900	0.036600	0
6100	0.038960	0
6300	0.041393	0
6500	0.043900	0
6700	0.046481	0
6900	0.049135	0
7100	0.051863	0
7300	0.054665	0
7500	0.057541	0
7700	0.060490	0
7900	0.063513	0
8100	0.066610	0
8300	0.069780	0
8500	0.073024	0
8700	0.076342	0
8900	0.079733	0
9100	0.083198	0
9300	0.086737	1
9500	0.090350	0
9700	0.094036	0
9900	0.097796	0
10100	0.101630	0
10300	0.105537	0
10500	0.109518	0
10700	0.113573	0
10900	0.117702	0
11100	0.121904	0
11300	0.126180	0
11500	0.130529	0
11700	0.134953	0
11900	0.139450	0
12100	0.144020	0
12300	0.148665	0
12500	0.153383	0
12700	0.158175	0
12900	0.163040	0
13100	0.167979	0
13300	0.172992	0
13500	0.178079	0
13700	0.183239	0
13900	0.188473	0
14100	0.193781	0
14300	0.199163	0
14500	0.204618	0
14700	0.210147	0
14900	0.215749	0
15100	0.221426	0
15300	0.227176	0
15500	0.232999	0
15700	0.238897	0
15900	0.244868	0
16100	0.250913	0
16300	0.257031	0
16500	0.263223	0
16700	0.269489	0
16900	0.275829	0
17100	0.282242	0
17300	0.288729	0
17500	0.295290	0
17700	0.301924	0
17900	0.308632	0
18100	0.315414	0
18300	0.322270	1
18500	0.329199	0
18700	0.336202	0
18900	0.343279	0
19100	0.350429	0
19300	0.357653	0
19500	0.364951	0
19700	0.372322	0
19900	0.379767	0
20100	0.387286	0
20300	0.394879	0
20500	0.402545	0
20700	0.410285	0
20900	0.418099	0
21100	0.425986	0
21300	0.433947	0
21500	0.441982	0
21700	0.450091	0
21900	0.458273	0
22100	0.466529	0
22300	0.474858	0
22500	0.483262	0
22700	0.491739	0
22900	0.500290	0
23100	0.508914	0
23300	0.517612	0
23500	0.526384	0
23700	0.535230	0
23900	0.544149	0
24100	0.553142	0
24300	0.562208	0
24500	0.571349	0
24700	0.580563	1
24900	0.589851	0
25100	0.599212	0
25300	0.608647	0
25500	0.618156	0
25700	0.627739	0
25900	0.637395	0
26100	0.647125	0
26300	0.656929	0
26500	0.666806	0
26700	0.676757	0
26900	0.686782	0
27100	0.696881	0
27300	0.707053	0
27500	0.717299	0
27700	0.727618	0
27900	0.738012	0
28100	0.748479	0
28300	0.759019	0
28500	0.769634	0
28700	0.780322	0
28900	0.791084	0
29100	0.801919	0
29300	0.812829	0
29500	0.823812	0
29700	0.834868	0
29900	0.845999	0
30100	0.857203	0
30300	0.868480	0
30500	0.879832	0
30700	0.891257	0
30900	0.902756	1
31100	0.914329	2
31300	0.925975	0
