# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000247	0
300	0.000474	24
500	0.000775	0
700	0.001150	0
900	0.001599	0
1100	0.002121	0
1300	0.002718	6
1500	0.003387	4
1700	0.004131	3
1900	0.004948	0
2100	0.005839	0
2300	0.006804	0
2500	0.007842	0
2700	0.008954	0
2900	0.010140	0
3100	0.011400	0
3300	0.012733	0
3500	0.014140	0
3700	0.015621	0
3900	0.017175	1
4100	0.018804	0
4300	0.020506	0
4500	0.022281	1
4700	0.024130	0
4900	0.026054	0
5100	0.028050	0
5300	0.030121	0
5500	0.032265	0
5700	0.034483	0
5900	0.036775	0
6100	0.039140	0
6300	0.041579	0
6500	0.044092	0
6700	0.046678	0
6900	0.049338	0
7100	0.052072	0
7300	0.054880	0
7500	0.057761	0
7700	0.060717	0
7900	0.063745	0
8100	0.066848	0
8300	0.070024	0
8500	0.073274	1
8700	0.076598	0
8900	0.079995	0
9100	0.083466	2
9300	0.087011	0
9500	0.090630	0
9700	0.094322	0
9900	0.098088	0
10100	0.101928	0
10300	0.105841	0
10500	0.109828	0
10700	0.113889	0
10900	0.118024	0
11100	0.122232	0
11300	0.126514	0
11500	0.130870	0
11700	0.135299	0
11900	0.139803	0
12100	0.144380	0
12300	0.149030	0
12500	0.153754	0
12700	0.158553	0
12900	0.163424	0
13100	0.168370	0
13300	0.173389	1
13500	0.178482	0
13700	0.183649	0
13900	0.188889	0
14100	0.194203	0
14300	0.199591	0
14500	0.205052	0
14700	0.210588	0
14900	0.216197	0
15100	0.221879	1
15300	0.227636	0
15500	0.233466	0
15700	0.239370	0
15900	0.245347	0
16100	0.251398	0
16300	0.257523	0
16500	0.263722	1
16700	0.269994	0
16900	0.276341	0
17100	0.282760	0
17300	0.289254	0
17500	0.295821	0
17700	0.302462	0
17900	0.309177	0
18100	0.315966	0
18300	0.322828	0
18500	0.329764	0
18700	0.336773	0
18900	0.343856	0
19100	0.351014	0
19300	0.358244	0
19500	0.365549	0
19700	0.372927	0
19900	0.380379	0
20100	0.387904	0
20300	0.395504	0
20500	0.403177	0
20700	0.410924	0
20900	0.418744	0
21100	0.426638	0
21300	0.434606	0
21500	0.442648	0
21700	0.450763	0
21900	0.458952	0
22100	0.467215	0
22300	0.475552	0
22500	0.483962	0
22700	0.492446	0
22900	0.501004	0
23100	0.509635	0
23300	0.518340	0
23500	0.527119	0
23700	0.535972	0
23900	0.544898	0
24100	0.553898	0
24300	0.562972	0
24500	0.572119	0
24700	0.581340	0
24900	0.590635	0
25100	0.600004	0
25300	0.609446	0
25500	0.618962	0
25700	0.628552	0
25900	0.638215	0
26100	0.647952	0
26300	0.657763	0
26500	0.667648	0
26700	0.677606	0
26900	0.687638	0
27100	0.697744	0
27300	0.707923	1
27500	0.718177	0
27700	0.728503	0
27900	0.738904	0
28100	0.749378	0
28300	0.759927	0
28500	0.770548	0
28700	0.781244	0
28900	0.792013	0
29100	0.802856	0
29300	0.813773	0
29500	0.824763	0
29700	0.835827	0
29900	0.846965	0
30100	0.858177	0
30300	0.869462	0
30500	0.880821	0
30700	0.892253	0
30900	0.903760	0
31100	0.915340	1
31300	0.926994	0
31500	0.938721	0
31700	0.950523	0
31900	0.962398	1
32100	0.974346	5
32300	0.986369	24
32500	0.998465	10
32700	1.010635	189035
