# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000247	0
300	0.000474	34
500	0.000775	0
700	0.001150	0
900	0.001598	0
1100	0.002119	0
1300	0.002714	5
1500	0.003383	7
1700	0.004126	4
1900	0.004941	0
2100	0.005831	0
2300	0.006794	0
2500	0.007830	1
2700	0.008941	1
2900	0.010124	0
3100	0.011381	1
3300	0.012712	1
3500	0.014117	0
3700	0.015595	0
3900	0.017146	0
4100	0.018771	1
4300	0.020470	0
4500	0.022242	0
4700	0.024088	1
4900	0.026007	1
5100	0.028000	0
5300	0.030067	0
5500	0.032207	0
5700	0.034420	0
5900	0.036707	0
6100	0.039068	0
6300	0.041502	0
6500	0.044010	1
6700	0.046591	0
6900	0.049246	0
7100	0.051975	1
7300	0.054777	0
7500	0.057653	0
7700	0.060602	0
7900	0.063625	0
8100	0.066721	0
8300	0.069891	0
8500	0.073134	0
8700	0.076452	0
8900	0.079842	0
9100	0.083306	0
9300	0.086844	1
9500	0.090455	0
9700	0.094140	0
9900	0.097899	0
10100	0.101731	0
10300	0.105636	0
10500	0.109615	0
10700	0.113668	0
10900	0.117794	0
11100	0.121994	0
11300	0.126267	0
11500	0.130614	0
11700	0.135035	0
11900	0.139529	0
12100	0.144096	0
12300	0.148738	0
12500	0.153452	0
12700	0.158241	0
12900	0.163103	0
13100	0.168038	1
13300	0.173047	0
13500	0.178130	0
13700	0.183286	0
13900	0.188515	0
14100	0.193819	0
14300	0.199195	0
14500	0.204646	0
14700	0.210170	0
14900	0.215767	0
15100	0.221438	1
15300	0.227183	0
15500	0.233001	0
15700	0.238893	0
15900	0.244858	0
16100	0.250897	0
16300	0.257010	0
16500	0.263196	0
16700	0.269455	0
16900	0.275788	0
17100	0.282195	0
17300	0.288675	0
17500	0.295229	0
17700	0.301857	0
17900	0.308558	0
18100	0.315332	0
18300	0.322180	0
18500	0.329102	0
18700	0.336097	1
18900	0.343166	0
19100	0.350308	0
19300	0.357524	0
19500	0.364814	0
19700	0.372177	0
19900	0.379613	0
20100	0.387124	0
20300	0.394707	0
20500	0.402365	0
20700	0.410095	0
20900	0.417900	0
21100	0.425778	0
21300	0.433729	0
21500	0.441755	0
21700	0.449853	0
21900	0.458026	0
22100	0.466271	0
22300	0.474591	0
22500	0.482984	0
22700	0.491450	0
22900	0.499990	0
23100	0.508604	0
23300	0.517291	0
23500	0.526052	0
23700	0.534886	0
23900	0.543794	0
24100	0.552775	0
24300	0.561830	0
24500	0.570959	0
24700	0.580161	0
24900	0.589437	0
25100	0.598786	0
25300	0.608209	0
25500	0.617705	0
25700	0.627275	0
