# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000278	0
300	0.000517	120
500	0.000829	0
700	0.001216	0
900	0.001675	0
1100	0.002208	0
1300	0.002815	13
1500	0.003496	24
1700	0.004250	11
1900	0.005077	1
2100	0.005978	1
2300	0.006953	0
2500	0.008001	1
2700	0.009123	3
2900	0.010318	0
3100	0.011587	1
3300	0.012929	1
3500	0.014345	0
3700	0.015835	0
3900	0.017398	0
4100	0.019034	0
4300	0.020745	0
4500	0.022528	0
4700	0.024386	1
4900	0.026317	0
5100	0.028321	0
5300	0.030399	0
5500	0.032551	0
5700	0.034776	0
5900	0.037074	0
6100	0.039447	0
6300	0.041893	0
6500	0.044412	1
6700	0.047005	0
6900	0.049671	0
7100	0.052411	0
7300	0.055225	0
7500	0.058112	1
7700	0.061073	0
7900	0.064107	1
8100	0.067215	1
8300	0.070397	1
8500	0.073652	0
8700	0.076980	1
8900	0.080382	1
9100	0.083858	0
9300	0.087407	0
9500	0.091030	0
9700	0.094726	0
9900	0.098496	0
10100	0.102340	0
10300	0.106257	0
10500	0.110247	0
10700	0.114312	1
10900	0.118449	0
11100	0.122661	0
11300	0.126945	1
11500	0.131304	0
11700	0.135736	0
11900	0.140241	0
12100	0.144820	0
12300	0.149473	0
12500	0.154199	0
12700	0.158999	0
12900	0.163872	0
13100	0.168819	0
13300	0.173840	0
13500	0.178934	0
13700	0.184101	1
13900	0.189343	0
14100	0.194657	0
14300	0.200046	0
14500	0.205507	0
14700	0.211043	0
14900	0.216652	0
15100	0.222334	0
15300	0.228090	0
15500	0.233920	0
15700	0.239823	0
15900	0.245800	0
16100	0.251850	0
16300	0.257974	0
16500	0.264172	0
16700	0.270443	0
16900	0.276787	0
17100	0.283205	0
17300	0.289697	0
17500	0.296262	0
17700	0.302901	0
17900	0.309613	0
18100	0.316399	0
18300	0.323259	1
18500	0.330192	0
18700	0.337198	0
18900	0.344279	0
19100	0.351432	0
19300	0.358660	0
19500	0.365960	0
19700	0.373335	0
19900	0.380783	0
20100	0.388304	1
20300	0.395899	0
20500	0.403568	0
20700	0.411310	0
20900	0.419126	0
21100	0.427016	0
21300	0.434978	1
21500	0.443015	1
21700	0.451125	0
21900	0.459308	0
22100	0.467566	0
22300	0.475896	0
22500	0.484301	0
22700	0.492778	0
22900	0.501330	0
23100	0.509955	0
23300	0.518653	0
23500	0.527425	0
23700	0.536271	0
23900	0.545190	0
24100	0.554183	0
24300	0.563249	0
24500	0.572389	0
24700	0.581603	2
24900	0.590890	0
25100	0.600250	0
25300	0.609684	0
25500	0.619192	0
25700	0.628773	0
25900	0.638428	0
26100	0.648156	0
26300	0.657958	0
26500	0.667834	0
26700	0.677783	0
26900	0.687806	2
27100	0.697902	0
27300	0.708071	0
27500	0.718315	0
27700	0.728632	0
27900	0.739022	0
28100	0.749486	0
28300	0.760024	0
28500	0.770635	0
28700	0.781319	0
28900	0.792078	0
29100	0.802909	0
29300	0.813815	0
29500	0.824794	0
29700	0.835846	0
29900	0.846972	0
30100	0.858172	0
30300	0.869445	0
30500	0.880792	0
30700	0.892212	0
30900	0.903706	0
31100	0.915273	1
31300	0.926914	1
31500	0.938629	7
31700	0.950417	0
31900	0.962278	44
32100	0.974214	42
32300	0.986222	49
32500	0.998305	221
32700	1.010461	1457223
32900	1.022690	549
33100	1.034993	211
33300	1.047370	101
33500	1.059820	62
33700	1.072343	48
33900	1.084941	26
34100	1.097611	35
34300	1.110356	18
34500	1.123174	26
34700	1.136065	15
34900	1.149030	14
35100	1.162069	10
35300	1.175181	4
35500	1.188367	0
35700	1.201626	1
35900	1.214959	4
36100	1.228365	1
36300	1.241845	4
36500	1.255399	2
36700	1.269026	2
36900	1.282727	2
37100	1.296501	0
37300	1.310349	3
37500	1.324270	3
37700	1.338265	1
37900	1.352334	1
38100	1.366476	0
38300	1.380691	0
38500	1.394980	2
38700	1.409343	1
38900	1.423779	0
39100	1.438289	1
39300	1.452873	0
39500	1.467530	0
39700	1.482260	0
39900	1.497064	0
40100	1.511942	0
40300	1.526893	1
40500	1.541918	0
40700	1.557016	0
40900	1.572188	0
41100	1.587433	0
41300	1.602752	0
41500	1.618145	0
41700	1.633611	0
41900	1.649151	0
42100	1.664764	0
42300	1.680451	0
42500	1.696211	1
42700	1.712045	0
42900	1.727953	0
43100	1.743934	0
43300	1.759988	0
43500	1.776117	0
43700	1.792318	0
43900	1.808594	0
44100	1.824943	1
44300	1.841365	0
44500	1.857861	0
44700	1.874431	0
44900	1.891074	0
45100	1.907790	0
45300	1.924581	0
45500	1.941444	0
45700	1.958382	0
45900	1.975393	1
46100	1.992477	0
46300	2.009635	204
46500	2.026867	0
46700	2.044172	0
46900	2.061551	0
47100	2.079003	0
47300	2.096529	2
47500	2.114128	2
47700	2.131801	0
47900	2.149548	0
48100	2.167368	0
48300	2.185262	0
48500	2.203229	0
48700	2.221269	0
48900	2.239384	0
49100	2.257572	0
49300	2.275833	0
49500	2.294168	0
49700	2.312577	0
49900	2.331059	0
50100	2.349615	0
50300	2.368244	0
50500	2.386947	0
50700	2.405723	0
50900	2.424573	0
51100	2.443497	0
51300	2.462494	0
51500	2.481564	0
51700	2.500708	0
51900	2.519926	0
52100	2.539218	0
52300	2.558582	0
52500	2.578021	0
52700	2.597533	0
52900	2.617118	0
53100	2.636778	0
53300	2.656510	0
53500	2.676316	0
53700	2.696196	0
53900	2.716150	0
54100	2.736177	1
54300	2.756277	0
54500	2.776451	0
54700	2.796699	0
54900	2.817020	1
55100	2.837415	1
55300	2.857883	0
55500	2.878425	0
55700	2.899040	0
55900	2.919729	0
56100	2.940492	1
56300	2.961328	0
56500	2.982237	0
56700	3.003221	0
56900	3.024277	0
57100	3.045408	0
57300	3.066612	0
57500	3.087889	0
57700	3.109240	0
57900	3.130665	0
58100	3.152163	0
58300	3.173735	0
58500	3.195380	0
58700	3.217099	0
58900	3.238891	0
59100	3.260757	0
59300	3.282697	1
59500	3.304710	0
59700	3.326796	0
59900	3.348956	0
60100	3.371190	0
60300	3.393498	0
60500	3.415878	0
60700	3.438333	0
60900	3.460861	0
61100	3.483462	0
61300	3.506138	0
61500	3.528886	0
61700	3.551708	0
61900	3.574604	0
62100	3.597574	0
62300	3.620617	0
62500	3.643733	0
62700	3.666923	1
62900	3.690187	0
63100	3.713524	1
63300	3.736935	0
63500	3.760419	0
63700	3.783977	0
63900	3.807608	0
64100	3.831313	0
64300	3.855092	0
64500	3.878944	0
64700	3.902869	0
64900	3.926869	0
65100	3.950941	0
65300	3.975088	0
65500	3.999308	0
65700	4.023601	0
65900	4.047968	0
66100	4.072409	0
66300	4.096923	1
66500	4.121511	0
66700	4.146172	0
66900	4.170907	0
67100	4.195715	0
67300	4.220597	0
67500	4.245553	0
67700	4.270582	0
67900	4.295684	0
68100	4.320861	0
68300	4.346110	0
68500	4.371434	0
68700	4.396831	0
68900	4.422301	0
69100	4.447845	0
69300	4.473463	0
69500	4.499154	0
69700	4.524918	0
69900	4.550757	0
70100	4.576668	0
70300	4.602654	0
70500	4.628713	0
70700	4.654845	0
70900	4.681051	0
71100	4.707331	0
71300	4.733684	0
71500	4.760111	0
71700	4.786611	0
71900	4.813185	0
72100	4.839832	0
72300	4.866553	0
72500	4.893348	0
72700	4.920216	1
72900	4.947158	0
73100	4.974173	0
73300	5.001262	0
73500	5.028424	0
73700	5.055660	0
73900	5.082970	0
74100	5.110353	0
74300	5.137809	0
74500	5.165339	0
74700	5.192943	0
74900	5.220620	0
75100	5.248371	0
75300	5.276196	0
75500	5.304094	0
75700	5.332065	0
75900	5.360110	1
76100	5.388229	0
76300	5.416421	1
76500	5.444687	0
76700	5.473026	0
76900	5.501439	0
77100	5.529925	0
77300	5.558485	1
77500	5.587119	0
77700	5.615826	0
77900	5.644607	0
78100	5.673461	0
78300	5.702389	0
78500	5.731390	1
78700	5.760465	0
78900	5.789614	0
79100	5.818836	0
79300	5.848131	0
79500	5.877501	0
79700	5.906943	2
79900	5.936460	0
80100	5.966050	0
80300	5.995713	0
80500	6.025450	0
80700	6.055260	0
80900	6.085145	0
81100	6.115102	0
81300	6.145134	0
81500	6.175238	0
81700	6.205417	0
81900	6.235669	1
82100	6.265994	0
82300	6.296393	0
82500	6.326866	0
82700	6.357412	0
82900	6.388032	0
83100	6.418725	0
83300	6.449492	0
83500	6.480332	0
83700	6.511246	0
83900	6.542234	0
84100	6.573295	0
84300	6.604429	0
84500	6.635638	0
84700	6.666919	0
84900	6.698275	0
85100	6.729704	0
85300	6.761206	0
85500	6.792782	1
85700	6.824432	0
85900	6.856155	0
86100	6.887951	0
86300	6.919822	0
86500	6.951766	0
86700	6.983783	0
86900	7.015874	0
87100	7.048038	0
87300	7.080276	0
87500	7.112588	0
87700	7.144973	0
87900	7.177432	0
88100	7.209964	1
88300	7.242570	1
88500	7.275250	1
88700	7.308003	0
88900	7.340829	0
89100	7.373729	0
89300	7.406703	0
89500	7.439750	0
89700	7.472871	0
89900	7.506065	1
90100	7.539333	0
90300	7.572675	1
90500	7.606090	0
90700	7.639578	0
90900	7.673141	0
91100	7.706776	0
91300	7.740486	0
91500	7.774268	0
91700	7.808125	0
91900	7.842055	0
92100	7.876058	0
92300	7.910135	0
92500	7.944286	0
92700	7.978510	0
92900	8.012808	0
93100	8.047179	1
93300	8.081624	0
93500	8.116143	0
93700	8.150735	0
93900	8.185400	0
94100	8.220140	0
94300	8.254952	0
94500	8.289839	0
94700	8.324798	0
94900	8.359832	0
95100	8.394939	0
95300	8.430119	0
95500	8.465373	0
95700	8.500701	1
95900	8.536102	0
96100	8.571577	0
96300	8.607125	0
96500	8.642747	0
96700	8.678443	0
96900	8.714212	0
97100	8.750054	0
97300	8.785970	0
97500	8.821960	0
97700	8.858023	0
97900	8.894160	0
98100	8.930370	0
98300	8.966654	0
98500	9.003012	0
98700	9.039443	0
98900	9.075947	0
99100	9.112526	0
99300	9.149177	0
99500	9.185903	0
99700	9.222701	0
99900	9.259574	0
100100	9.296520	0
100300	9.333539	0
100500	9.370632	0
100700	9.407799	0
100900	9.445039	0
101100	9.482353	0
101300	9.519740	0
101500	9.557201	0
101700	9.594736	0
101900	9.632344	0
102100	9.670025	0
102300	9.707781	0
102500	9.745609	0
102700	9.783512	0
102900	9.821487	0
103100	9.859537	0
103300	9.897660	0
103500	9.935856	0
103700	9.974126	0
103900	10.012470	0
104100	10.050887	0
104300	10.089378	0
104500	10.127942	0
104700	10.166580	0
104900	10.205292	0
105100	10.244077	0
105300	10.282935	0
105500	10.321867	0
105700	10.360873	0
105900	10.399952	0
106100	10.439105	0
106300	10.478331	0
106500	10.517631	0
106700	10.557005	0
106900	10.596452	0
107100	10.635972	1
107300	10.675567	0
107500	10.715234	0
107700	10.754976	0
107900	10.794791	0
108100	10.834679	0
