# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000233	0
300	0.000453	194
500	0.000746	3
700	0.001110	1
900	0.001547	0
1100	0.002056	0
1300	0.002638	2
1500	0.003292	5
1700	0.004018	2
1900	0.004817	0
2100	0.005688	0
2300	0.006632	2
2500	0.007647	0
2700	0.008736	1
2900	0.009896	1
3100	0.011129	0
3300	0.012434	0
3500	0.013812	0
3700	0.015261	0
3900	0.016784	1
4100	0.018378	0
4300	0.020045	1
4500	0.021784	0
4700	0.023596	0
4900	0.025480	0
5100	0.027436	0
5300	0.029465	1
5500	0.031566	0
5700	0.033739	0
5900	0.035985	0
6100	0.038303	0
6300	0.040694	0
6500	0.043156	0
6700	0.045692	0
6900	0.048299	0
7100	0.050979	0
7300	0.053731	0
7500	0.056556	0
7700	0.059453	1
7900	0.062422	1
8100	0.065463	0
8300	0.068577	0
8500	0.071764	0
8700	0.075022	0
8900	0.078353	0
9100	0.081756	0
9300	0.085232	0
9500	0.088780	1
9700	0.092401	0
9900	0.096093	0
10100	0.099858	1
10300	0.103696	1
10500	0.107606	0
10700	0.111588	0
10900	0.115642	0
11100	0.119769	0
11300	0.123968	0
11500	0.128240	1
11700	0.132584	0
11900	0.137000	0
12100	0.141488	1
12300	0.146049	0
12500	0.150683	0
12700	0.155388	1
12900	0.160166	0
13100	0.165017	0
13300	0.169939	0
13500	0.174934	0
13700	0.180002	0
13900	0.185142	0
14100	0.190354	0
14300	0.195638	0
14500	0.200995	0
14700	0.206424	0
14900	0.211925	0
15100	0.217499	1
15300	0.223146	0
15500	0.228864	0
15700	0.234655	0
15900	0.240518	0
16100	0.246454	0
16300	0.252462	0
16500	0.258542	0
16700	0.264695	0
16900	0.270920	0
17100	0.277217	1
17300	0.283587	0
17500	0.290029	2
17700	0.296543	0
17900	0.303130	0
18100	0.309789	0
18300	0.316520	0
18500	0.323324	0
18700	0.330200	0
18900	0.337149	0
19100	0.344170	0
19300	0.351263	0
19500	0.358428	0
19700	0.365666	0
19900	0.372977	0
20100	0.380359	0
20300	0.387814	0
20500	0.395341	0
20700	0.402941	1
20900	0.410613	0
21100	0.418357	1
21300	0.426174	0
21500	0.434063	1
21700	0.442025	1
21900	0.450058	0
22100	0.458164	0
22300	0.466343	0
22500	0.474594	0
22700	0.482917	0
22900	0.491312	0
23100	0.499780	1
23300	0.508320	1
23500	0.516933	0
23700	0.525618	0
23900	0.534375	0
24100	0.543205	0
24300	0.552107	0
24500	0.561081	0
24700	0.570128	1
24900	0.579247	0
