# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000236	0
300	0.000457	26
500	0.000750	0
700	0.001116	0
900	0.001554	0
1100	0.002064	1
1300	0.002647	7
1500	0.003302	13
1700	0.004029	6
1900	0.004828	0
2100	0.005700	0
2300	0.006645	1
2500	0.007661	0
2700	0.008750	2
2900	0.009911	0
3100	0.011145	0
3300	0.012451	0
3500	0.013829	2
3700	0.015279	1
3900	0.016802	0
4100	0.018397	0
4300	0.020065	0
4500	0.021805	0
4700	0.023617	0
4900	0.025502	0
5100	0.027458	1
5300	0.029487	1
5500	0.031589	0
5700	0.033763	0
5900	0.036009	0
6100	0.038327	0
6300	0.040718	0
6500	0.043181	0
6700	0.045717	0
6900	0.048325	0
7100	0.051005	1
7300	0.053757	0
7500	0.056582	0
7700	0.059479	0
7900	0.062448	2
8100	0.065490	0
8300	0.068604	0
8500	0.071791	1
8700	0.075049	0
8900	0.078380	0
9100	0.081784	0
9300	0.085259	0
9500	0.088807	0
9700	0.092428	0
9900	0.096120	0
10100	0.099885	0
10300	0.103723	0
10500	0.107633	0
10700	0.111615	0
10900	0.115669	0
11100	0.119795	0
11300	0.123994	0
11500	0.128266	0
11700	0.132609	0
11900	0.137025	0
12100	0.141514	0
12300	0.146074	0
12500	0.150707	0
12700	0.155413	0
12900	0.160190	0
13100	0.165040	0
13300	0.169962	0
13500	0.174957	0
13700	0.180024	0
13900	0.185163	0
14100	0.190375	0
14300	0.195659	0
14500	0.201015	0
14700	0.206443	0
14900	0.211944	0
15100	0.217518	0
15300	0.223163	0
15500	0.228881	0
15700	0.234671	0
15900	0.240534	0
16100	0.246469	0
16300	0.252476	0
16500	0.258555	0
16700	0.264707	0
16900	0.270931	0
17100	0.277228	0
17300	0.283597	0
17500	0.290038	0
17700	0.296551	0
17900	0.303137	0
18100	0.309795	0
18300	0.316526	0
18500	0.323328	0
18700	0.330203	0
18900	0.337151	0
19100	0.344171	0
19300	0.351263	0
19500	0.358427	0
19700	0.365664	1
19900	0.372973	0
20100	0.380354	0
20300	0.387808	0
20500	0.395334	1
20700	0.402933	0
20900	0.410603	0
21100	0.418346	0
21300	0.426162	0
21500	0.434049	0
21700	0.442010	0
21900	0.450042	0
22100	0.458147	0
22300	0.466324	0
22500	0.474573	0
22700	0.482895	0
22900	0.491289	0
23100	0.499755	0
23300	0.508294	0
23500	0.516905	0
23700	0.525588	0
23900	0.534344	0
24100	0.543171	0
24300	0.552072	0
24500	0.561044	0
24700	0.570089	0
24900	0.579207	0
25100	0.588396	0
25300	0.597658	0
25500	0.606992	0
25700	0.616399	0
25900	0.625878	0
26100	0.635429	0
26300	0.645053	0
26500	0.654749	0
26700	0.664517	0
26900	0.674357	0
27100	0.684270	1
27300	0.694256	0
27500	0.704313	0
27700	0.714443	0
27900	0.724645	0
28100	0.734920	0
28300	0.745267	0
28500	0.755686	0
28700	0.766177	0
28900	0.776741	0
29100	0.787377	0
29300	0.798086	0
29500	0.808866	0
29700	0.819720	0
29900	0.830645	0
30100	0.841643	0
30300	0.852713	0
30500	0.863856	0
30700	0.875070	2
30900	0.886357	4
31100	0.897717	0
31300	0.909149	0
31500	0.920653	0
31700	0.932229	0
31900	0.943878	1
32100	0.955599	5
32300	0.967392	4
32500	0.979258	20
32700	0.991196	143
32900	1.003207	264500
33100	1.015289	3133
33300	1.027444	211
33500	1.039672	74
33700	1.051971	32
33900	1.064343	10
34100	1.076788	8
34300	1.089304	5
34500	1.101893	4
34700	1.114555	2
34900	1.127288	3
35100	1.140094	0
35300	1.152973	2
35500	1.165923	0
35700	1.178946	0
35900	1.192042	0
36100	1.205209	1
36300	1.218449	1
36500	1.231762	1
36700	1.245146	0
36900	1.258603	0
37100	1.272132	1
37300	1.285734	1
37500	1.299408	0
37700	1.313154	1
37900	1.326973	1
38100	1.340864	0
38300	1.354827	0
38500	1.368863	0
38700	1.382970	1
38900	1.397151	0
39100	1.411403	0
39300	1.425728	0
39500	1.440125	0
39700	1.454595	0
39900	1.469137	1
40100	1.483751	0
40300	1.498437	0
40500	1.513196	0
40700	1.528027	0
40900	1.542931	1
41100	1.557907	0
41300	1.572955	0
41500	1.588075	0
41700	1.603268	0
41900	1.618533	0
42100	1.633871	0
42300	1.649281	0
42500	1.664763	0
42700	1.680317	0
42900	1.695944	1
43100	1.711643	1
43300	1.727415	0
43500	1.743258	0
43700	1.759174	1
43900	1.775163	0
44100	1.791224	0
44300	1.807357	0
44500	1.823562	0
44700	1.839840	0
44900	1.856190	0
45100	1.872612	0
45300	1.889107	0
45500	1.905674	0
45700	1.922313	0
45900	1.939025	0
46100	1.955809	0
46300	1.972665	0
46500	1.989594	0
46700	2.006595	18
46900	2.023669	7
47100	2.040814	0
47300	2.058032	0
47500	2.075322	0
47700	2.092685	0
47900	2.110120	0
48100	2.127627	0
48300	2.145207	0
48500	2.162859	0
48700	2.180583	0
48900	2.198380	1
49100	2.216249	0
49300	2.234190	0
49500	2.252204	1
49700	2.270290	0
49900	2.288448	0
50100	2.306678	1
50300	2.324981	0
50500	2.343357	0
50700	2.361804	0
50900	2.380324	0
51100	2.398916	0
51300	2.417581	1
51500	2.436318	0
51700	2.455127	0
51900	2.474008	1
52100	2.492962	0
52300	2.511989	0
52500	2.531087	0
52700	2.550258	0
52900	2.569501	0
53100	2.588817	0
53300	2.608204	1
53500	2.627665	0
53700	2.647197	1
53900	2.666802	0
54100	2.686479	0
54300	2.706228	0
54500	2.726050	0
54700	2.745944	0
54900	2.765911	0
55100	2.785950	0
55300	2.806061	0
55500	2.826244	1
55700	2.846500	0
55900	2.866828	0
56100	2.887228	0
56300	2.907701	0
56500	2.928246	1
56700	2.948864	0
56900	2.969553	0
57100	2.990315	0
57300	3.011150	0
57500	3.032057	0
57700	3.053036	0
57900	3.074087	0
58100	3.095211	0
58300	3.116407	0
58500	3.137675	0
58700	3.159016	0
58900	3.180429	0
59100	3.201914	0
59300	3.223472	0
59500	3.245102	0
59700	3.266804	1
59900	3.288579	0
60100	3.310426	0
60300	3.332345	0
60500	3.354337	0
60700	3.376400	0
60900	3.398537	0
61100	3.420745	0
61300	3.443026	0
61500	3.465380	0
61700	3.487805	0
61900	3.510303	0
62100	3.532873	0
62300	3.555516	0
62500	3.578231	0
62700	3.601018	0
62900	3.623878	0
63100	3.646810	0
63300	3.669814	1
63500	3.692890	0
63700	3.716039	0
63900	3.739260	0
64100	3.762554	0
64300	3.785920	0
64500	3.809358	0
64700	3.832868	0
64900	3.856451	0
65100	3.880106	0
65300	3.903834	0
65500	3.927634	0
65700	3.951506	0
65900	3.975450	0
66100	3.999467	0
66300	4.023556	0
66500	4.047718	0
66700	4.071952	0
66900	4.096258	0
67100	4.120636	0
67300	4.145087	0
67500	4.169610	0
67700	4.194205	0
67900	4.218873	1
68100	4.243613	0
68300	4.268426	0
68500	4.293310	0
68700	4.318268	0
68900	4.343297	0
69100	4.368399	0
69300	4.393573	0
69500	4.418819	0
69700	4.444138	0
69900	4.469529	0
70100	4.494992	0
70300	4.520528	0
70500	4.546136	0
70700	4.571816	0
70900	4.597569	0
71100	4.623394	0
71300	4.649291	0
71500	4.675261	0
71700	4.701303	0
71900	4.727417	0
72100	4.753604	0
72300	4.779863	0
72500	4.806194	0
72700	4.832598	0
72900	4.859074	1
73100	4.885622	0
73300	4.912243	0
73500	4.938936	0
73700	4.965701	0
73900	4.992538	0
74100	5.019448	0
74300	5.046431	0
74500	5.073485	0
74700	5.100612	0
74900	5.127811	0
75100	5.155083	0
75300	5.182427	0
75500	5.209843	0
75700	5.237331	0
75900	5.264892	1
76100	5.292526	0
76300	5.320231	0
76500	5.348009	0
76700	5.375859	0
76900	5.403782	0
77100	5.431776	0
77300	5.459844	0
77500	5.487983	0
77700	5.516195	0
77900	5.544479	0
78100	5.572836	0
78300	5.601264	0
78500	5.629766	0
78700	5.658339	0
78900	5.686985	2
79100	5.715703	0
79300	5.744493	0
79500	5.773356	0
79700	5.802291	0
79900	5.831299	0
80100	5.860378	0
80300	5.889530	1
80500	5.918755	0
80700	5.948052	0
80900	5.977421	0
81100	6.006862	0
81300	6.036376	0
81500	6.065962	0
81700	6.095620	0
81900	6.125351	0
82100	6.155154	0
82300	6.185029	0
82500	6.214977	0
82700	6.244997	0
82900	6.275089	0
83100	6.305254	0
83300	6.335491	0
83500	6.365800	0
83700	6.396182	0
83900	6.426636	0
84100	6.457162	0
84300	6.487761	0
84500	6.518432	0
84700	6.549175	0
84900	6.579991	0
85100	6.610879	0
85300	6.641839	0
85500	6.672872	0
85700	6.703977	0
85900	6.735154	0
86100	6.766403	0
86300	6.797725	0
86500	6.829120	0
86700	6.860586	0
86900	6.892125	0
87100	6.923736	0
87300	6.955420	0
87500	6.987176	1
87700	7.019004	0
87900	7.050905	0
88100	7.082877	0
88300	7.114923	0
88500	7.147040	0
88700	7.179230	2
88900	7.211492	0
89100	7.243827	0
89300	7.276233	0
89500	7.308713	0
89700	7.341264	0
89900	7.373888	0
90100	7.406584	0
90300	7.439353	0
90500	7.472193	0
90700	7.505106	0
90900	7.538092	0
91100	7.571150	0
91300	7.604280	0
91500	7.637482	0
91700	7.670757	0
91900	7.704104	0
92100	7.737524	0
92300	7.771015	0
92500	7.804579	0
92700	7.838216	0
92900	7.871925	0
93100	7.905706	0
93300	7.939559	0
93500	7.973485	0
93700	8.007483	0
93900	8.041553	0
94100	8.075696	0
94300	8.109911	0
94500	8.144198	0
94700	8.178558	0
94900	8.212990	0
95100	8.247494	0
95300	8.282071	0
95500	8.316720	0
95700	8.351441	0
95900	8.386235	0
96100	8.421101	0
96300	8.456039	0
96500	8.491050	0
96700	8.526133	0
96900	8.561288	1
97100	8.596516	0
97300	8.631816	0
97500	8.667188	0
97700	8.702633	0
97900	8.738149	0
98100	8.773739	0
98300	8.809400	0
98500	8.845134	0
98700	8.880940	0
98900	8.916819	1
99100	8.952770	0
99300	8.988793	0
99500	9.024889	0
99700	9.061057	0
99900	9.097297	0
100100	9.133609	0
100300	9.169994	0
100500	9.206451	0
100700	9.242981	0
100900	9.279583	0
101100	9.316257	0
101300	9.353003	0
101500	9.389822	0
101700	9.426713	0
101900	9.463677	0
102100	9.500713	0
102300	9.537821	0
102500	9.575001	0
102700	9.612254	0
102900	9.649579	0
103100	9.686977	0
103300	9.724446	0
103500	9.761989	0
103700	9.799603	0
103900	9.837290	0
104100	9.875049	0
104300	9.912880	0
104500	9.950784	0
104700	9.988760	0
104900	10.026809	0
105100	10.064929	0
105300	10.103122	0
105500	10.141388	0
105700	10.179725	0
105900	10.218135	1
106100	10.256618	0
106300	10.295173	0
106500	10.333800	0
106700	10.372499	0
106900	10.411271	0
107100	10.450115	0
107300	10.489031	0
107500	10.528020	0
107700	10.567081	0
107900	10.606214	0
108100	10.645420	0
108300	10.684698	0
108500	10.724048	0
108700	10.763470	0
