# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000245	0
300	0.000471	59
500	0.000771	2
700	0.001145	0
900	0.001592	0
1100	0.002113	0
1300	0.002708	0
1500	0.003376	13
1700	0.004117	3
1900	0.004932	3
2100	0.005821	0
2300	0.006783	1
2500	0.007819	1
2700	0.008929	1
2900	0.010112	4
3100	0.011368	0
3300	0.012699	0
3500	0.014102	0
3700	0.015580	0
3900	0.017130	0
4100	0.018755	0
4300	0.020453	1
4500	0.022225	0
4700	0.024070	0
4900	0.025989	0
5100	0.027981	1
5300	0.030047	0
5500	0.032186	0
5700	0.034399	0
5900	0.036686	0
6100	0.039046	0
6300	0.041480	0
6500	0.043987	0
6700	0.046568	0
6900	0.049223	0
7100	0.051951	0
7300	0.054752	0
7500	0.057628	0
7700	0.060576	1
7900	0.063599	0
8100	0.066695	0
8300	0.069864	0
8500	0.073107	0
8700	0.076424	0
8900	0.079814	0
9100	0.083278	0
9300	0.086815	0
9500	0.090426	0
9700	0.094111	0
9900	0.097869	0
10100	0.101700	0
10300	0.105606	0
10500	0.109585	0
10700	0.113637	0
10900	0.117763	0
11100	0.121962	0
11300	0.126236	0
11500	0.130582	0
11700	0.135003	0
11900	0.139496	0
12100	0.144064	0
12300	0.148705	0
12500	0.153419	0
12700	0.158207	0
12900	0.163069	0
13100	0.168004	0
13300	0.173013	0
13500	0.178096	0
13700	0.183252	0
13900	0.188481	0
14100	0.193784	0
14300	0.199161	0
14500	0.204611	0
14700	0.210135	0
14900	0.215733	1
15100	0.221404	0
15300	0.227148	0
15500	0.232966	0
15700	0.238858	0
15900	0.244823	0
16100	0.250862	0
16300	0.256975	0
16500	0.263161	0
16700	0.269420	0
16900	0.275754	0
17100	0.282160	0
17300	0.288641	0
17500	0.295195	0
17700	0.301822	0
17900	0.308523	0
18100	0.315298	0
18300	0.322146	0
18500	0.329068	0
18700	0.336063	0
18900	0.343132	0
19100	0.350274	0
19300	0.357490	0
19500	0.364780	0
19700	0.372143	0
19900	0.379580	0
20100	0.387090	0
20300	0.394674	0
20500	0.402332	0
20700	0.410063	0
20900	0.417868	0
21100	0.425746	0
21300	0.433698	0
21500	0.441723	0
21700	0.449822	0
21900	0.457994	0
22100	0.466240	0
22300	0.474560	0
22500	0.482953	0
22700	0.491420	0
22900	0.499961	0
23100	0.508574	0
23300	0.517262	0
23500	0.526023	0
23700	0.534858	0
23900	0.543766	0
24100	0.552748	0
24300	0.561803	0
24500	0.570932	0
24700	0.580135	0
24900	0.589411	0
25100	0.598761	0
25300	0.608184	0
25500	0.617681	0
25700	0.627251	0
25900	0.636895	0
26100	0.646613	0
26300	0.656404	0
26500	0.666269	0
26700	0.676207	0
26900	0.686219	0
27100	0.696304	0
27300	0.706463	0
27500	0.716696	0
27700	0.727002	0
27900	0.737382	0
28100	0.747835	0
28300	0.758362	0
28500	0.768962	0
28700	0.779636	0
28900	0.790384	0
29100	0.801205	0
29300	0.812100	0
29500	0.823068	0
29700	0.834110	0
29900	0.845225	0
30100	0.856414	0
30300	0.867677	0
30500	0.879013	0
30700	0.890423	1
30900	0.901906	0
31100	0.913463	0
31300	0.925094	1
31500	0.936798	0
31700	0.948575	0
31900	0.960426	1
32100	0.972351	11
32300	0.984350	121
32500	0.996422	65
32700	1.008567	914245
32900	1.020786	2024
33100	1.033079	84
33300	1.045445	29
33500	1.057885	26
33700	1.070398	21
33900	1.082985	20
34100	1.095646	14
34300	1.108380	14
34500	1.121187	9
34700	1.134068	9
34900	1.147023	10
35100	1.160052	9
35300	1.173154	3
35500	1.186329	2
35700	1.199578	2
35900	1.212901	5
36100	1.226297	6
36300	1.239767	1
36500	1.253310	1
36700	1.266927	1
36900	1.280618	0
37100	1.294382	1
37300	1.308220	2
37500	1.322131	0
37700	1.336116	4
37900	1.350174	2
38100	1.364306	1
38300	1.378512	1
38500	1.392791	1
38700	1.407144	0
38900	1.421570	1
39100	1.436070	0
39300	1.450643	3
39500	1.465290	0
39700	1.480011	1
39900	1.494805	1
40100	1.509673	0
40300	1.524614	0
40500	1.539629	0
40700	1.554717	0
40900	1.569879	2
41100	1.585115	2
41300	1.600424	1
41500	1.615807	0
41700	1.631263	1
41900	1.646793	0
42100	1.662396	0
42300	1.678073	1
42500	1.693824	0
42700	1.709648	0
42900	1.725546	0
43100	1.741517	1
43300	1.757562	0
43500	1.773680	0
43700	1.789873	0
43900	1.806138	0
44100	1.822477	0
44300	1.838890	0
44500	1.855376	0
44700	1.871936	0
44900	1.888570	0
45100	1.905277	0
45300	1.922058	0
45500	1.938912	3
45700	1.955839	1
45900	1.972841	0
46100	1.989916	1
46300	2.007064	71
46500	2.024286	20
46700	2.041582	0
46900	2.058951	0
47100	2.076394	0
47300	2.093910	1
47500	2.111500	0
47700	2.129164	0
47900	2.146901	0
48100	2.164712	0
48300	2.182596	0
48500	2.200554	0
48700	2.218585	0
48900	2.236690	0
49100	2.254869	0
49300	2.273121	0
49500	2.291446	0
49700	2.309846	2
49900	2.328318	0
50100	2.346865	0
50300	2.365485	0
50500	2.384178	1
50700	2.402945	0
50900	2.421786	0
51100	2.440700	0
51300	2.459688	0
51500	2.478750	0
51700	2.497885	0
51900	2.517093	0
52100	2.536375	0
52300	2.555731	0
52500	2.575160	0
52700	2.594663	0
52900	2.614240	0
53100	2.633890	0
53300	2.653613	0
53500	2.673410	0
53700	2.693281	0
53900	2.713225	0
54100	2.733243	0
54300	2.753335	0
54500	2.773500	0
54700	2.793738	0
54900	2.814050	0
55100	2.834436	0
55300	2.854896	0
55500	2.875428	0
55700	2.896035	0
55900	2.916715	0
56100	2.937469	0
56300	2.958296	0
56500	2.979196	0
56700	3.000171	0
56900	3.021219	0
57100	3.042340	1
57300	3.063535	0
57500	3.084804	0
57700	3.106146	0
57900	3.127562	0
58100	3.149051	0
58300	3.170614	0
58500	3.192251	0
58700	3.213961	0
58900	3.235744	0
59100	3.257601	0
59300	3.279532	1
59500	3.301537	0
59700	3.323615	0
59900	3.345766	0
60100	3.367991	0
60300	3.390290	0
60500	3.412662	0
60700	3.435108	0
60900	3.457627	0
61100	3.480220	0
61300	3.502887	0
61500	3.525627	0
61700	3.548440	1
61900	3.571328	0
62100	3.594289	0
62300	3.617323	1
62500	3.640431	0
62700	3.663612	2
62900	3.686868	0
63100	3.710196	1
63300	3.733598	0
63500	3.757074	0
63700	3.780624	0
63900	3.804247	0
64100	3.827943	0
64300	3.851713	0
64500	3.875557	0
64700	3.899474	0
64900	3.923465	0
65100	3.947530	0
65300	3.971668	0
65500	3.995879	0
65700	4.020164	0
65900	4.044523	0
66100	4.068955	0
66300	4.093461	0
66500	4.118041	0
66700	4.142694	0
66900	4.167420	1
67100	4.192220	0
67300	4.217094	0
67500	4.242041	0
67700	4.267062	0
67900	4.292157	0
68100	4.317325	0
68300	4.342566	0
68500	4.367882	1
68700	4.393270	0
68900	4.418733	0
69100	4.444269	0
69300	4.469878	0
69500	4.495561	0
69700	4.521318	0
69900	4.547148	0
70100	4.573052	0
70300	4.599029	0
70500	4.625080	1
70700	4.651204	0
70900	4.677402	0
71100	4.703674	0
71300	4.730019	0
71500	4.756438	0
71700	4.782930	0
71900	4.809496	0
72100	4.836136	0
72300	4.862849	0
72500	4.889636	0
72700	4.916496	0
72900	4.943430	0
73100	4.970437	0
73300	4.997518	0
73500	5.024672	0
73700	5.051901	0
73900	5.079202	0
74100	5.106577	0
74300	5.134026	0
74500	5.161549	0
74700	5.189145	0
74900	5.216814	0
75100	5.244557	1
75300	5.272374	0
75500	5.300264	0
75700	5.328228	0
75900	5.356265	1
76100	5.384376	0
76300	5.412561	0
76500	5.440819	0
76700	5.469151	0
76900	5.497556	0
77100	5.526035	0
77300	5.554587	0
77500	5.583213	0
77700	5.611913	1
77900	5.640686	1
78100	5.669533	0
78300	5.698453	0
78500	5.727447	0
78700	5.756514	0
78900	5.785655	0
79100	5.814870	0
79300	5.844158	0
79500	5.873520	0
79700	5.902955	0
79900	5.932464	0
80100	5.962046	0
80300	5.991702	0
80500	6.021432	6
80700	6.051235	0
80900	6.081112	0
81100	6.111062	0
81300	6.141086	0
81500	6.171184	0
81700	6.201355	1
81900	6.231599	0
82100	6.261917	0
82300	6.292309	0
82500	6.322774	1
82700	6.353313	0
82900	6.383926	0
83100	6.414612	0
83300	6.445372	0
83500	6.476205	1
83700	6.507111	0
83900	6.538092	1
84100	6.569146	0
84300	6.600273	0
84500	6.631474	0
84700	6.662749	0
84900	6.694097	0
85100	6.725519	0
85300	6.757014	0
85500	6.788583	0
85700	6.820226	0
85900	6.851942	1
86100	6.883731	0
86300	6.915595	0
86500	6.947532	0
86700	6.979542	0
86900	7.011626	43
87100	7.043783	1
87300	7.076014	0
87500	7.108319	0
87700	7.140697	0
87900	7.173149	0
88100	7.205675	1
88300	7.238274	1
88500	7.270946	1
88700	7.303692	0
88900	7.336512	0
89100	7.369405	0
89300	7.402372	0
89500	7.435412	0
89700	7.468526	0
89900	7.501714	0
90100	7.534975	0
90300	7.568310	1
90500	7.601718	0
90700	7.635200	0
90900	7.668755	0
91100	7.702384	0
91300	7.736087	0
91500	7.769863	0
91700	7.803713	0
91900	7.837636	0
92100	7.871633	0
92300	7.905703	0
92500	7.939847	0
92700	7.974065	0
92900	8.008356	8
93100	8.042721	3
93300	8.077159	0
93500	8.111671	0
93700	8.146257	0
93900	8.180916	0
94100	8.215648	0
94300	8.250454	0
94500	8.285334	0
94700	8.320287	0
94900	8.355314	0
95100	8.390415	0
95300	8.425589	0
95500	8.460836	0
95700	8.496158	0
95900	8.531552	0
96100	8.567021	0
96300	8.602563	0
96500	8.638178	0
96700	8.673867	0
96900	8.709630	0
97100	8.745466	0
97300	8.781376	0
97500	8.817359	0
97700	8.853416	0
97900	8.889547	1
98100	8.925751	0
98300	8.962028	0
98500	8.998380	0
98700	9.034804	11
98900	9.071303	0
99100	9.107875	0
99300	9.144520	0
99500	9.181239	0
99700	9.218032	0
99900	9.254898	0
100100	9.291838	0
100300	9.328851	0
100500	9.365938	0
100700	9.403099	0
100900	9.440333	0
101100	9.477641	0
101300	9.515022	0
101500	9.552477	0
101700	9.590005	0
101900	9.627607	0
102100	9.665283	0
102300	9.703032	0
102500	9.740855	0
102700	9.778751	0
102900	9.816721	0
103100	9.854764	0
103300	9.892881	0
103500	9.931072	0
103700	9.969336	0
103900	10.007673	0
104100	10.046085	0
104300	10.084570	0
104500	10.123128	0
104700	10.161760	0
104900	10.200466	0
105100	10.239245	0
105300	10.278097	0
105500	10.317024	0
105700	10.356024	0
105900	10.395097	0
106100	10.434244	0
106300	10.473465	0
106500	10.512759	0
106700	10.552127	0
106900	10.591568	0
107100	10.631083	0
107300	10.670671	0
107500	10.710333	0
107700	10.750069	0
107900	10.789878	0
108100	10.829761	0
108300	10.869717	0
108500	10.909747	0
108700	10.949851	0
108900	10.990028	6
109100	11.030278	9
109300	11.070603	0
109500	11.111000	0
109700	11.151472	0
109900	11.192017	0
110100	11.232635	0
110300	11.273327	0
110500	11.314093	0
110700	11.354932	0
110900	11.395845	0
111100	11.436831	0
111300	11.477891	2
111500	11.519025	0
111700	11.560232	0
111900	11.601512	1
112100	11.642867	0
112300	11.684294	1
112500	11.725796	0
112700	11.767371	0
112900	11.809019	0
113100	11.850741	0
113300	11.892537	0
113500	11.934406	1
113700	11.976349	31
113900	12.018365	19200
114100	12.060455	1
114300	12.102619	3
114500	12.144856	2
114700	12.187167	1
114900	12.229551	1
115100	12.272009	1
115300	12.314540	0
115500	12.357145	1
115700	12.399824	1
115900	12.442576	1
116100	12.485402	0
116300	12.528301	1
116500	12.571274	1
116700	12.614320	2
116900	12.657440	0
117100	12.700634	1
117300	12.743901	3
117500	12.787242	1
117700	12.830656	1
117900	12.874144	2
118100	12.917705	3
118300	12.961340	5
118500	13.005049	55800
118700	13.048831	86
118900	13.092687	7
119100	13.136616	3
119300	13.180619	2
119500	13.224695	2
119700	13.268845	6
119900	13.313069	0
120100	13.357366	0
120300	13.401737	2
120500	13.446181	0
120700	13.490699	2
120900	13.535291	9
121100	13.579956	2
121300	13.624694	1
121500	13.669507	1
121700	13.714392	1
121900	13.759352	3
122100	13.804385	0
122300	13.849491	1
122500	13.894671	1
122700	13.939925	5
122900	13.985252	5
123100	14.030653	25920
123300	14.076127	12
123500	14.121675	4
123700	14.167297	3
123900	14.212992	5
124100	14.258760	0
124300	14.304602	4
124500	14.350518	0
124700	14.396508	2
124900	14.442571	3
125100	14.488707	6
125300	14.534917	2
125500	14.581201	16
125700	14.627558	0
125900	14.673989	0
126100	14.720493	1
126300	14.767071	3
126500	14.813723	0
126700	14.860448	0
126900	14.907247	0
127100	14.954119	7
127300	15.001065	15126
127500	15.048084	32383
127700	15.095177	47
127900	15.142344	24
128100	15.189584	12
128300	15.236897	13
128500	15.284285	9
128700	15.331746	6
128900	15.379280	5
129100	15.426888	6
129300	15.474570	6
129500	15.522325	9
129700	15.570153	6
129900	15.618056	6
130100	15.666032	47
130300	15.714081	3
130500	15.762204	1
130700	15.810401	3
130900	15.858671	2
131100	15.907014	31
131300	15.955432	76
131500	16.003923	279910
131700	16.052487	367
131900	16.101125	10
132100	16.149837	13
132300	16.198622	8
132500	16.247481	6
132700	16.296413	5
132900	16.345419	4
133100	16.394498	2
133300	16.443651	4
133500	16.492878	9
133700	16.542178	7
133900	16.591552	4
134100	16.640999	2
134300	16.690520	3
134500	16.740115	2
134700	16.789783	4
134900	16.839524	3
135100	16.889339	8
135300	16.939228	32
135500	16.989191	253710
135700	17.039226	1311
135900	17.089336	36
136100	17.139519	14
136300	17.189776	13
136500	17.240106	12
136700	17.290510	10
136900	17.340987	11
137100	17.391538	6
137300	17.442163	5
137500	17.492861	6
137700	17.543632	3
137900	17.594478	5
138100	17.645396	1
138300	17.696389	59
138500	17.747455	6
138700	17.798594	4
138900	17.849807	4
139100	17.901094	2
139300	17.952454	2
139500	18.003888	612
139700	18.055395	7
139900	18.106976	4
140100	18.158631	3
140300	18.210359	1
140500	18.262161	2
140700	18.314036	2
140900	18.365985	0
141100	18.418007	0
141300	18.470103	3
141500	18.522273	2
141700	18.574516	1
141900	18.626833	1
142100	18.679223	1
142300	18.731687	1
142500	18.784224	0
142700	18.836835	0
142900	18.889520	4
143100	18.942278	2
143300	18.995110	18431
143500	19.048015	160
143700	19.100994	5
143900	19.154046	2
144100	19.207172	1
144300	19.260372	1
144500	19.313645	1
144700	19.366992	1
144900	19.420412	0
145100	19.473906	0
145300	19.527473	2
145500	19.581114	0
145700	19.634829	4
145900	19.688617	0
146100	19.742479	0
146300	19.796414	1
146500	19.850423	2
146700	19.904506	1
146900	19.958662	0
147100	20.012891	3
147300	20.067195	3
147500	20.121571	3
147700	20.176022	1
147900	20.230546	0
148100	20.285143	0
148300	20.339814	1
148500	20.394559	3
148700	20.449377	1
148900	20.504269	0
149100	20.559234	1
149300	20.614273	0
149500	20.669386	0
149700	20.724572	0
149900	20.779831	0
150100	20.835164	1
150300	20.890571	0
150500	20.946052	1
150700	21.001606	3
150900	21.057233	3
151100	21.112934	0
151300	21.168709	1
151500	21.224557	0
151700	21.280479	1
151900	21.336474	1
152100	21.392543	0
152300	21.448686	0
152500	21.504902	0
152700	21.561192	0
152900	21.617555	0
153100	21.673992	0
153300	21.730502	0
153500	21.787086	1
153700	21.843744	1
153900	21.900475	0
154100	21.957279	0
154300	22.014158	6
154500	22.071110	5
154700	22.128135	0
154900	22.185234	0
155100	22.242407	2
155300	22.299653	0
155500	22.356972	0
155700	22.414366	1
155900	22.471833	2
156100	22.529373	0
156300	22.586987	1
156500	22.644675	0
156700	22.702436	0
156900	22.760270	0
157100	22.818179	0
157300	22.876161	0
157500	22.934216	0
157700	22.992345	609
157900	23.050548	21
158100	23.108824	0
158300	23.167174	0
158500	23.225597	0
158700	23.284094	1
158900	23.342664	1
159100	23.401308	0
159300	23.460026	3
159500	23.518817	1
159700	23.577682	1
159900	23.636620	1
160100	23.695632	1
160300	23.754718	0
160500	23.813877	0
160700	23.873109	3
160900	23.932416	24
161100	23.991795	52528
161300	24.051249	171
161500	24.110776	8
161700	24.170376	12
161900	24.230050	5
162100	24.289798	3
162300	24.349619	3
162500	24.409514	6
162700	24.469482	3
162900	24.529524	3
163100	24.589640	1
163300	24.649829	3
163500	24.710091	5
163700	24.770428	2
163900	24.830837	5
164100	24.891321	20
164300	24.951878	32
164500	25.012508	210475
164700	25.073212	437
164900	25.133990	74
165100	25.194841	22
165300	25.255766	14
165500	25.316765	8
165700	25.377836	7
165900	25.438982	4
166100	25.500201	6
166300	25.561494	7
166500	25.622860	1
166700	25.684300	2
166900	25.745813	3
167100	25.807400	2
167300	25.869061	7
167500	25.930795	10
167700	25.992603	129572
167900	26.054484	2967
168100	26.116439	463
168300	26.178467	149
168500	26.240569	79
168700	26.302745	64
168900	26.364994	23
169100	26.427317	14
169300	26.489713	27
169500	26.552183	9
169700	26.614726	5
169900	26.677343	6
170100	26.740034	6
170300	26.802798	4
170500	26.865636	3
170700	26.928547	8
170900	26.991532	8016
171100	27.054591	10947
171300	27.117723	23
171500	27.180928	11
171700	27.244207	10
171900	27.307560	0
172100	27.370986	7
172300	27.434486	5
172500	27.498060	4
172700	27.561707	2
172900	27.625427	1
173100	27.689222	0
173300	27.753089	0
173500	27.817031	2
173700	27.881046	0
173900	27.945134	39
174100	28.009296	889
174300	28.073532	8
174500	28.137841	5
174700	28.202224	1
174900	28.266680	0
175100	28.331210	2
175300	28.395814	1
175500	28.460491	1
175700	28.525241	2
