# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000402	2
300	0.000682	17
500	0.001035	0
700	0.001462	0
900	0.001963	0
1100	0.002537	0
1300	0.003185	2
1500	0.003906	8
1700	0.004701	2
1900	0.005570	2
2100	0.006512	0
2300	0.007527	1
2500	0.008617	1
2700	0.009779	1
2900	0.011016	1
3100	0.012325	0
3300	0.013709	0
3500	0.015166	1
3700	0.016696	0
3900	0.018300	0
4100	0.019978	0
4300	0.021729	0
4500	0.023554	1
4700	0.025452	0
4900	0.027424	0
5100	0.029470	0
5300	0.031589	0
5500	0.033782	0
5700	0.036048	0
5900	0.038387	0
6100	0.040801	0
6300	0.043288	0
6500	0.045848	0
6700	0.048482	0
6900	0.051190	0
7100	0.053971	0
7300	0.056825	0
7500	0.059754	0
7700	0.062755	0
7900	0.065831	0
8100	0.068980	0
8300	0.072202	0
8500	0.075498	0
8700	0.078868	0
8900	0.082311	0
9100	0.085828	0
9300	0.089418	0
9500	0.093082	0
9700	0.096819	0
9900	0.100630	0
10100	0.104515	0
10300	0.108473	0
10500	0.112505	0
10700	0.116610	0
10900	0.120789	0
11100	0.125041	0
11300	0.129367	0
11500	0.133767	0
11700	0.138240	0
11900	0.142786	0
12100	0.147407	1
12300	0.152100	0
12500	0.156868	0
12700	0.161709	0
12900	0.166623	0
13100	0.171611	0
13300	0.176673	0
13500	0.181808	0
13700	0.187017	0
13900	0.192299	0
14100	0.197655	0
14300	0.203084	0
14500	0.208587	0
14700	0.214164	0
14900	0.219814	0
15100	0.225537	0
15300	0.231335	0
15500	0.237205	0
15700	0.243150	0
15900	0.249168	0
16100	0.255259	0
16300	0.261424	0
16500	0.267663	0
16700	0.273975	0
16900	0.280361	0
17100	0.286820	0
17300	0.293353	0
17500	0.299959	0
17700	0.306639	0
17900	0.313393	0
18100	0.320220	0
18300	0.327120	0
18500	0.334095	0
18700	0.341143	0
18900	0.348264	0
19100	0.355459	0
19300	0.362727	0
19500	0.370069	0
19700	0.377485	0
19900	0.384974	0
20100	0.392537	0
20300	0.400173	0
20500	0.407883	0
20700	0.415667	0
20900	0.423524	0
21100	0.431454	0
21300	0.439458	0
21500	0.447536	0
21700	0.455687	0
21900	0.463912	0
22100	0.472210	0
22300	0.480582	0
22500	0.489028	0
22700	0.497547	0
22900	0.506139	0
23100	0.514806	0
23300	0.523545	0
23500	0.532359	0
23700	0.541246	0
23900	0.550206	0
24100	0.559240	0
24300	0.568348	0
24500	0.577529	0
24700	0.586784	0
24900	0.596112	1
25100	0.605514	0
25300	0.614989	0
25500	0.624538	0
25700	0.634161	0
25900	0.643857	0
26100	0.653626	0
26300	0.663469	0
26500	0.673386	0
26700	0.683377	0
26900	0.693440	0
27100	0.703578	0
27300	0.713789	0
27500	0.724074	0
27700	0.734432	0
27900	0.744863	0
28100	0.755369	0
28300	0.765948	0
28500	0.776600	0
28700	0.787326	0
28900	0.798126	0
29100	0.808999	0
29300	0.819945	0
29500	0.830966	0
29700	0.842059	0
29900	0.853227	0
30100	0.864468	0
30300	0.875782	0
30500	0.887170	1
30700	0.898632	3
30900	0.910167	1
31100	0.921776	215
31300	0.933458	4
31500	0.945214	33
31700	0.957043	5
31900	0.968946	5
32100	0.980923	47
32300	0.992973	152
32500	1.005097	586852
32700	1.017294	5644
32900	1.029565	155
33100	1.041909	56
33300	1.054327	34
33500	1.066818	27
33700	1.079383	27
33900	1.092022	16
34100	1.104734	11
34300	1.117520	3
34500	1.130379	3
34700	1.143312	6
34900	1.156319	0
35100	1.169399	2
35300	1.182552	4
35500	1.195779	1
35700	1.209080	1
35900	1.222454	2
36100	1.235902	4
36300	1.249424	1
36500	1.263019	2
36700	1.276687	2
36900	1.290429	0
37100	1.304245	2
37300	1.318134	3
37500	1.332097	6
37700	1.346133	2
37900	1.360243	1
38100	1.374426	1
38300	1.388683	1
38500	1.403014	0
38700	1.417418	1
38900	1.431896	0
39100	1.446447	1
39300	1.461072	0
39500	1.475770	1
39700	1.490542	1
39900	1.505388	1
40100	1.520307	1
40300	1.535300	0
40500	1.550366	0
40700	1.565506	5
40900	1.580719	3
41100	1.596006	0
41300	1.611366	1
41500	1.626800	1
41700	1.642308	1
41900	1.657889	1
42100	1.673544	0
42300	1.689272	0
42500	1.705074	0
42700	1.720950	0
42900	1.736899	0
43100	1.752921	0
43300	1.769017	0
43500	1.785187	1
43700	1.801430	0
43900	1.817747	0
44100	1.834137	0
44300	1.850601	0
44500	1.867139	0
44700	1.883750	0
44900	1.900434	0
45100	1.917193	0
45300	1.934024	0
45500	1.950930	0
45700	1.967909	1
45900	1.984961	3
46100	2.002087	2
46300	2.019287	64
46500	2.036560	0
46700	2.053906	0
46900	2.071327	1
47100	2.088820	0
47300	2.106388	1
47500	2.124029	0
47700	2.141743	1
47900	2.159531	0
48100	2.177393	0
48300	2.195328	1
48500	2.213337	0
48700	2.231419	0
48900	2.249575	0
49100	2.267805	0
49300	2.286108	0
49500	2.304484	0
49700	2.322934	1
49900	2.341458	0
50100	2.360055	0
50300	2.378726	0
50500	2.397471	0
50700	2.416288	0
50900	2.435180	0
51100	2.454145	0
51300	2.473184	0
51500	2.492296	0
51700	2.511482	0
51900	2.530741	0
52100	2.550074	0
52300	2.569480	0
52500	2.588961	0
52700	2.608514	0
52900	2.628141	0
53100	2.647842	0
53300	2.667616	0
53500	2.687464	0
53700	2.707386	0
53900	2.727381	0
54100	2.747449	0
54300	2.767591	0
54500	2.787807	0
54700	2.808096	0
54900	2.828459	0
55100	2.848895	0
55300	2.869405	0
55500	2.889989	0
55700	2.910646	0
55900	2.931376	0
56100	2.952180	0
56300	2.973058	0
56500	2.994010	0
56700	3.015034	0
56900	3.036133	0
57100	3.057305	0
57300	3.078550	0
57500	3.099869	0
57700	3.121262	0
57900	3.142728	0
58100	3.164268	1
58300	3.185882	0
58500	3.207569	0
58700	3.229329	0
58900	3.251163	0
59100	3.273071	0
59300	3.295052	0
59500	3.317107	0
59700	3.339235	0
59900	3.361437	0
60100	3.383712	0
60300	3.406061	0
60500	3.428484	0
60700	3.450980	0
60900	3.473550	0
61100	3.496193	0
61300	3.518910	0
61500	3.541700	0
61700	3.564564	0
61900	3.587502	0
62100	3.610513	0
62300	3.633597	1
62500	3.656756	0
62700	3.679987	1
62900	3.703293	0
63100	3.726672	0
63300	3.750124	0
63500	3.773650	0
63700	3.797250	1
63900	3.820923	0
64100	3.844670	0
64300	3.868490	0
64500	3.892384	0
64700	3.916351	0
64900	3.940392	0
65100	3.964507	0
65300	3.988695	0
65500	4.012956	0
65700	4.037292	0
65900	4.061700	0
66100	4.086183	0
66300	4.110739	0
66500	4.135368	0
66700	4.160071	0
