# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000334	0
300	0.000592	10
500	0.000924	0
700	0.001330	0
900	0.001808	0
1100	0.002361	0
1300	0.002987	2
1500	0.003687	1
1700	0.004460	1
1900	0.005306	1
2100	0.006226	0
2300	0.007220	0
2500	0.008287	0
2700	0.009428	0
2900	0.010642	0
3100	0.011930	0
3300	0.013292	0
3500	0.014726	0
3700	0.016235	0
3900	0.017817	0
4100	0.019472	0
4300	0.021201	0
4500	0.023004	0
4700	0.024880	0
4900	0.026830	0
5100	0.028853	0
5300	0.030949	0
5500	0.033120	0
5700	0.035363	0
5900	0.037681	0
6100	0.040072	0
6300	0.042536	0
6500	0.045074	0
6700	0.047685	0
6900	0.050370	0
7100	0.053129	0
7300	0.055961	0
7500	0.058866	0
7700	0.061845	0
7900	0.064898	0
8100	0.068024	0
8300	0.071224	0
8500	0.074497	0
8700	0.077844	0
8900	0.081264	0
9100	0.084758	0
9300	0.088325	0
9500	0.091966	0
9700	0.095681	0
9900	0.099469	0
10100	0.103330	0
10300	0.107265	0
10500	0.111274	0
10700	0.115356	0
10900	0.119511	0
11100	0.123741	0
11300	0.128043	0
11500	0.132419	0
11700	0.136869	0
11900	0.141392	0
12100	0.145989	0
12300	0.150660	0
12500	0.155404	0
12700	0.160221	0
12900	0.165112	0
13100	0.170076	0
13300	0.175115	0
13500	0.180226	0
13700	0.185411	0
13900	0.190670	0
14100	0.196002	0
14300	0.201408	0
14500	0.206887	0
14700	0.212440	0
14900	0.218066	0
15100	0.223766	0
15300	0.229539	0
15500	0.235386	0
15700	0.241306	0
15900	0.247300	0
16100	0.253368	0
16300	0.259509	0
16500	0.265724	0
16700	0.272012	0
16900	0.278373	0
17100	0.284808	0
17300	0.291317	0
17500	0.297899	0
17700	0.304555	0
17900	0.311284	0
18100	0.318087	0
18300	0.324964	0
18500	0.331914	0
18700	0.338937	0
18900	0.346034	0
19100	0.353204	0
19300	0.360448	0
19500	0.367766	0
19700	0.375157	0
19900	0.382622	0
20100	0.390160	0
20300	0.397772	0
20500	0.405457	0
20700	0.413216	0
20900	0.421048	0
21100	0.428954	0
21300	0.436933	0
21500	0.444986	0
21700	0.453113	0
21900	0.461312	0
22100	0.469586	0
22300	0.477933	0
22500	0.486354	0
22700	0.494848	0
22900	0.503415	0
23100	0.512057	0
23300	0.520771	0
23500	0.529559	0
23700	0.538421	0
23900	0.547357	0
24100	0.556365	0
24300	0.565448	0
24500	0.574604	0
24700	0.583833	0
24900	0.593136	0
25100	0.602513	0
25300	0.611963	0
25500	0.621486	0
25700	0.631083	0
25900	0.640754	0
26100	0.650498	0
26300	0.660316	0
26500	0.670207	0
26700	0.680172	0
26900	0.690210	0
27100	0.700322	0
27300	0.710507	0
27500	0.720766	0
27700	0.731099	0
27900	0.741505	0
28100	0.751984	0
28300	0.762537	0
28500	0.773164	0
28700	0.783864	0
28900	0.794638	0
29100	0.805485	0
29300	0.816405	0
29500	0.827400	0
29700	0.838467	0
29900	0.849609	0
