# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000410	0
300	0.000692	0
500	0.001048	0
700	0.001477	0
900	0.001980	0
1100	0.002557	0
1300	0.003207	0
1500	0.003931	0
1700	0.004728	0
1900	0.005599	0
2100	0.006544	0
2300	0.007562	0
2500	0.008654	0
2700	0.009819	0
2900	0.011058	0
3100	0.012370	0
3300	0.013756	0
3500	0.015216	0
3700	0.016749	0
3900	0.018356	0
4100	0.020036	0
4300	0.021790	0
4500	0.023618	0
4700	0.025519	0
4900	0.027494	0
5100	0.029542	0
5300	0.031664	0
5500	0.033859	0
5700	0.036128	0
5900	0.038471	0
6100	0.040887	0
6300	0.043376	0
6500	0.045940	0
6700	0.048577	0
6900	0.051287	0
7100	0.054071	0
7300	0.056929	0
7500	0.059860	0
7700	0.062865	0
7900	0.065943	0
8100	0.069095	0
8300	0.072321	0
8500	0.075620	0
8700	0.078992	0
8900	0.082439	0
9100	0.085958	0
9300	0.089552	0
9500	0.093219	0
9700	0.096960	0
9900	0.100774	0
10100	0.104661	0
10300	0.108623	0
10500	0.112658	0
10700	0.116766	0
10900	0.120948	0
11100	0.125204	0
11300	0.129533	0
11500	0.133936	0
11700	0.138412	0
11900	0.142962	0
12100	0.147586	0
12300	0.152283	0
12500	0.157054	0
12700	0.161898	0
12900	0.166816	0
13100	0.171807	0
13300	0.176872	0
13500	0.182011	0
13700	0.187223	0
13900	0.192509	0
14100	0.197868	0
14300	0.203301	0
14500	0.208808	0
14700	0.214388	0
14900	0.220041	0
15100	0.225769	0
15300	0.231569	0
15500	0.237444	0
15700	0.243392	0
15900	0.249413	0
16100	0.255509	0
16300	0.261677	0
16500	0.267920	0
16700	0.274235	0
16900	0.280625	1
17100	0.287088	0
17300	0.293625	0
17500	0.300235	0
17700	0.306919	0
17900	0.313676	0
18100	0.320507	0
18300	0.327411	0
18500	0.334390	0
18700	0.341441	0
18900	0.348566	0
19100	0.355765	0
19300	0.363038	0
19500	0.370384	0
19700	0.377803	1
19900	0.385297	0
20100	0.392863	0
20300	0.400504	0
20500	0.408218	0
20700	0.416005	0
20900	0.423866	0
21100	0.431801	0
21300	0.439809	0
21500	0.447891	0
21700	0.456046	0
21900	0.464275	0
22100	0.472578	0
22300	0.480954	0
22500	0.489404	0
22700	0.497927	0
22900	0.506524	0
23100	0.515194	0
23300	0.523938	0
23500	0.532756	0
23700	0.541647	0
23900	0.550612	0
24100	0.559650	0
24300	0.568762	0
24500	0.577948	0
24700	0.587207	0
24900	0.596539	0
25100	0.605946	0
25300	0.615425	0
25500	0.624979	0
25700	0.634606	0
25900	0.644306	0
26100	0.654080	0
26300	0.663928	0
26500	0.673850	0
26700	0.683844	0
26900	0.693913	0
27100	0.704055	0
27300	0.714271	0
27500	0.724560	0
27700	0.734923	0
27900	0.745359	0
28100	0.755869	0
28300	0.766452	0
28500	0.777110	0
28700	0.787840	0
28900	0.798644	0
29100	0.809522	0
29300	0.820474	0
29500	0.831499	0
29700	0.842597	0
29900	0.853770	0
30100	0.865015	0
30300	0.876335	0
30500	0.887728	0
30700	0.899194	0
30900	0.910734	0
31100	0.922348	0
31300	0.934035	0
31500	0.945796	0
31700	0.957630	0
31900	0.969538	0
32100	0.981520	0
32300	0.993575	0
32500	1.005704	2438
32700	1.017906	5
32900	1.030182	0
33100	1.042531	0
33300	1.054954	0
33500	1.067451	0
33700	1.080021	0
33900	1.092665	0
34100	1.105382	1
34300	1.118173	0
34500	1.131038	0
34700	1.143976	0
34900	1.156987	0
35100	1.170073	0
35300	1.183231	0
35500	1.196464	0
35700	1.209770	0
35900	1.223149	0
36100	1.236603	0
36300	1.250129	0
36500	1.263730	0
36700	1.277404	0
36900	1.291151	0
37100	1.304972	0
37300	1.318867	0
37500	1.332835	0
37700	1.346877	0
37900	1.360992	0
38100	1.375181	0
38300	1.389444	0
38500	1.403780	0
38700	1.418189	0
38900	1.432673	0
39100	1.447229	0
39300	1.461860	0
39500	1.476564	0
39700	1.491342	0
39900	1.506193	0
40100	1.521117	0
40300	1.536116	0
40500	1.551188	0
40700	1.566333	0
40900	1.581552	0
41100	1.596845	0
41300	1.612211	0
41500	1.627651	0
41700	1.643164	0
41900	1.658751	0
42100	1.674412	0
42300	1.690146	0
42500	1.705954	0
42700	1.721835	0
42900	1.737790	0
43100	1.753818	0
43300	1.769920	0
43500	1.786096	0
43700	1.802345	0
43900	1.818668	0
44100	1.835064	0
44300	1.851534	0
44500	1.868078	0
44700	1.884695	0
44900	1.901386	0
45100	1.918150	0
45300	1.934988	0
45500	1.951899	0
45700	1.968884	0
45900	1.985943	0
46100	2.003075	0
46300	2.020281	172
46500	2.037560	0
46700	2.054913	0
46900	2.072339	0
47100	2.089839	0
47300	2.107413	0
47500	2.125060	0
47700	2.142781	1
47900	2.160575	0
48100	2.178443	0
48300	2.196385	0
48500	2.214400	0
48700	2.232489	0
48900	2.250651	0
49100	2.268887	0
49300	2.287196	0
49500	2.305579	0
49700	2.324036	0
49900	2.342566	0
50100	2.361170	0
50300	2.379847	0
50500	2.398598	0
50700	2.417422	0
50900	2.436321	0
51100	2.455292	0
51300	2.474337	0
51500	2.493456	0
51700	2.512649	0
51900	2.531915	0
52100	2.551254	0
52300	2.570667	0
52500	2.590154	0
52700	2.609714	0
52900	2.629348	0
53100	2.649056	0
53300	2.668837	0
53500	2.688691	0
53700	2.708620	0
53900	2.728621	0
54100	2.748697	0
54300	2.768846	0
54500	2.789068	0
54700	2.809364	0
54900	2.829734	1
55100	2.850177	0
55300	2.870694	0
55500	2.891284	0
55700	2.911948	0
55900	2.932686	0
56100	2.953497	0
56300	2.974382	0
56500	2.995340	0
56700	3.016372	47
56900	3.037478	0
57100	3.058657	0
57300	3.079909	0
57500	3.101235	0
57700	3.122635	0
57900	3.144109	0
58100	3.165656	0
58300	3.187276	0
58500	3.208970	0
58700	3.230738	0
58900	3.252579	0
59100	3.274494	0
59300	3.296483	0
59500	3.318545	0
59700	3.340680	0
59900	3.362889	0
60100	3.385172	0
60300	3.407528	0
60500	3.429958	0
60700	3.452462	0
60900	3.475039	0
61100	3.497690	0
61300	3.520414	0
61500	3.543212	0
61700	3.566083	0
61900	3.589028	0
62100	3.612047	0
62300	3.635139	0
62500	3.658304	0
62700	3.681544	0
62900	3.704857	0
63100	3.728243	0
63300	3.751703	0
63500	3.775237	0
63700	3.798844	0
63900	3.822525	0
64100	3.846279	0
64300	3.870107	0
64500	3.894009	0
64700	3.917984	0
64900	3.942032	0
65100	3.966155	0
65300	3.990350	0
65500	4.014620	0
65700	4.038963	0
65900	4.063379	0
66100	4.087870	0
66300	4.112433	0
66500	4.137071	0
66700	4.161782	0
66900	4.186566	0
67100	4.211424	0
67300	4.236356	0
67500	4.261361	0
67700	4.286440	0
67900	4.311592	0
68100	4.336818	0
68300	4.362118	0
68500	4.387491	0
68700	4.412937	0
68900	4.438458	0
69100	4.464052	0
69300	4.489719	0
69500	4.515460	0
69700	4.541275	0
69900	4.567163	0
70100	4.593125	0
70300	4.619160	0
70500	4.645269	0
70700	4.671451	0
70900	4.697707	0
71100	4.724037	0
71300	4.750440	0
71500	4.776917	0
71700	4.803468	0
71900	4.830092	0
72100	4.856789	0
72300	4.883560	0
72500	4.910405	0
72700	4.937323	0
72900	4.964315	0
73100	4.991381	0
73300	5.018520	0
73500	5.045732	0
73700	5.073019	0
73900	5.100378	0
74100	5.127812	0
74300	5.155319	0
74500	5.182899	0
74700	5.210553	0
74900	5.238281	0
75100	5.266082	0
75300	5.293957	0
75500	5.321905	0
75700	5.349927	0
75900	5.378023	0
76100	5.406192	0
76300	5.434435	0
76500	5.462751	0
76700	5.491141	0
76900	5.519605	0
77100	5.548142	0
77300	5.576752	0
77500	5.605437	0
77700	5.634194	0
77900	5.663026	0
78100	5.691931	0
78300	5.720909	0
78500	5.749961	0
78700	5.779087	0
78900	5.808286	0
79100	5.837559	0
79300	5.866906	0
79500	5.896326	0
79700	5.925819	0
79900	5.955387	0
80100	5.985027	0
80300	6.014742	79
80500	6.044530	0
80700	6.074391	0
80900	6.104326	0
81100	6.134335	0
81300	6.164417	0
81500	6.194573	0
81700	6.224802	0
81900	6.255105	0
82100	6.285482	0
82300	6.315932	0
82500	6.346456	0
82700	6.377053	0
82900	6.407724	0
83100	6.438468	0
83300	6.469286	0
83500	6.500178	0
83700	6.531143	0
83900	6.562182	0
84100	6.593294	0
84300	6.624480	0
84500	6.655740	0
84700	6.687073	0
84900	6.718480	0
85100	6.749960	0
85300	6.781514	0
85500	6.813141	0
85700	6.844842	0
85900	6.876617	0
86100	6.908465	0
86300	6.940387	0
86500	6.972382	1
86700	7.004451	811
86900	7.036593	54
87100	7.068809	1
87300	7.101099	0
87500	7.133462	0
87700	7.165899	0
87900	7.198410	0
88100	7.230994	0
88300	7.263651	0
88500	7.296382	0
88700	7.329187	0
88900	7.362065	0
89100	7.395017	0
89300	7.428042	0
89500	7.461142	0
89700	7.494314	0
89900	7.527560	0
90100	7.560880	0
90300	7.594273	0
90500	7.627740	0
90700	7.661281	0
90900	7.694895	0
91100	7.728583	0
91300	7.762344	0
91500	7.796179	0
91700	7.830087	0
91900	7.864069	0
92100	7.898125	0
92300	7.932254	0
92500	7.966457	0
92700	8.000733	0
92900	8.035083	0
93100	8.069506	0
93300	8.104003	0
93500	8.138574	0
93700	8.173218	0
93900	8.207936	0
94100	8.242727	0
94300	8.277592	0
94500	8.312531	0
94700	8.347543	0
94900	8.382629	0
95100	8.417788	0
95300	8.453021	0
95500	8.488327	0
95700	8.523707	0
95900	8.559161	0
96100	8.594688	0
96300	8.630289	0
96500	8.665963	0
96700	8.701711	0
96900	8.737532	0
97100	8.773427	0
97300	8.809396	0
97500	8.845438	0
97700	8.881554	0
97900	8.917743	0
98100	8.954006	0
98300	8.990343	0
98500	9.026753	0
98700	9.063237	0
98900	9.099794	0
99100	9.136425	0
99300	9.173129	0
99500	9.209907	0
99700	9.246759	0
99900	9.283684	0
100100	9.320683	0
100300	9.357755	0
100500	9.394901	0
100700	9.432121	0
100900	9.469414	0
101100	9.506781	0
101300	9.544221	0
101500	9.581735	0
101700	9.619322	0
101900	9.656983	0
102100	9.694718	0
102300	9.732526	0
102500	9.770407	0
102700	9.808363	0
102900	9.846392	0
103100	9.884494	0
103300	9.922670	0
103500	9.960920	0
103700	9.999243	1
103900	10.037640	0
104100	10.076110	0
104300	10.114654	0
104500	10.153272	0
104700	10.191963	0
104900	10.230727	0
105100	10.269566	0
105300	10.308478	0
105500	10.347463	0
105700	10.386522	0
105900	10.425655	0
106100	10.464861	0
106300	10.504141	0
106500	10.543494	0
106700	10.582921	0
106900	10.622421	0
107100	10.661995	0
107300	10.701643	0
107500	10.741364	0
107700	10.781159	0
107900	10.821027	0
108100	10.860969	0
108300	10.900985	0
108500	10.941074	1
108700	10.981237	0
108900	11.021473	6
109100	11.061783	0
109300	11.102166	0
109500	11.142623	0
109700	11.183154	0
109900	11.223758	0
110100	11.264436	0
110300	11.305187	0
110500	11.346012	0
110700	11.386911	0
110900	11.427883	0
111100	11.468929	0
111300	11.510048	0
111500	11.551241	0
111700	11.592507	0
111900	11.633847	0
112100	11.675261	0
112300	11.716748	0
112500	11.758309	0
112700	11.799943	0
112900	11.841651	0
113100	11.883432	0
113300	11.925287	0
113500	11.967216	2
113700	12.009218	1620
113900	12.051294	0
114100	12.093443	0
114300	12.135666	0
114500	12.177963	0
114700	12.220333	0
114900	12.262777	0
115100	12.305294	1
115300	12.347885	0
115500	12.390549	0
115700	12.433287	0
115900	12.476099	0
116100	12.518984	0
116300	12.561943	0
116500	12.604975	0
116700	12.648081	0
116900	12.691260	0
117100	12.734514	0
117300	12.777840	0
117500	12.821240	0
117700	12.864714	0
117900	12.908262	0
118100	12.951883	0
118300	12.995577	1122
118500	13.039345	5
118700	13.083187	0
118900	13.127102	0
119100	13.171091	0
119300	13.215154	0
119500	13.259290	0
119700	13.303499	0
119900	13.347782	0
120100	13.392139	0
120300	13.436570	0
120500	13.481074	0
120700	13.525651	0
120900	13.570302	0
121100	13.615027	0
121300	13.659825	0
121500	13.704697	0
121700	13.749642	0
121900	13.794661	0
122100	13.839754	0
122300	13.884920	0
122500	13.930160	0
122700	13.975473	1
122900	14.020860	1638
123100	14.066320	1
123300	14.111855	1
123500	14.157462	0
123700	14.203143	0
123900	14.248898	0
124100	14.294727	0
124300	14.340628	0
124500	14.386604	0
124700	14.432653	0
124900	14.478776	0
125100	14.524972	0
125300	14.571242	0
125500	14.617585	0
125700	14.664002	1
125900	14.710493	0
126100	14.757057	0
126300	14.803695	0
126500	14.850406	0
126700	14.897191	0
126900	14.944050	2
127100	14.990982	71
127300	15.037987	7223
127500	15.085067	6
127700	15.132219	0
127900	15.179446	1
128100	15.226746	0
128300	15.274119	1
128500	15.321567	0
128700	15.369087	0
128900	15.416682	1
129100	15.464349	0
129300	15.512091	0
129500	15.559906	0
129700	15.607795	0
129900	15.655757	0
130100	15.703793	1
130300	15.751902	0
130500	15.800085	0
130700	15.848341	0
130900	15.896671	0
131100	15.945075	1
131300	15.993552	85
131500	16.042103	181
131700	16.090728	0
131900	16.139426	0
132100	16.188197	0
132300	16.237042	0
132500	16.285961	0
132700	16.334953	0
132900	16.384019	0
133100	16.433159	0
133300	16.482372	0
133500	16.531659	0
133700	16.581019	0
133900	16.630453	0
134100	16.679960	0
134300	16.729541	0
134500	16.779195	0
134700	16.828924	0
134900	16.878725	0
135100	16.928600	0
135300	16.978549	62
135500	17.028572	73
135700	17.078668	0
135900	17.128837	0
136100	17.179081	0
136300	17.229397	0
136500	17.279788	0
136700	17.330252	0
136900	17.380789	0
137100	17.431400	0
137300	17.482085	0
137500	17.532843	0
137700	17.583675	0
137900	17.634580	1
138100	17.685559	0
138300	17.736612	0
138500	17.787738	0
138700	17.838938	0
138900	17.890211	0
139100	17.941558	1
139300	17.992978	114
139500	18.044472	1168
139700	18.096040	7
139900	18.147681	1
140100	18.199396	0
140300	18.251184	2
140500	18.303046	0
140700	18.354982	0
140900	18.406991	0
141100	18.459074	0
141300	18.511230	0
141500	18.563460	0
141700	18.615763	0
141900	18.668140	0
142100	18.720591	0
142300	18.773115	0
142500	18.825713	0
142700	18.878384	0
142900	18.931129	0
143100	18.983947	79
143300	19.036839	1076
143500	19.089805	2
143700	19.142844	1
143900	19.195957	1
144100	19.249143	0
144300	19.302403	0
144500	19.355737	0
144700	19.409144	1
144900	19.462625	0
145100	19.516179	0
145300	19.569807	0
145500	19.623508	0
145700	19.677283	0
145900	19.731132	0
146100	19.785054	0
146300	19.839050	0
146500	19.893119	0
146700	19.947262	0
146900	20.001479	7
147100	20.055769	0
147300	20.110132	0
147500	20.164570	0
147700	20.219080	0
147900	20.273665	0
148100	20.328323	0
148300	20.383054	0
148500	20.437860	0
148700	20.492738	0
148900	20.547691	0
149100	20.602716	0
149300	20.657816	0
149500	20.712989	0
149700	20.768236	0
149900	20.823556	0
150100	20.878950	0
150300	20.934417	1
150500	20.989958	0
150700	21.045572	3
150900	21.101260	0
151100	21.157022	0
151300	21.212857	0
151500	21.268766	1
151700	21.324749	0
151900	21.380805	1
152100	21.436934	0
152300	21.493137	1
152500	21.549414	3
152700	21.605765	3
152900	21.662188	4
153100	21.718686	1
153300	21.775257	0
153500	21.831902	0
153700	21.888620	0
153900	21.945412	2
154100	22.002277	2
154300	22.059216	0
154500	22.116229	0
154700	22.173315	0
154900	22.230474	0
155100	22.287708	0
155300	22.345015	0
155500	22.402395	2
155700	22.459849	0
155900	22.517377	0
156100	22.574978	50
156300	22.632653	4
156500	22.690401	4
156700	22.748223	2
156900	22.806118	0
157100	22.864087	72
157300	22.922130	232
157500	22.980246	678348
157700	23.038436	8923
157900	23.096700	1014
158100	23.155037	492
158300	23.213447	266
158500	23.271931	183
158700	23.330489	117
158900	23.389120	93
159100	23.447825	53
159300	23.506604	44
159500	23.565456	30
159700	23.624381	26
159900	23.683380	22
160100	23.742453	17
160300	23.801600	10
160500	23.860820	7
160700	23.920113	13
160900	23.979480	3756
161100	24.038921	29
161300	24.098435	5
161500	24.158023	9
161700	24.217684	8
161900	24.277419	1
162100	24.337228	4
162300	24.397110	5
162500	24.457066	4
162700	24.517095	2
162900	24.577198	4
163100	24.637375	0
163300	24.697625	3
163500	24.757948	0
163700	24.818346	1
163900	24.878816	1
164100	24.939361	7
164300	24.999979	1279
164500	25.060670	5
164700	25.121435	0
164900	25.182274	1
165100	25.243186	2
165300	25.304172	0
165500	25.365232	1
165700	25.426365	1
165900	25.487571	1
166100	25.548852	3
166300	25.610205	2
166500	25.671633	1
166700	25.733134	0
166900	25.794708	1
167100	25.856356	2
167300	25.918078	4
