# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000306	0
300	0.000555	0
500	0.000877	0
700	0.001273	0
900	0.001743	0
1100	0.002286	0
1300	0.002903	0
1500	0.003593	0
1700	0.004357	0
1900	0.005194	0
2100	0.006105	0
2300	0.007089	0
2500	0.008147	0
2700	0.009279	0
2900	0.010484	0
3100	0.011763	0
3300	0.013115	0
3500	0.014541	0
3700	0.016040	0
3900	0.017613	0
4100	0.019259	0
4300	0.020979	0
4500	0.022773	0
4700	0.024640	0
4900	0.026581	0
5100	0.028595	0
5300	0.030683	0
5500	0.032844	0
5700	0.035079	0
5900	0.037387	0
6100	0.039769	0
6300	0.042225	0
6500	0.044754	0
6700	0.047357	0
6900	0.050033	0
7100	0.052783	0
7300	0.055606	0
7500	0.058503	0
7700	0.061473	0
7900	0.064517	0
8100	0.067635	0
8300	0.070826	0
8500	0.074091	0
8700	0.077429	0
8900	0.080841	0
9100	0.084326	0
9300	0.087885	0
9500	0.091518	0
9700	0.095224	0
9900	0.099003	0
10100	0.102856	0
10300	0.106783	0
10500	0.110783	0
10700	0.114857	0
10900	0.119004	0
11100	0.123225	0
11300	0.127520	0
11500	0.131888	0
11700	0.136329	0
11900	0.140844	0
12100	0.145433	0
12300	0.150095	0
12500	0.154831	0
12700	0.159641	0
12900	0.164524	0
13100	0.169480	0
13300	0.174510	0
13500	0.179614	0
13700	0.184791	0
13900	0.190041	0
14100	0.195366	0
14300	0.200763	0
14500	0.206235	0
14700	0.211780	0
14900	0.217398	0
15100	0.223090	0
15300	0.228856	0
15500	0.234695	0
15700	0.240608	0
15900	0.246594	0
16100	0.252654	0
16300	0.258787	0
16500	0.264994	0
16700	0.271274	0
16900	0.277629	0
17100	0.284056	0
17300	0.290557	0
17500	0.297132	0
17700	0.303780	0
17900	0.310502	0
18100	0.317297	0
18300	0.324166	0
18500	0.331109	0
18700	0.338125	0
18900	0.345214	0
19100	0.352378	0
19300	0.359614	0
19500	0.366925	0
19700	0.374308	0
19900	0.381766	0
20100	0.389297	0
20300	0.396901	0
20500	0.404579	0
20700	0.412331	0
20900	0.420156	0
21100	0.428055	0
21300	0.436027	0
21500	0.444073	0
