# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000237	0
300	0.000455	0
500	0.000744	0
700	0.001104	0
900	0.001535	0
1100	0.002036	0
1300	0.002609	0
1500	0.003252	0
1700	0.003965	0
1900	0.004750	0
2100	0.005605	0
2300	0.006531	0
2500	0.007528	0
2700	0.008596	0
2900	0.009734	0
3100	0.010943	0
3300	0.012223	0
3500	0.013574	0
3700	0.014995	0
3900	0.016488	0
4100	0.018051	0
4300	0.019684	0
4500	0.021389	0
4700	0.023164	0
4900	0.025010	0
5100	0.026927	0
5300	0.028915	0
5500	0.030973	0
5700	0.033102	0
5900	0.035302	0
6100	0.037573	0
6300	0.039915	0
6500	0.042327	0
6700	0.044810	0
6900	0.047364	0
7100	0.049988	0
7300	0.052683	0
7500	0.055450	0
7700	0.058286	0
7900	0.061194	0
8100	0.064172	0
8300	0.067222	0
8500	0.070341	0
8700	0.073532	0
8900	0.076794	0
9100	0.080126	0
9300	0.083529	0
9500	0.087003	0
9700	0.090547	0
9900	0.094163	0
10100	0.097849	0
10300	0.101605	0
10500	0.105433	0
10700	0.109331	0
10900	0.113301	0
11100	0.117341	0
11300	0.121451	0
11500	0.125633	0
11700	0.129885	0
11900	0.134208	0
12100	0.138602	0
12300	0.143066	0
12500	0.147602	0
12700	0.152208	0
12900	0.156885	0
13100	0.161632	0
13300	0.166451	0
13500	0.171340	0
13700	0.176300	0
13900	0.181330	0
14100	0.186432	0
14300	0.191604	0
14500	0.196847	0
14700	0.202161	0
14900	0.207545	0
15100	0.213001	0
15300	0.218527	0
15500	0.224124	0
15700	0.229791	0
15900	0.235530	0
16100	0.241339	0
16300	0.247219	0
16500	0.253169	0
16700	0.259191	0
16900	0.265283	0
17100	0.271446	0
17300	0.277680	0
17500	0.283985	0
17700	0.290360	0
17900	0.296806	0
18100	0.303323	0
18300	0.309910	0
18500	0.316569	0
18700	0.323298	0
18900	0.330098	0
19100	0.336969	0
19300	0.343910	0
19500	0.350922	0
19700	0.358005	0
19900	0.365159	0
20100	0.372384	0
20300	0.379679	0
20500	0.387045	0
20700	0.394482	0
20900	0.401989	0
21100	0.409568	0
21300	0.417217	0
21500	0.424937	0
21700	0.432728	0
21900	0.440589	0
22100	0.448521	0
22300	0.456524	0
22500	0.464598	0
22700	0.472743	0
22900	0.480958	0
23100	0.489244	0
23300	0.497601	0
23500	0.506029	0
23700	0.514527	0
23900	0.523096	0
24100	0.531736	0
24300	0.540447	0
24500	0.549228	0
24700	0.558080	0
24900	0.567003	0
25100	0.575997	0
25300	0.585062	0
25500	0.594197	0
25700	0.603403	0
25900	0.612680	0
26100	0.622028	0
26300	0.631446	0
26500	0.640935	0
26700	0.650495	0
26900	0.660126	0
27100	0.669827	0
27300	0.679600	0
27500	0.689443	0
27700	0.699356	0
27900	0.709341	0
28100	0.719396	0
28300	0.729522	0
28500	0.739719	0
28700	0.749987	0
28900	0.760325	0
29100	0.770734	0
29300	0.781214	0
29500	0.791765	0
29700	0.802386	0
29900	0.813079	0
