# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000265	0
300	0.000495	0
500	0.000795	0
700	0.001165	0
900	0.001607	0
1100	0.002119	0
1300	0.002702	0
1500	0.003356	0
1700	0.004081	0
1900	0.004876	0
2100	0.005742	0
2300	0.006679	0
2500	0.007687	0
2700	0.008765	0
2900	0.009915	0
3100	0.011135	0
3300	0.012425	0
3500	0.013787	0
3700	0.015219	0
3900	0.016722	0
4100	0.018296	0
4300	0.019941	0
4500	0.021656	0
4700	0.023442	0
4900	0.025299	0
5100	0.027227	0
5300	0.029226	0
5500	0.031295	0
5700	0.033435	0
5900	0.035646	0
6100	0.037927	0
6300	0.040280	0
6500	0.042703	0
6700	0.045196	0
6900	0.047761	0
7100	0.050397	0
7300	0.053103	0
7500	0.055880	0
7700	0.058727	0
7900	0.061646	0
8100	0.064635	0
8300	0.067695	0
8500	0.070826	0
8700	0.074028	0
8900	0.077300	0
9100	0.080643	0
9300	0.084057	0
9500	0.087541	0
9700	0.091097	0
9900	0.094723	0
10100	0.098420	0
10300	0.102188	0
10500	0.106026	0
10700	0.109936	0
10900	0.113916	0
11100	0.117966	0
11300	0.122088	0
11500	0.126280	0
11700	0.130543	0
11900	0.134877	0
12100	0.139282	0
12300	0.143757	0
12500	0.148304	0
12700	0.152921	1
12900	0.157608	0
13100	0.162367	0
13300	0.167196	0
13500	0.172096	0
13700	0.177067	0
13900	0.182109	0
14100	0.187221	0
14300	0.192404	0
14500	0.197658	0
14700	0.202983	0
14900	0.208378	0
15100	0.213844	0
15300	0.219381	0
15500	0.224989	0
15700	0.230668	0
15900	0.236417	0
16100	0.242237	0
16300	0.248128	0
16500	0.254089	0
16700	0.260122	0
16900	0.266225	0
17100	0.272399	0
17300	0.278643	0
17500	0.284959	0
17700	0.291345	0
17900	0.297802	0
18100	0.304330	0
18300	0.310928	0
18500	0.317598	0
18700	0.324338	0
18900	0.331149	0
19100	0.338030	0
19300	0.344983	0
19500	0.352006	0
19700	0.359100	0
19900	0.366264	0
20100	0.373500	0
20300	0.380806	0
20500	0.388183	0
20700	0.395631	0
20900	0.403149	0
21100	0.410739	0
21300	0.418399	0
21500	0.426130	0
21700	0.433931	0
21900	0.441804	0
22100	0.449747	0
22300	0.457761	0
22500	0.465845	0
22700	0.474001	0
22900	0.482227	0
23100	0.490524	0
23300	0.498892	0
23500	0.507330	0
23700	0.515840	0
23900	0.524420	0
24100	0.533071	0
24300	0.541792	0
24500	0.550585	0
24700	0.559448	0
24900	0.568382	0
25100	0.577387	0
25300	0.586462	0
25500	0.595608	0
25700	0.604825	0
25900	0.614113	0
26100	0.623472	0
26300	0.632901	1
26500	0.642401	0
26700	0.651972	0
26900	0.661614	0
27100	0.671326	0
27300	0.681109	0
27500	0.690963	0
27700	0.700888	0
27900	0.710883	0
28100	0.720950	0
28300	0.731087	0
28500	0.741294	0
28700	0.751573	0
28900	0.761922	0
29100	0.772342	0
29300	0.782833	0
29500	0.793395	0
29700	0.804027	0
29900	0.814731	0
30100	0.825505	0
30300	0.836349	0
30500	0.847265	0
30700	0.858251	0
30900	0.869308	0
31100	0.880436	0
31300	0.891635	0
31500	0.902904	0
31700	0.914244	0
31900	0.925655	0
32100	0.937137	0
32300	0.948689	0
32500	0.960312	0
32700	0.972006	1
32900	0.983771	0
33100	0.995606	0
33300	1.007513	12477
33500	1.019490	3
33700	1.031538	0
33900	1.043656	1
34100	1.055846	0
34300	1.068106	0
34500	1.080437	0
34700	1.092838	0
34900	1.105311	0
35100	1.117854	0
35300	1.130468	0
35500	1.143153	0
35700	1.155908	0
35900	1.168735	0
36100	1.181632	0
36300	1.194599	0
36500	1.207638	0
36700	1.220747	0
36900	1.233928	0
37100	1.247178	0
37300	1.260500	0
37500	1.273893	0
37700	1.287356	0
37900	1.300890	0
38100	1.314495	0
38300	1.328170	0
38500	1.341916	0
38700	1.355733	0
38900	1.369621	0
39100	1.383580	0
39300	1.397609	0
39500	1.411709	0
39700	1.425880	0
39900	1.440122	0
40100	1.454435	0
40300	1.468818	0
40500	1.483272	0
40700	1.497797	0
40900	1.512392	0
41100	1.527058	0
41300	1.541796	0
41500	1.556603	0
41700	1.571482	0
41900	1.586431	0
42100	1.601452	0
42300	1.616543	0
42500	1.631704	0
42700	1.646937	0
42900	1.662240	0
43100	1.677614	0
43300	1.693059	0
43500	1.708574	0
43700	1.724161	0
43900	1.739818	0
44100	1.755546	0
44300	1.771344	0
44500	1.787214	0
44700	1.803154	0
44900	1.819165	0
45100	1.835246	1
45300	1.851399	0
45500	1.867622	0
45700	1.883916	0
45900	1.900281	0
46100	1.916717	0
46300	1.933223	0
46500	1.949800	0
46700	1.966448	0
46900	1.983167	0
47100	1.999956	0
47300	2.016816	783
47500	2.033747	1
47700	2.050749	0
47900	2.067821	0
48100	2.084965	0
48300	2.102179	0
48500	2.119464	0
48700	2.136819	0
48900	2.154245	0
49100	2.171743	1
49300	2.189310	0
49500	2.206949	0
49700	2.224659	0
49900	2.242439	0
50100	2.260290	0
50300	2.278211	0
50500	2.296204	0
50700	2.314267	0
50900	2.332401	0
51100	2.350606	0
51300	2.368882	0
51500	2.387228	0
51700	2.405645	0
51900	2.424133	0
52100	2.442692	0
52300	2.461321	0
52500	2.480021	1
52700	2.498792	0
52900	2.517634	0
53100	2.536547	0
53300	2.555530	0
53500	2.574584	0
53700	2.593709	0
53900	2.612904	0
54100	2.632171	0
54300	2.651508	0
54500	2.670916	0
54700	2.690395	0
54900	2.709944	0
55100	2.729564	0
55300	2.749255	0
55500	2.769017	0
55700	2.788849	0
55900	2.808753	0
56100	2.828727	0
56300	2.848772	0
56500	2.868887	0
56700	2.889074	0
