# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000239	0
300	0.000460	0
500	0.000754	0
700	0.001119	0
900	0.001557	0
1100	0.002066	0
1300	0.002648	0
1500	0.003302	0
1700	0.004027	0
1900	0.004825	0
2100	0.005695	0
2300	0.006637	0
2500	0.007650	0
2700	0.008736	0
2900	0.009894	0
3100	0.011124	0
3300	0.012426	0
3500	0.013800	0
3700	0.015246	0
3900	0.016764	0
4100	0.018354	0
4300	0.020016	0
4500	0.021750	0
4700	0.023556	0
4900	0.025434	0
5100	0.027385	0
5300	0.029407	0
5500	0.031501	0
5700	0.033667	0
5900	0.035906	0
6100	0.038216	0
6300	0.040598	0
6500	0.043053	0
6700	0.045579	0
6900	0.048178	0
7100	0.050848	0
7300	0.053591	0
7500	0.056405	0
7700	0.059292	0
7900	0.062250	0
8100	0.065281	0
8300	0.068384	0
8500	0.071558	0
8700	0.074805	0
8900	0.078124	0
9100	0.081515	0
9300	0.084978	0
9500	0.088512	0
9700	0.092119	0
9900	0.095798	0
10100	0.099549	0
10300	0.103372	0
10500	0.107267	0
10700	0.111234	0
10900	0.115273	0
11100	0.119384	0
11300	0.123568	0
11500	0.127823	0
11700	0.132150	0
11900	0.136549	0
12100	0.141020	0
12300	0.145564	0
12500	0.150179	0
12700	0.154866	0
12900	0.159626	0
13100	0.164457	0
13300	0.169361	0
13500	0.174336	0
13700	0.179384	0
13900	0.184503	0
14100	0.189695	0
14300	0.194958	0
14500	0.200294	0
14700	0.205702	0
14900	0.211181	0
15100	0.216733	0
15300	0.222357	0
15500	0.228053	0
15700	0.233820	0
15900	0.239660	0
16100	0.245572	0
16300	0.251556	0
16500	0.257612	0
16700	0.263740	0
16900	0.269940	0
17100	0.276212	0
17300	0.282556	0
17500	0.288972	0
17700	0.295460	0
17900	0.302020	0
18100	0.308652	0
18300	0.315357	0
18500	0.322133	0
18700	0.328981	0
18900	0.335901	0
19100	0.342894	0
19300	0.349958	0
19500	0.357094	0
19700	0.364303	0
19900	0.371583	0
20100	0.378936	0
20300	0.386360	0
20500	0.393857	0
20700	0.401425	0
20900	0.409066	0
21100	0.416779	0
21300	0.424563	0
21500	0.432420	0
21700	0.440349	0
21900	0.448349	0
22100	0.456422	0
22300	0.464567	0
22500	0.472784	0
22700	0.481073	0
22900	0.489434	0
23100	0.497866	0
23300	0.506371	0
23500	0.514948	0
23700	0.523597	0
23900	0.532318	0
24100	0.541112	0
24300	0.549977	0
24500	0.558914	0
24700	0.567923	0
24900	0.577004	0
25100	0.586157	0
25300	0.595383	0
25500	0.604680	0
25700	0.614049	0
25900	0.623491	0
26100	0.633004	0
26300	0.642589	0
26500	0.652247	0
26700	0.661976	0
26900	0.671778	0
27100	0.681651	0
27300	0.691597	0
27500	0.701615	0
27700	0.711704	0
27900	0.721866	0
28100	0.732100	0
28300	0.742405	0
28500	0.752783	0
28700	0.763233	0
28900	0.773755	0
29100	0.784348	0
29300	0.795014	0
29500	0.805752	0
29700	0.816562	0
29900	0.827444	0
30100	0.838398	0
30300	0.849424	0
30500	0.860522	0
30700	0.871692	0
30900	0.882934	0
31100	0.894248	0
31300	0.905635	0
31500	0.917093	0
31700	0.928623	0
31900	0.940225	0
32100	0.951900	0
32300	0.963646	0
32500	0.975464	0
32700	0.987355	0
32900	0.999317	0
33100	1.011352	4956
33300	1.023458	0
33500	1.035637	1
33700	1.047887	0
33900	1.060210	0
34100	1.072604	1
34300	1.085071	0
34500	1.097610	0
34700	1.110220	0
34900	1.122903	0
35100	1.135658	0
35300	1.148484	0
35500	1.161383	0
35700	1.174354	0
35900	1.187397	0
36100	1.200512	0
36300	1.213699	0
36500	1.226958	0
36700	1.240289	0
36900	1.253692	0
37100	1.267167	0
37300	1.280714	0
37500	1.294333	0
37700	1.308024	0
37900	1.321787	0
38100	1.335623	0
38300	1.349530	0
38500	1.363509	0
38700	1.377560	0
38900	1.391684	0
39100	1.405879	0
39300	1.420146	0
39500	1.434486	0
39700	1.448897	0
39900	1.463381	0
40100	1.477936	0
40300	1.492564	0
40500	1.507263	0
