# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000275	0
300	0.000510	0
500	0.000817	0
700	0.001196	0
900	0.001647	0
1100	0.002170	0
1300	0.002765	0
1500	0.003432	0
1700	0.004171	0
1900	0.004982	0
2100	0.005866	0
2300	0.006821	0
2500	0.007848	0
2700	0.008948	0
2900	0.010119	0
3100	0.011363	0
3300	0.012678	0
3500	0.014066	0
3700	0.015525	0
3900	0.017057	0
4100	0.018661	0
4300	0.020336	0
4500	0.022084	0
4700	0.023904	0
4900	0.025796	0
5100	0.027759	0
5300	0.029795	0
5500	0.031903	0
5700	0.034083	0
5900	0.036335	0
6100	0.038659	0
6300	0.041055	0
6500	0.043523	0
6700	0.046063	0
6900	0.048676	0
7100	0.051360	0
7300	0.054116	0
7500	0.056944	0
7700	0.059845	0
7900	0.062817	0
8100	0.065861	0
8300	0.068978	0
8500	0.072166	0
8700	0.075427	0
8900	0.078759	0
9100	0.082164	0
9300	0.085641	0
9500	0.089189	0
9700	0.092810	0
9900	0.096503	0
10100	0.100267	0
10300	0.104104	0
10500	0.108013	0
10700	0.111994	0
10900	0.116047	0
11100	0.120172	0
11300	0.124369	0
11500	0.128638	0
11700	0.132979	0
11900	0.137392	0
12100	0.141877	0
12300	0.146434	0
12500	0.151063	0
12700	0.155765	0
12900	0.160538	0
13100	0.165383	0
13300	0.170301	0
13500	0.175290	0
13700	0.180351	0
13900	0.185485	0
14100	0.190690	0
14300	0.195968	0
14500	0.201318	0
14700	0.206739	0
14900	0.212233	0
15100	0.217799	0
15300	0.223436	0
15500	0.229146	0
15700	0.234928	0
15900	0.240782	0
16100	0.246708	0
16300	0.252705	0
16500	0.258775	0
16700	0.264917	0
16900	0.271131	0
17100	0.277417	0
17300	0.283776	0
17500	0.290206	0
17700	0.296708	0
17900	0.303282	0
18100	0.309928	0
18300	0.316647	0
18500	0.323437	0
18700	0.330299	0
18900	0.337234	0
19100	0.344240	0
19300	0.351319	0
19500	0.358469	0
19700	0.365692	0
19900	0.372986	0
20100	0.380353	0
20300	0.387792	0
20500	0.395302	0
20700	0.402885	0
20900	0.410540	0
21100	0.418267	0
21300	0.426065	0
21500	0.433936	0
21700	0.441879	0
21900	0.449894	0
22100	0.457981	0
22300	0.466140	0
22500	0.474371	0
22700	0.482674	0
22900	0.491049	0
23100	0.499497	0
23300	0.508016	0
23500	0.516607	0
23700	0.525270	0
23900	0.534006	0
24100	0.542813	0
24300	0.551692	0
24500	0.560644	0
24700	0.569667	0
24900	0.578763	0
25100	0.587930	0
25300	0.597170	0
25500	0.606482	0
25700	0.615865	0
25900	0.625321	0
26100	0.634849	0
26300	0.644449	0
26500	0.654120	0
26700	0.663864	0
26900	0.673680	0
27100	0.683568	0
27300	0.693528	0
27500	0.703560	0
27700	0.713664	0
27900	0.723840	0
28100	0.734088	0
28300	0.744408	0
28500	0.754800	0
28700	0.765265	0
28900	0.775801	0
29100	0.786409	0
29300	0.797090	0
29500	0.807842	0
29700	0.818666	0
29900	0.829563	0
30100	0.840531	0
30300	0.851572	0
30500	0.862684	10
30700	0.873869	5
30900	0.885125	0
31100	0.896454	0
31300	0.907855	8
31500	0.919328	31
31700	0.930872	0
31900	0.942489	0
32100	0.954178	0
32300	0.965939	1
32500	0.977772	0
32700	0.989677	0
32900	1.001654	5690
33100	1.013703	1902
33300	1.025824	2
33500	1.038017	0
33700	1.050282	2
33900	1.062619	0
34100	1.075029	0
34300	1.087510	0
34500	1.100063	0
34700	1.112688	3
34900	1.125386	0
35100	1.138155	1
35300	1.150997	0
35500	1.163910	0
35700	1.176896	61
35900	1.189953	0
36100	1.203083	1
36300	1.216284	0
36500	1.229558	8
36700	1.242904	0
36900	1.256322	0
37100	1.269811	1
37300	1.283373	1
37500	1.297007	0
37700	1.310713	0
37900	1.324491	0
38100	1.338341	0
38300	1.352263	7
38500	1.366257	0
38700	1.380323	1
38900	1.394461	1
39100	1.408671	0
39300	1.422953	0
39500	1.437307	0
39700	1.451734	0
39900	1.466232	0
40100	1.480802	0
40300	1.495445	0
40500	1.510159	0
40700	1.524946	0
40900	1.539804	0
41100	1.554735	0
41300	1.569737	0
41500	1.584812	0
41700	1.599958	0
41900	1.615177	0
42100	1.630468	0
42300	1.645830	0
42500	1.661265	0
42700	1.676772	0
42900	1.692351	0
43100	1.708002	0
43300	1.723725	8
43500	1.739520	4
43700	1.755387	0
43900	1.771326	0
44100	1.787337	0
44300	1.803420	0
44500	1.819575	1
44700	1.835802	0
44900	1.852102	0
45100	1.868473	0
45300	1.884916	5
45500	1.901431	0
45700	1.918019	0
45900	1.934678	0
46100	1.951410	0
46300	1.968213	0
46500	1.985089	0
46700	2.002036	0
46900	2.019056	313
47100	2.036147	0
47300	2.053311	0
47500	2.070547	0
47700	2.087855	1
47900	2.105234	0
48100	2.122686	0
48300	2.140210	0
48500	2.157806	0
48700	2.175474	0
48900	2.193214	0
49100	2.211026	0
49300	2.228910	0
49500	2.246866	0
49700	2.264894	3
49900	2.282994	0
50100	2.301166	0
50300	2.319411	0
50500	2.337727	0
50700	2.356115	0
50900	2.374575	0
51100	2.393108	0
51300	2.411712	0
51500	2.430389	0
51700	2.449137	0
51900	2.467958	0
52100	2.486850	0
52300	2.505815	0
52500	2.524852	0
52700	2.543960	0
52900	2.563141	0
53100	2.582394	0
53300	2.601718	0
53500	2.621115	0
53700	2.640584	0
53900	2.660125	0
54100	2.679738	0
54300	2.699423	0
54500	2.719180	0
54700	2.739009	0
54900	2.758910	0
55100	2.778883	0
55300	2.798928	0
55500	2.819046	0
55700	2.839235	0
55900	2.859496	0
56100	2.879829	0
56300	2.900235	0
56500	2.920712	0
56700	2.941261	0
56900	2.961883	0
57100	2.982576	0
57300	3.003342	0
57500	3.024179	68
57700	3.045089	0
57900	3.066071	0
58100	3.087124	0
58300	3.108250	0
58500	3.129448	0
58700	3.150718	0
58900	3.172059	0
59100	3.193473	0
59300	3.214959	0
59500	3.236517	0
59700	3.258147	0
59900	3.279849	0
60100	3.301623	0
60300	3.323469	0
60500	3.345387	0
60700	3.367378	0
60900	3.389440	0
61100	3.411574	0
61300	3.433780	0
61500	3.456059	0
61700	3.478409	0
61900	3.500831	0
62100	3.523326	0
62300	3.545892	0
62500	3.568531	0
62700	3.591241	0
62900	3.614024	0
63100	3.636878	0
63300	3.659805	0
63500	3.682804	0
