# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000207	0
300	0.000419	0
500	0.000703	0
700	0.001062	0
900	0.001494	0
1100	0.002000	0
1300	0.002579	0
1500	0.003231	0
1700	0.003958	0
1900	0.004757	0
2100	0.005631	0
2300	0.006578	0
2500	0.007598	0
2700	0.008692	0
2900	0.009860	0
3100	0.011101	0
3300	0.012415	0
3500	0.013803	0
3700	0.015265	0
3900	0.016800	0
4100	0.018409	0
4300	0.020092	0
4500	0.021848	0
4700	0.023677	0
4900	0.025580	0
5100	0.027557	0
5300	0.029607	0
5500	0.031731	0
5700	0.033928	0
5900	0.036199	0
6100	0.038543	0
6300	0.040961	0
6500	0.043453	0
6700	0.046018	0
6900	0.048656	0
7100	0.051368	0
7300	0.054154	0
7500	0.057013	0
7700	0.059946	0
7900	0.062952	0
8100	0.066032	0
8300	0.069186	0
8500	0.072413	0
8700	0.075713	0
8900	0.079087	0
9100	0.082535	0
9300	0.086056	1
9500	0.089651	0
9700	0.093319	0
9900	0.097061	0
10100	0.100877	0
10300	0.104766	0
10500	0.108728	0
10700	0.112764	0
10900	0.116874	0
11100	0.121057	0
11300	0.125314	0
11500	0.129644	0
11700	0.134048	0
11900	0.138525	0
12100	0.143076	0
12300	0.147701	0
12500	0.152399	0
12700	0.157170	0
12900	0.162015	0
13100	0.166934	0
13300	0.171926	0
13500	0.176992	0
13700	0.182131	0
13900	0.187344	0
14100	0.192631	0
14300	0.197991	0
14500	0.203424	0
14700	0.208931	0
14900	0.214512	0
15100	0.220166	0
15300	0.225894	0
15500	0.231695	0
15700	0.237570	0
15900	0.243519	0
16100	0.249541	0
16300	0.255636	0
16500	0.261805	0
16700	0.268048	0
16900	0.274364	0
17100	0.280754	0
17300	0.287217	0
17500	0.293754	0
17700	0.300364	0
17900	0.307048	0
18100	0.313806	0
18300	0.320637	0
18500	0.327541	0
18700	0.334519	0
18900	0.341571	0
19100	0.348696	0
19300	0.355895	0
19500	0.363168	0
19700	0.370513	0
19900	0.377933	0
20100	0.385426	0
20300	0.392992	0
20500	0.400633	0
20700	0.408346	0
20900	0.416134	0
21100	0.423994	0
21300	0.431929	0
21500	0.439936	0
21700	0.448018	0
21900	0.456173	0
22100	0.464401	0
22300	0.472703	0
22500	0.481079	0
22700	0.489528	0
22900	0.498051	0
23100	0.506647	0
23300	0.515317	0
23500	0.524061	0
23700	0.532878	0
23900	0.541768	0
24100	0.550732	0
24300	0.559770	0
24500	0.568881	0
24700	0.578066	0
24900	0.587324	0
25100	0.596656	0
25300	0.606061	0
25500	0.615540	0
25700	0.625092	0
25900	0.634718	0
26100	0.644418	0
26300	0.654191	0
26500	0.664038	0
26700	0.673958	0
26900	0.683952	0
27100	0.694019	0
27300	0.704160	0
27500	0.714374	0
27700	0.724662	0
27900	0.735024	0
28100	0.745459	0
28300	0.755968	0
28500	0.766550	0
28700	0.777206	0
28900	0.787935	0
29100	0.798738	0
29300	0.809614	0
29500	0.820564	0
29700	0.831588	0
29900	0.842685	0
30100	0.853855	0
30300	0.865099	0
30500	0.876417	0
30700	0.887808	0
30900	0.899273	0
31100	0.910812	0
31300	0.922424	0
31500	0.934109	0
31700	0.945868	0
31900	0.957701	0
32100	0.969607	0
32300	0.981586	1
32500	0.993640	0
32700	1.005767	9801
32900	1.017967	4
33100	1.030241	1
33300	1.042588	0
33500	1.055009	1
33700	1.067504	1
33900	1.080072	0
34100	1.092713	0
34300	1.105429	0
34500	1.118217	0
34700	1.131080	0
34900	1.144016	0
35100	1.157025	0
35300	1.170108	0
35500	1.183264	0
35700	1.196495	0
35900	1.209798	0
36100	1.223175	0
36300	1.236626	0
36500	1.250150	0
36700	1.263748	0
36900	1.277420	0
37100	1.291164	0
37300	1.304983	0
37500	1.318875	0
37700	1.332841	0
37900	1.346880	0
38100	1.360992	0
38300	1.375179	0
38500	1.389438	0
38700	1.403772	0
38900	1.418179	0
39100	1.432659	0
39300	1.447213	0
39500	1.461841	0
39700	1.476542	0
39900	1.491317	0
40100	1.506165	0
40300	1.521086	0
40500	1.536082	0
40700	1.551151	0
40900	1.566293	0
41100	1.581509	0
41300	1.596799	0
41500	1.612162	0
41700	1.627598	0
41900	1.643108	0
42100	1.658692	0
42300	1.674349	0
42500	1.690080	0
42700	1.705885	0
42900	1.721763	0
43100	1.737714	1
43300	1.753739	1
43500	1.769838	0
43700	1.786010	0
43900	1.802256	0
44100	1.818575	0
44300	1.834968	0
44500	1.851434	0
44700	1.867974	0
44900	1.884587	0
45100	1.901274	0
45300	1.918035	0
45500	1.934869	0
45700	1.951777	0
45900	1.968758	0
46100	1.985813	1
46300	2.002941	1
46500	2.020143	536
46700	2.037418	0
46900	2.054767	0
47100	2.072190	0
47300	2.089686	0
47500	2.107256	0
47700	2.124899	0
47900	2.142616	0
48100	2.160406	0
48300	2.178270	0
48500	2.196207	0
48700	2.214218	0
48900	2.232303	0
49100	2.250461	0
49300	2.268692	0
49500	2.286997	0
49700	2.305376	0
49900	2.323828	0
50100	2.342354	0
50300	2.360953	0
50500	2.379626	0
50700	2.398373	0
50900	2.417193	0
51100	2.436086	0
51300	2.455054	0
51500	2.474094	0
51700	2.493209	0
51900	2.512396	0
52100	2.531658	0
52300	2.550992	0
52500	2.570401	0
52700	2.589883	0
52900	2.609438	0
53100	2.629068	0
53300	2.648770	0
53500	2.668546	0
53700	2.688396	0
53900	2.708319	0
54100	2.728316	0
54300	2.748387	0
54500	2.768531	0
54700	2.788748	0
54900	2.809039	0
55100	2.829404	0
55300	2.849842	0
55500	2.870354	0
55700	2.890939	0
55900	2.911598	0
56100	2.932330	0
56300	2.953136	0
56500	2.974016	0
56700	2.994969	0
56900	3.015995	134
57100	3.037095	0
57300	3.058269	0
57500	3.079516	0
57700	3.100837	0
57900	3.122231	0
58100	3.143699	0
58300	3.165241	0
58500	3.186856	0
58700	3.208544	0
58900	3.230306	0
59100	3.252142	0
59300	3.274051	0
59500	3.296034	0
59700	3.318090	0
59900	3.340220	0
60100	3.362424	0
60300	3.384701	0
60500	3.407051	0
60700	3.429475	0
60900	3.451973	0
61100	3.474544	0
61300	3.497189	0
61500	3.519907	0
61700	3.542699	0
61900	3.565564	0
62100	3.588503	0
62300	3.611516	0
62500	3.634602	0
62700	3.657761	0
62900	3.680994	0
63100	3.704301	0
63300	3.727681	0
63500	3.751135	0
63700	3.774662	0
63900	3.798263	0
64100	3.821938	0
64300	3.845686	0
64500	3.869507	0
64700	3.893402	0
64900	3.917371	1
65100	3.941413	0
65300	3.965529	0
65500	3.989718	0
65700	4.013981	0
65900	4.038318	0
66100	4.062728	0
66300	4.087211	0
66500	4.111768	0
66700	4.136399	0
66900	4.161103	0
67100	4.185881	0
67300	4.210732	0
67500	4.235657	0
67700	4.260655	0
67900	4.285727	0
68100	4.310873	0
68300	4.336092	0
68500	4.361384	0
68700	4.386750	0
68900	4.412190	0
69100	4.437703	0
69300	4.463290	0
69500	4.488951	0
69700	4.514685	0
69900	4.540492	0
