# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000243	0
300	0.000469	0
500	0.000768	0
700	0.001141	0
900	0.001587	0
1100	0.002106	0
1300	0.002699	0
1500	0.003365	0
1700	0.004104	0
1900	0.004917	0
2100	0.005803	0
2300	0.006762	0
2500	0.007795	0
2700	0.008902	0
2900	0.010081	0
3100	0.011334	0
3300	0.012661	0
3500	0.014061	0
3700	0.015534	0
3900	0.017081	0
4100	0.018701	0
4300	0.020394	0
4500	0.022161	0
4700	0.024001	0
4900	0.025914	0
5100	0.027901	0
5300	0.029961	0
5500	0.032095	0
5700	0.034302	0
5900	0.036583	0
6100	0.038936	0
6300	0.041364	0
6500	0.043864	0
6700	0.046438	0
6900	0.049085	0
7100	0.051806	0
7300	0.054600	0
7500	0.057468	0
7700	0.060409	0
7900	0.063423	0
8100	0.066510	0
8300	0.069671	0
8500	0.072906	0
8700	0.076214	0
8900	0.079595	0
9100	0.083049	0
9300	0.086577	0
9500	0.090179	0
9700	0.093853	0
9900	0.097601	0
10100	0.101423	0
10300	0.105318	0
10500	0.109286	0
10700	0.113327	0
10900	0.117442	0
11100	0.121631	0
11300	0.125892	0
11500	0.130228	0
11700	0.134636	0
11900	0.139118	0
12100	0.143673	0
12300	0.148302	0
12500	0.153004	0
12700	0.157779	0
12900	0.162628	0
13100	0.167550	0
13300	0.172546	0
13500	0.177615	0
13700	0.182757	0
13900	0.187973	0
14100	0.193262	0
14300	0.198624	0
14500	0.204060	0
14700	0.209570	0
14900	0.215152	0
15100	0.220808	0
15300	0.226538	0
15500	0.232340	0
15700	0.238217	0
15900	0.244166	0
16100	0.250189	0
16300	0.256285	0
16500	0.262455	0
16700	0.268698	0
16900	0.275014	0
17100	0.281404	0
17300	0.287868	0
17500	0.294404	0
17700	0.301014	0
17900	0.307697	0
18100	0.314454	0
18300	0.321284	0
18500	0.328188	0
18700	0.335165	0
18900	0.342215	0
19100	0.349339	0
19300	0.356536	0
19500	0.363806	0
19700	0.371150	0
19900	0.378567	0
20100	0.386058	0
20300	0.393622	0
20500	0.401259	0
20700	0.408970	0
20900	0.416754	0
21100	0.424611	0
21300	0.432542	0
21500	0.440546	0
21700	0.448624	0
21900	0.456775	0
22100	0.464999	0
22300	0.473297	0
22500	0.481668	0
22700	0.490113	0
22900	0.498631	0
23100	0.507222	0
23300	0.515887	0
23500	0.524625	0
23700	0.533436	0
23900	0.542321	0
24100	0.551279	0
24300	0.560311	0
24500	0.569416	0
24700	0.578594	0
24900	0.587846	0
25100	0.597171	0
25300	0.606569	0
25500	0.616041	0
25700	0.625586	0
25900	0.635205	0
26100	0.644897	0
26300	0.654663	0
26500	0.664501	0
26700	0.674414	0
26900	0.684399	0
27100	0.694458	0
27300	0.704590	0
27500	0.714796	0
27700	0.725075	0
27900	0.735428	0
28100	0.745853	0
28300	0.756353	0
28500	0.766925	0
28700	0.777571	0
28900	0.788291	0
29100	0.799083	0
29300	0.809950	0
29500	0.820889	0
29700	0.831902	0
29900	0.842988	0
30100	0.854148	0
30300	0.865381	0
30500	0.876687	0
30700	0.888067	0
30900	0.899520	0
31100	0.911047	0
31300	0.922647	0
31500	0.934320	0
31700	0.946067	0
31900	0.957887	0
32100	0.969781	0
32300	0.981748	1
32500	0.993788	0
32700	1.005901	3816
32900	1.018088	4
33100	1.030349	0
33300	1.042683	0
33500	1.055090	0
33700	1.067570	0
33900	1.080124	0
34100	1.092752	0
34300	1.105452	0
34500	1.118226	0
34700	1.131074	0
34900	1.143995	0
35100	1.156989	0
35300	1.170057	0
35500	1.183198	0
35700	1.196412	0
35900	1.209700	0
36100	1.223061	0
36300	1.236495	0
36500	1.250003	0
36700	1.263585	0
36900	1.277239	0
37100	1.290967	0
37300	1.304769	0
37500	1.318643	0
