# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000400	0
300	0.000679	0
500	0.001032	0
700	0.001457	0
900	0.001957	0
1100	0.002529	0
1300	0.003175	0
1500	0.003894	0
1700	0.004687	0
1900	0.005553	0
2100	0.006493	0
2300	0.007505	0
2500	0.008592	0
2700	0.009751	0
2900	0.010984	0
3100	0.012290	0
3300	0.013670	0
3500	0.015123	0
3700	0.016649	0
3900	0.018249	0
4100	0.019922	0
4300	0.021669	0
4500	0.023489	0
4700	0.025382	0
4900	0.027349	0
5100	0.029389	0
5300	0.031502	0
5500	0.033689	0
5700	0.035949	0
5900	0.038283	0
6100	0.040690	0
6300	0.043170	0
6500	0.045724	1
6700	0.048351	0
6900	0.051051	0
7100	0.053825	0
7300	0.056673	0
7500	0.059593	0
7700	0.062587	0
7900	0.065654	0
8100	0.068795	0
8300	0.072009	0
8500	0.075297	0
8700	0.078657	0
8900	0.082092	0
9100	0.085599	0
9300	0.089180	1
9500	0.092835	0
9700	0.096562	0
9900	0.100363	0
10100	0.104238	0
10300	0.108186	0
10500	0.112207	0
10700	0.116301	0
10900	0.120469	0
11100	0.124711	0
11300	0.129025	0
11500	0.133414	0
11700	0.137875	0
11900	0.142410	0
12100	0.147018	0
12300	0.151700	0
12500	0.156455	0
12700	0.161283	0
12900	0.166185	0
13100	0.171160	0
13300	0.176208	0
13500	0.181330	0
13700	0.186525	0
13900	0.191794	0
14100	0.197136	0
14300	0.202551	0
14500	0.208040	0
14700	0.213602	0
14900	0.219238	0
15100	0.224947	0
15300	0.230729	0
15500	0.236584	0
15700	0.242513	0
15900	0.248516	0
16100	0.254592	0
16300	0.260741	0
16500	0.266963	0
16700	0.273259	0
16900	0.279628	0
17100	0.286071	0
17300	0.292587	0
17500	0.299176	0
17700	0.305839	0
17900	0.312575	0
18100	0.319385	0
18300	0.326268	0
18500	0.333224	0
18700	0.340253	0
18900	0.347356	0
19100	0.354533	0
19300	0.361783	0
19500	0.369106	0
19700	0.376502	0
19900	0.383972	0
20100	0.391515	0
20300	0.399132	0
20500	0.406822	0
20700	0.414585	0
20900	0.422422	0
21100	0.430332	0
21300	0.438316	0
21500	0.446373	0
21700	0.454503	0
21900	0.462707	0
22100	0.470984	0
22300	0.479334	0
22500	0.487758	0
22700	0.496255	0
22900	0.504826	0
23100	0.513470	0
23300	0.522187	0
23500	0.530977	0
23700	0.539842	0
23900	0.548779	0
24100	0.557790	0
24300	0.566874	0
24500	0.576031	0
24700	0.585262	0
24900	0.594567	0
25100	0.603944	0
25300	0.613395	0
25500	0.622920	0
25700	0.632518	0
25900	0.642189	0
26100	0.651933	0
26300	0.661751	0
26500	0.671642	0
26700	0.681607	0
26900	0.691645	0
27100	0.701757	0
27300	0.711941	0
27500	0.722200	0
27700	0.732531	0
27900	0.742936	0
28100	0.753414	0
28300	0.763966	0
28500	0.774591	0
28700	0.785290	0
28900	0.796061	0
29100	0.806907	0
29300	0.817825	0
29500	0.828817	0
29700	0.839882	0
29900	0.851021	0
30100	0.862233	0
30300	0.873519	0
30500	0.884877	0
30700	0.896310	0
30900	0.907815	0
31100	0.919394	0
31300	0.931046	0
31500	0.942772	0
31700	0.954571	0
31900	0.966444	0
32100	0.978389	0
32300	0.990409	0
32500	1.002501	1815
32700	1.014667	91
32900	1.026907	1
33100	1.039219	0
33300	1.051605	0
33500	1.064065	0
33700	1.076598	0
33900	1.089204	0
34100	1.101883	0
34300	1.114636	0
34500	1.127463	0
34700	1.140362	0
34900	1.153336	0
35100	1.166382	0
35300	1.179502	0
35500	1.192695	0
35700	1.205962	0
35900	1.219302	0
36100	1.232715	0
36300	1.246202	0
36500	1.259762	0
36700	1.273395	0
36900	1.287102	0
37100	1.300882	0
37300	1.314736	0
37500	1.328663	0
37700	1.342663	0
37900	1.356737	0
38100	1.370884	0
38300	1.385105	0
38500	1.399399	0
38700	1.413766	0
38900	1.428206	0
39100	1.442720	0
39300	1.457308	0
39500	1.471968	0
39700	1.486703	0
39900	1.501510	0
40100	1.516391	0
40300	1.531345	0
40500	1.546373	0
40700	1.561474	0
40900	1.576648	0
41100	1.591896	0
41300	1.607217	0
41500	1.622612	0
41700	1.638079	0
41900	1.653621	0
42100	1.669235	0
42300	1.684923	0
42500	1.700685	0
42700	1.716519	0
42900	1.732428	0
43100	1.748409	0
43300	1.764464	0
43500	1.780592	0
43700	1.796794	0
43900	1.813069	0
44100	1.829417	0
44300	1.845839	0
44500	1.862334	0
44700	1.878903	0
44900	1.895545	0
45100	1.912260	0
45300	1.929048	0
45500	1.945911	0
45700	1.962846	0
45900	1.979855	0
46100	1.996937	0
46300	2.014092	98
46500	2.031321	0
46700	2.048624	0
46900	2.065999	0
47100	2.083448	0
47300	2.100971	0
47500	2.118566	0
47700	2.136236	0
47900	2.153978	0
48100	2.171794	0
48300	2.189683	0
48500	2.207646	0
48700	2.225682	0
48900	2.243791	0
