# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000223	0
300	0.000438	0
500	0.000725	1
700	0.001083	0
900	0.001514	0
1100	0.002016	0
1300	0.002589	0
1500	0.003235	0
1700	0.003952	0
1900	0.004741	0
2100	0.005602	0
2300	0.006534	0
2500	0.007538	0
2700	0.008614	0
2900	0.009762	0
3100	0.010982	0
3300	0.012273	0
3500	0.013636	0
3700	0.015071	0
3900	0.016577	0
4100	0.018155	0
4300	0.019805	0
4500	0.021527	0
4700	0.023321	0
4900	0.025186	0
5100	0.027123	0
5300	0.029132	0
5500	0.031212	0
5700	0.033365	0
5900	0.035589	0
6100	0.037885	0
6300	0.040252	0
6500	0.042692	0
6700	0.045203	0
6900	0.047785	0
7100	0.050440	0
7300	0.053166	0
7500	0.055965	0
7700	0.058834	0
7900	0.061776	0
8100	0.064789	0
8300	0.067874	0
8500	0.071031	0
8700	0.074260	0
8900	0.077560	0
9100	0.080932	0
9300	0.084376	0
9500	0.087892	0
9700	0.091479	0
9900	0.095139	0
10100	0.098869	0
10300	0.102672	0
10500	0.106547	0
10700	0.110493	0
10900	0.114511	0
11100	0.118600	0
11300	0.122762	0
11500	0.126995	0
11700	0.131300	0
11900	0.135677	0
12100	0.140125	0
12300	0.144645	0
12500	0.149237	0
12700	0.153901	0
12900	0.158636	0
13100	0.163444	0
13300	0.168323	0
13500	0.173273	0
13700	0.178296	0
13900	0.183390	0
14100	0.188556	0
14300	0.193794	0
14500	0.199103	0
14700	0.204485	0
14900	0.209938	0
15100	0.215462	0
15300	0.221059	0
15500	0.226727	0
15700	0.232467	0
15900	0.238279	0
16100	0.244163	0
16300	0.250118	0
16500	0.256145	0
16700	0.262244	0
16900	0.268414	0
17100	0.274657	0
17300	0.280971	0
17500	0.287357	0
17700	0.293814	0
17900	0.300343	0
18100	0.306945	0
18300	0.313617	0
18500	0.320362	0
18700	0.327178	0
18900	0.334066	0
19100	0.341026	0
19300	0.348058	0
19500	0.355161	0
19700	0.362336	0
19900	0.369583	0
20100	0.376902	0
20300	0.384292	0
20500	0.391755	0
20700	0.399288	0
20900	0.406894	0
21100	0.414571	0
21300	0.422321	0
21500	0.430142	0
21700	0.438034	0
21900	0.445999	0
22100	0.454035	0
22300	0.462143	0
22500	0.470322	0
22700	0.478574	0
22900	0.486897	0
23100	0.495292	0
23300	0.503759	0
23500	0.512297	0
23700	0.520907	0
23900	0.529589	0
24100	0.538343	0
24300	0.547169	0
24500	0.556066	0
24700	0.565035	0
24900	0.574076	0
25100	0.583188	0
25300	0.592372	0
25500	0.601628	0
25700	0.610956	0
25900	0.620356	0
26100	0.629827	0
26300	0.639370	0
