# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000237	0
300	0.000458	0
500	0.000750	0
700	0.001114	0
900	0.001549	0
1100	0.002057	0
1300	0.002636	0
1500	0.003287	0
1700	0.004009	0
1900	0.004804	0
2100	0.005670	0
2300	0.006608	0
2500	0.007617	0
2700	0.008699	0
2900	0.009852	0
3100	0.011077	0
3300	0.012373	0
3500	0.013742	0
3700	0.015182	0
3900	0.016694	0
4100	0.018277	0
4300	0.019933	0
4500	0.021660	0
4700	0.023459	0
4900	0.025329	0
5100	0.027272	0
5300	0.029286	0
5500	0.031371	0
5700	0.033529	0
5900	0.035758	0
6100	0.038060	0
6300	0.040432	0
6500	0.042877	0
6700	0.045393	0
6900	0.047981	0
7100	0.050641	0
7300	0.053373	0
7500	0.056176	0
7700	0.059051	0
7900	0.061998	0
8100	0.065017	0
8300	0.068107	0
8500	0.071269	0
8700	0.074503	0
8900	0.077809	0
9100	0.081186	0
9300	0.084635	0
9500	0.088156	0
9700	0.091749	0
9900	0.095413	0
10100	0.099149	0
10300	0.102957	0
10500	0.106836	0
10700	0.110788	0
10900	0.114811	0
11100	0.118906	0
11300	0.123072	0
11500	0.127311	0
11700	0.131621	0
11900	0.136002	0
12100	0.140456	0
12300	0.144981	0
12500	0.149578	0
12700	0.154247	0
12900	0.158988	0
13100	0.163800	0
13300	0.168684	0
13500	0.173640	0
13700	0.178668	0
13900	0.183767	0
14100	0.188938	0
14300	0.194181	0
14500	0.199495	0
14700	0.204882	0
14900	0.210340	0
15100	0.215870	0
15300	0.221471	0
15500	0.227144	0
15700	0.232890	0
15900	0.238706	0
16100	0.244595	0
16300	0.250555	0
16500	0.256587	0
16700	0.262691	0
16900	0.268867	0
17100	0.275114	0
17300	0.281433	0
17500	0.287824	0
17700	0.294286	0
17900	0.300821	0
18100	0.307427	0
18300	0.314104	0
18500	0.320854	0
18700	0.327675	0
18900	0.334568	0
19100	0.341533	0
19300	0.348570	0
19500	0.355678	0
19700	0.362858	0
19900	0.370110	0
20100	0.377433	0
20300	0.384829	0
20500	0.392296	0
20700	0.399835	0
20900	0.407445	0
21100	0.415127	0
21300	0.422881	0
21500	0.430707	0
21700	0.438605	0
21900	0.446574	0
22100	0.454615	0
22300	0.462728	0
22500	0.470912	0
22700	0.479169	0
22900	0.487497	0
23100	0.495896	0
23300	0.504368	0
23500	0.512911	0
23700	0.521526	0
23900	0.530213	0
24100	0.538972	0
24300	0.547802	0
24500	0.556704	0
24700	0.565678	0
24900	0.574723	0
25100	0.583840	0
25300	0.593029	0
25500	0.602290	0
25700	0.611623	0
25900	0.621027	0
26100	0.630503	0
26300	0.640051	0
26500	0.649670	0
26700	0.659361	0
26900	0.669124	0
27100	0.678959	0
27300	0.688866	0
27500	0.698844	0
27700	0.708894	0
27900	0.719016	0
28100	0.729209	0
28300	0.739474	0
28500	0.749811	0
28700	0.760220	0
28900	0.770701	0
29100	0.781253	0
29300	0.791877	0
29500	0.802573	0
29700	0.813340	0
29900	0.824179	0
30100	0.835090	0
30300	0.846073	0
30500	0.857128	0
30700	0.868254	0
30900	0.879452	0
31100	0.890722	0
31300	0.902063	0
31500	0.913476	0
31700	0.924961	0
31900	0.936518	0
32100	0.948147	0
32300	0.959847	0
32500	0.971619	0
32700	0.983463	0
32900	0.995378	0
33100	1.007365	4426
33300	1.019424	2
33500	1.031555	0
33700	1.043757	0
33900	1.056032	0
34100	1.068378	0
34300	1.080795	0
34500	1.093285	0
34700	1.105846	0
34900	1.118479	0
35100	1.131184	0
35300	1.143960	0
35500	1.156808	0
35700	1.169728	0
35900	1.182720	0
36100	1.195784	0
36300	1.208919	0
36500	1.222126	0
36700	1.235405	0
36900	1.248755	0
37100	1.262177	0
37300	1.275671	0
37500	1.289237	0
37700	1.302874	0
37900	1.316584	0
38100	1.330364	0
38300	1.344217	0
38500	1.358142	0
38700	1.372138	0
38900	1.386206	0
39100	1.400346	0
39300	1.414557	0
39500	1.428840	0
39700	1.443195	0
39900	1.457622	0
40100	1.472120	0
40300	1.486690	0
40500	1.501332	0
40700	1.516046	0
40900	1.530832	0
41100	1.545689	0
41300	1.560618	0
41500	1.575618	0
41700	1.590691	0
41900	1.605835	0
42100	1.621051	0
42300	1.636339	0
42500	1.651698	0
42700	1.667129	0
42900	1.682632	0
43100	1.698207	0
43300	1.713853	0
43500	1.729571	0
43700	1.745361	1
43900	1.761223	0
44100	1.777157	0
44300	1.793162	0
44500	1.809239	0
44700	1.825387	0
44900	1.841608	0
45100	1.857900	0
45300	1.874264	0
45500	1.890699	0
45700	1.907207	0
45900	1.923786	0
46100	1.940437	0
46300	1.957160	0
46500	1.973954	0
46700	1.990820	0
46900	2.007758	169
47100	2.024768	0
47300	2.041849	1
47500	2.059002	0
47700	2.076227	0
47900	2.093524	0
48100	2.110892	0
48300	2.128333	0
48500	2.145844	0
48700	2.163428	0
48900	2.181084	0
49100	2.198811	0
49300	2.216610	0
49500	2.234480	0
49700	2.252423	0
49900	2.270437	0
50100	2.288523	0
50300	2.306680	0
50500	2.324910	0
50700	2.343211	0
50900	2.361584	0
51100	2.380028	0
51300	2.398545	0
51500	2.417133	0
51700	2.435793	0
51900	2.454525	0
52100	2.473328	0
52300	2.492203	0
52500	2.511150	0
52700	2.530169	0
52900	2.549259	0
53100	2.568421	0
53300	2.587655	0
53500	2.606961	0
53700	2.626338	0
53900	2.645787	0
54100	2.665308	0
54300	2.684901	0
54500	2.704565	0
54700	2.724301	0
54900	2.744109	0
55100	2.763989	0
55300	2.783940	0
55500	2.803963	0
55700	2.824058	0
55900	2.844225	0
56100	2.864463	0
56300	2.884773	0
56500	2.905155	0
56700	2.925609	0
56900	2.946134	0
57100	2.966731	0
57300	2.987400	0
57500	3.008141	0
57700	3.028953	25
57900	3.049837	0
58100	3.070793	0
58300	3.091821	0
58500	3.112920	0
58700	3.134091	0
58900	3.155334	0
59100	3.176649	0
59300	3.198035	0
59500	3.219493	0
59700	3.241023	0
59900	3.262624	0
60100	3.284298	0
60300	3.306043	0
60500	3.327860	0
60700	3.349748	0
60900	3.371709	0
61100	3.393741	0
61300	3.415845	0
61500	3.438020	0
61700	3.460268	0
61900	3.482587	0
62100	3.504978	0
62300	3.527440	0
62500	3.549975	0
62700	3.572581	0
62900	3.595258	0
63100	3.618008	0
63300	3.640829	0
63500	3.663722	0
63700	3.686687	0
63900	3.709724	0
64100	3.732832	0
64300	3.756012	0
64500	3.779264	0
64700	3.802588	0
64900	3.825983	0
65100	3.849450	0
65300	3.872989	0
65500	3.896600	0
65700	3.920282	0
65900	3.944036	0
66100	3.967862	0
66300	3.991759	0
66500	4.015729	0
66700	4.039770	0
66900	4.063883	0
67100	4.088067	0
67300	4.112323	0
67500	4.136652	0
67700	4.161051	0
67900	4.185523	0
68100	4.210066	0
68300	4.234681	0
68500	4.259368	0
68700	4.284127	0
68900	4.308957	0
69100	4.333859	0
69300	4.358833	0
69500	4.383878	0
69700	4.408996	0
69900	4.434185	0
70100	4.459446	0
70300	4.484778	0
70500	4.510183	0
70700	4.535659	0
70900	4.561206	0
71100	4.586826	0
71300	4.612517	0
71500	4.638280	0
71700	4.664115	0
71900	4.690022	0
72100	4.716000	0
72300	4.742050	0
72500	4.768172	0
72700	4.794365	0
72900	4.820631	0
73100	4.846968	0
73300	4.873376	0
73500	4.899857	0
73700	4.926409	0
73900	4.953033	0
74100	4.979729	0
74300	5.006497	0
74500	5.033336	0
74700	5.060247	0
74900	5.087230	0
75100	5.114284	0
75300	5.141411	0
75500	5.168609	0
75700	5.195878	0
75900	5.223220	0
76100	5.250633	0
76300	5.278118	0
76500	5.305675	0
76700	5.333304	0
76900	5.361004	0
77100	5.388776	0
77300	5.416620	0
77500	5.444535	0
77700	5.472522	0
77900	5.500581	0
78100	5.528712	0
78300	5.556915	0
78500	5.585189	0
78700	5.613535	0
78900	5.641953	0
79100	5.670442	0
79300	5.699004	0
79500	5.727637	0
79700	5.756341	0
79900	5.785118	0
80100	5.813966	0
80300	5.842886	0
80500	5.871878	0
80700	5.900941	0
80900	5.930077	0
81100	5.959284	0
81300	5.988562	0
81500	6.017913	48
81700	6.047335	0
81900	6.076829	0
82100	6.106395	0
82300	6.136032	0
82500	6.165742	0
82700	6.195523	1
82900	6.225375	0
83100	6.255300	0
83300	6.285296	0
83500	6.315364	0
83700	6.345504	0
83900	6.375715	0
84100	6.405999	0
84300	6.436354	0
84500	6.466780	0
84700	6.497279	0
84900	6.527849	0
85100	6.558491	0
85300	6.589205	0
85500	6.619990	0
85700	6.650848	1
85900	6.681777	0
86100	6.712777	0
86300	6.743850	0
86500	6.774994	0
86700	6.806210	0
86900	6.837498	0
87100	6.868857	0
87300	6.900288	0
87500	6.931791	0
87700	6.963366	0
87900	6.995013	0
88100	7.026731	748
88300	7.058521	8
88500	7.090383	1
88700	7.122316	3
88900	7.154321	0
89100	7.186398	1
89300	7.218547	2
89500	7.250767	0
89700	7.283060	0
89900	7.315424	1
90100	7.347859	1
90300	7.380367	0
90500	7.412946	0
90700	7.445597	0
90900	7.478320	0
91100	7.511114	0
91300	7.543980	0
91500	7.576918	0
91700	7.609928	0
91900	7.643009	0
92100	7.676163	1
92300	7.709388	0
92500	7.742684	0
92700	7.776053	0
92900	7.809493	0
93100	7.843005	0
93300	7.876589	0
93500	7.910244	0
93700	7.943971	0
93900	7.977770	0
94100	8.011641	0
94300	8.045583	0
94500	8.079598	0
94700	8.113684	0
94900	8.147841	0
95100	8.182071	0
95300	8.216372	0
95500	8.250745	0
95700	8.285189	0
95900	8.319706	0
96100	8.354294	0
96300	8.388954	0
96500	8.423686	0
96700	8.458489	0
96900	8.493364	0
97100	8.528311	0
97300	8.563330	0
97500	8.598420	0
97700	8.633583	0
97900	8.668816	0
98100	8.704122	0
98300	8.739500	0
98500	8.774949	0
98700	8.810470	0
98900	8.846062	0
99100	8.881727	0
99300	8.917463	0
99500	8.953271	0
99700	8.989151	0
99900	9.025102	0
100100	9.061125	0
100300	9.097220	0
100500	9.133387	0
100700	9.169625	0
100900	9.205935	0
101100	9.242317	0
101300	9.278771	0
101500	9.315296	0
101700	9.351893	0
101900	9.388562	0
102100	9.425303	0
102300	9.462115	0
102500	9.499000	0
102700	9.535956	0
102900	9.572983	0
103100	9.610083	0
103300	9.647254	0
103500	9.684497	0
103700	9.721811	0
103900	9.759198	0
104100	9.796656	0
104300	9.834186	0
104500	9.871787	0
104700	9.909461	0
104900	9.947206	0
105100	9.985023	0
105300	10.022911	18
105500	10.060872	0
105700	10.098904	0
105900	10.137008	0
106100	10.175184	0
106300	10.213431	0
106500	10.251750	0
106700	10.290141	0
106900	10.328604	0
107100	10.367138	0
107300	10.405744	0
107500	10.444422	0
107700	10.483172	0
107900	10.521993	0
108100	10.560886	0
108300	10.599851	0
108500	10.638888	0
108700	10.677996	0
108900	10.717176	0
109100	10.756428	0
109300	10.795752	0
109500	10.835147	0
109700	10.874614	0
109900	10.914153	0
110100	10.953764	0
110300	10.993446	43
110500	11.033200	1
110700	11.073026	0
110900	11.112924	0
111100	11.152893	0
111300	11.192934	0
111500	11.233047	0
111700	11.273232	0
111900	11.313488	0
112100	11.353816	0
112300	11.394216	0
112500	11.434688	0
112700	11.475231	0
112900	11.515846	0
113100	11.556533	0
113300	11.597292	0
113500	11.638122	0
113700	11.679024	0
113900	11.719998	0
114100	11.761043	0
114300	11.802161	0
114500	11.843350	0
114700	11.884611	0
114900	11.925943	0
115100	11.967348	9
115300	12.008824	3638
115500	12.050372	0
115700	12.091991	0
115900	12.133683	0
116100	12.175446	0
116300	12.217281	0
116500	12.259187	0
116700	12.301165	0
116900	12.343216	0
117100	12.385337	0
117300	12.427531	0
117500	12.469796	0
117700	12.512133	0
117900	12.554542	0
118100	12.597023	0
118300	12.639575	0
118500	12.682199	0
118700	12.724895	0
118900	12.767663	0
119100	12.810502	0
119300	12.853413	0
119500	12.896396	0
119700	12.939450	0
119900	12.982577	162
120100	13.025775	1606
120300	13.069045	0
120500	13.112386	0
120700	13.155800	0
120900	13.199285	1
121100	13.242842	0
121300	13.286470	0
121500	13.330170	0
121700	13.373942	0
121900	13.417786	0
122100	13.461702	0
122300	13.505689	1
122500	13.549748	0
122700	13.593879	0
122900	13.638082	0
123100	13.682356	0
123300	13.726702	0
123500	13.771120	0
123700	13.815609	0
123900	13.860171	0
124100	13.904804	0
124300	13.949509	0
124500	13.994285	1776
124700	14.039133	295
124900	14.084053	0
125100	14.129045	0
125300	14.174109	0
125500	14.219244	0
125700	14.264451	0
125900	14.309730	0
126100	14.355080	0
126300	14.400503	0
126500	14.445997	0
126700	14.491563	0
126900	14.537200	0
127100	14.582909	0
127300	14.628691	1
127500	14.674543	0
127700	14.720468	0
127900	14.766464	0
128100	14.812532	0
128300	14.858672	0
128500	14.904884	0
128700	14.951167	0
128900	14.997522	1210
129100	15.043949	6520
129300	15.090447	0
129500	15.137017	0
129700	15.183659	1
129900	15.230373	0
130100	15.277159	0
130300	15.324016	0
130500	15.370945	0
130700	15.417946	0
130900	15.465018	2
131100	15.512163	0
131300	15.559379	0
131500	15.606666	0
131700	15.654026	0
131900	15.701457	0
132100	15.748960	0
132300	15.796535	0
132500	15.844182	0
132700	15.891900	0
132900	15.939690	0
133100	15.987552	136
133300	16.035485	133
133500	16.083490	0
133700	16.131567	0
133900	16.179716	0
134100	16.227937	0
134300	16.276229	0
134500	16.324593	0
134700	16.373029	0
134900	16.421536	0
135100	16.470115	0
135300	16.518766	0
135500	16.567489	0
135700	16.616284	0
135900	16.665150	0
136100	16.714088	0
136300	16.763098	0
136500	16.812179	0
136700	16.861332	0
136900	16.910557	0
137100	16.959854	1
137300	17.009223	177
137500	17.058663	1
137700	17.108175	0
137900	17.157759	0
138100	17.207414	0
138300	17.257141	0
138500	17.306940	0
138700	17.356811	0
138900	17.406754	0
139100	17.456768	0
139300	17.506854	0
139500	17.557012	0
139700	17.607241	0
139900	17.657542	0
140100	17.707915	0
140300	17.758360	0
140500	17.808877	0
140700	17.859465	0
140900	17.910125	0
141100	17.960856	0
141300	18.011660	925
141500	18.062535	314
141700	18.113482	4
141900	18.164501	0
142100	18.215591	0
142300	18.266754	0
142500	18.317988	0
142700	18.369293	0
142900	18.420671	0
143100	18.472120	0
143300	18.523641	0
143500	18.575234	0
143700	18.626898	0
143900	18.678634	0
144100	18.730442	0
144300	18.782322	0
144500	18.834273	1
144700	18.886297	0
144900	18.938392	0
145100	18.990558	90
145300	19.042797	194
145500	19.095107	0
145700	19.147489	0
145900	19.199943	0
146100	19.252468	0
146300	19.305065	0
146500	19.357734	0
146700	19.410475	0
146900	19.463287	0
147100	19.516172	0
147300	19.569128	0
147500	19.622155	0
147700	19.675255	0
147900	19.728426	0
148100	19.781669	0
148300	19.834984	0
148500	19.888370	0
148700	19.941828	0
148900	19.995358	8
149100	20.048960	0
149300	20.102633	1
149500	20.156379	0
149700	20.210195	0
149900	20.264084	0
150100	20.318045	0
150300	20.372077	0
150500	20.426181	0
150700	20.480356	0
150900	20.534604	0
151100	20.588923	0
151300	20.643314	0
151500	20.697777	0
151700	20.752311	1
151900	20.806917	0
152100	20.861595	2
152300	20.916345	1
152500	20.971166	0
152700	21.026059	0
152900	21.081024	0
153100	21.136061	0
153300	21.191169	0
153500	21.246350	0
153700	21.301602	0
153900	21.356925	0
154100	21.412321	0
154300	21.467788	0
154500	21.523327	2
154700	21.578937	0
154900	21.634620	0
155100	21.690374	0
155300	21.746200	0
155500	21.802098	0
155700	21.858067	1
155900	21.914108	0
156100	21.970221	0
156300	22.026406	1
156500	22.082662	0
156700	22.138990	0
156900	22.195390	0
157100	22.251862	0
157300	22.308405	0
157500	22.365020	0
157700	22.421707	2
157900	22.478466	0
158100	22.535296	0
158300	22.592198	0
158500	22.649172	0
158700	22.706218	0
158900	22.763335	1
159100	22.820525	1
159300	22.877785	60
159500	22.935118	88
159700	22.992522	1016743
159900	23.049999	6096
160100	23.107547	1224
160300	23.165166	736
160500	23.222858	508
160700	23.280621	335
160900	23.338456	247
161100	23.396362	182
161300	23.454341	144
161500	23.512391	106
161700	23.570513	87
161900	23.628706	87
162100	23.686972	55
162300	23.745309	57
162500	23.803718	52
162700	23.862198	51
162900	23.920751	44
163100	23.979375	772
163300	24.038071	35
163500	24.096838	14
163700	24.155678	25
163900	24.214589	18
164100	24.273572	19
164300	24.332626	17
164500	24.391753	14
164700	24.450951	7
164900	24.510221	10
165100	24.569562	10
165300	24.628976	13
165500	24.688461	8
165700	24.748018	12
165900	24.807646	10
166100	24.867347	11
166300	24.927119	3
166500	24.986963	729
166700	25.046878	21
166900	25.106865	7
167100	25.166925	7
167300	25.227055	11
167500	25.287258	3
167700	25.347532	1
167900	25.407879	6
168100	25.468296	1
168300	25.528786	1
168500	25.589347	3
168700	25.649980	4
168900	25.710685	2
169100	25.771462	3
169300	25.832310	2
169500	25.893230	3
169700	25.954222	119
169900	26.015286	2696
170100	26.076421	9
170300	26.137628	0
170500	26.198907	1
170700	26.260258	3
170900	26.321680	1
171100	26.383174	3
171300	26.444740	0
171500	26.506378	1
171700	26.568087	3
171900	26.629868	3
172100	26.691721	1
172300	26.753645	1
172500	26.815642	1
172700	26.877710	2
172900	26.939850	119
173100	27.002061	14127
173300	27.064345	187
173500	27.126700	3
173700	27.189126	0
173900	27.251625	6
174100	27.314195	2
174300	27.376837	1
174500	27.439551	1
174700	27.502337	2
174900	27.565194	0
175100	27.628123	1
175300	27.691124	0
175500	27.754197	0
175700	27.817341	2
175900	27.880557	4
176100	27.943845	1443
176300	28.007204	4416
176500	28.070636	53
176700	28.134139	4
176900	28.197714	0
177100	28.261360	1
177300	28.325078	0
177500	28.388868	0
177700	28.452730	4
177900	28.516664	1
178100	28.580669	1
178300	28.644746	1
178500	28.708895	0
178700	28.773116	1
178900	28.837408	1
179100	28.901772	4
179300	28.966208	1239
179500	29.030715	16811
179700	29.095295	43
179900	29.159946	5
180100	29.224668	3
180300	29.289463	1
180500	29.354329	3
180700	29.419267	2
180900	29.484277	3
181100	29.549359	0
181300	29.614512	1
181500	29.679737	0
181700	29.745034	1
181900	29.810402	2
182100	29.875843	2
182300	29.941355	70
182500	30.006938	2266
182700	30.072594	510
182900	30.138321	1
183100	30.204120	0
183300	30.269991	1
183500	30.335934	0
183700	30.401948	0
183900	30.468034	3
184100	30.534192	0
184300	30.600421	4
184500	30.666722	0
184700	30.733095	0
184900	30.799540	1
185100	30.866057	1
185300	30.932645	3
185500	30.999305	2508
185700	31.066037	89
185900	31.132840	0
186100	31.199716	1
186300	31.266663	5
