# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000234	0
300	0.000451	0
500	0.000740	0
700	0.001099	0
900	0.001530	0
1100	0.002031	0
1300	0.002603	0
1500	0.003246	0
1700	0.003960	0
1900	0.004745	0
2100	0.005601	0
2300	0.006528	0
2500	0.007526	0
2700	0.008594	0
2900	0.009734	0
3100	0.010944	0
3300	0.012226	0
3500	0.013578	0
3700	0.015002	0
3900	0.016496	0
4100	0.018061	0
4300	0.019697	0
4500	0.021404	0
4700	0.023182	0
4900	0.025031	0
5100	0.026951	0
5300	0.028941	0
5500	0.031003	0
5700	0.033136	0
5900	0.035339	0
6100	0.037614	0
6300	0.039959	0
6500	0.042375	0
6700	0.044862	0
6900	0.047421	0
7100	0.050050	0
7300	0.052750	0
7500	0.055521	0
7700	0.058362	0
7900	0.061275	0
8100	0.064259	0
8300	0.067313	0
8500	0.070439	0
8700	0.073635	0
8900	0.076903	0
9100	0.080241	0
9300	0.083650	0
9500	0.087131	0
9700	0.090682	0
9900	0.094304	0
10100	0.097997	0
10300	0.101761	0
10500	0.105595	0
10700	0.109501	0
10900	0.113478	0
11100	0.117525	0
11300	0.121644	0
11500	0.125833	0
11700	0.130094	0
11900	0.134425	0
12100	0.138827	0
12300	0.143300	0
12500	0.147844	0
12700	0.152459	0
12900	0.157145	0
13100	0.161902	0
13300	0.166730	0
13500	0.171629	0
13700	0.176598	0
13900	0.181639	0
14100	0.186750	0
14300	0.191933	0
14500	0.197186	0
14700	0.202510	0
14900	0.207905	0
15100	0.213372	0
15300	0.218909	0
15500	0.224517	0
15700	0.230195	0
15900	0.235945	0
16100	0.241766	0
16300	0.247658	0
16500	0.253620	0
16700	0.259654	0
16900	0.265758	0
17100	0.271934	0
17300	0.278180	0
17500	0.284497	0
17700	0.290885	0
17900	0.297344	0
18100	0.303874	0
18300	0.310475	0
18500	0.317147	0
18700	0.323890	0
18900	0.330704	0
19100	0.337588	0
19300	0.344544	0
19500	0.351570	0
19700	0.358668	0
19900	0.365836	0
20100	0.373075	0
20300	0.380386	0
20500	0.387767	0
20700	0.395219	0
20900	0.402742	0
21100	0.410336	0
21300	0.418000	0
21500	0.425736	0
21700	0.433543	0
21900	0.441420	0
22100	0.449369	0
22300	0.457388	0
22500	0.465479	0
22700	0.473640	0
22900	0.481872	0
23100	0.490176	0
23300	0.498550	0
23500	0.506995	0
23700	0.515511	0
23900	0.524097	0
24100	0.532755	0
24300	0.541484	0
24500	0.550284	0
24700	0.559154	0
24900	0.568096	0
25100	0.577108	0
25300	0.586191	0
25500	0.595346	0
25700	0.604571	0
25900	0.613867	0
26100	0.623234	0
26300	0.632672	0
26500	0.642181	0
26700	0.651761	0
26900	0.661412	0
27100	0.671133	0
27300	0.680926	0
27500	0.690790	0
27700	0.700724	0
27900	0.710729	0
28100	0.720806	0
28300	0.730953	0
28500	0.741171	0
28700	0.751460	0
28900	0.761820	0
29100	0.772251	0
29300	0.782753	0
29500	0.793326	0
29700	0.803970	0
29900	0.814684	0
30100	0.825470	0
30300	0.836326	0
30500	0.847254	0
30700	0.858252	0
30900	0.869321	0
31100	0.880462	0
31300	0.891673	0
31500	0.902955	0
31700	0.914308	1
31900	0.925732	0
32100	0.937227	0
32300	0.948792	0
32500	0.960429	0
32700	0.972137	0
32900	0.983915	0
33100	0.995765	0
33300	1.007685	9505
33500	1.019677	13
33700	1.031739	0
33900	1.043872	0
34100	1.056076	0
34300	1.068351	0
34500	1.080697	0
34700	1.093114	0
34900	1.105602	0
35100	1.118161	0
35300	1.130790	0
35500	1.143491	0
35700	1.156262	0
35900	1.169105	0
36100	1.182018	0
36300	1.195002	0
36500	1.208058	0
36700	1.221184	0
36900	1.234381	0
37100	1.247649	0
37300	1.260988	0
37500	1.274398	0
37700	1.287878	0
37900	1.301430	0
38100	1.315053	0
38300	1.328746	0
38500	1.342511	0
38700	1.356346	0
38900	1.370253	0
39100	1.384230	0
39300	1.398278	0
39500	1.412397	0
39700	1.426587	0
39900	1.440848	0
40100	1.455180	0
40300	1.469583	0
40500	1.484057	0
40700	1.498601	0
40900	1.513217	0
41100	1.527904	0
41300	1.542661	0
41500	1.557489	0
41700	1.572389	0
41900	1.587359	0
42100	1.602400	0
42300	1.617512	0
42500	1.632695	0
42700	1.647949	0
42900	1.663274	0
43100	1.678670	0
43300	1.694137	0
43500	1.709674	0
43700	1.725283	0
43900	1.740962	0
44100	1.756713	0
44300	1.772534	0
44500	1.788426	0
44700	1.804390	0
44900	1.820424	0
45100	1.836529	0
45300	1.852705	0
45500	1.868952	0
45700	1.885269	0
45900	1.901658	0
46100	1.918118	0
46300	1.934649	0
46500	1.951250	0
46700	1.967923	0
46900	1.984666	0
47100	2.001480	0
47300	2.018366	428
47500	2.035322	0
47700	2.052349	0
47900	2.069447	0
48100	2.086616	0
48300	2.103856	1
48500	2.121166	1
48700	2.138548	0
48900	2.156001	0
49100	2.173524	0
49300	2.191119	0
49500	2.208784	0
49700	2.226521	0
49900	2.244328	0
50100	2.262206	0
50300	2.280155	0
50500	2.298175	0
50700	2.316266	0
50900	2.334428	0
51100	2.352661	0
51300	2.370965	0
51500	2.389340	0
51700	2.407785	0
51900	2.426302	0
52100	2.444889	0
52300	2.463548	0
52500	2.482277	1
52700	2.501077	0
52900	2.519949	0
53100	2.538891	0
53300	2.557904	0
53500	2.576988	0
53700	2.596143	0
53900	2.615368	0
54100	2.634665	0
54300	2.654033	0
54500	2.673471	0
54700	2.692981	0
54900	2.712561	0
55100	2.732213	0
55300	2.751935	0
55500	2.771728	0
55700	2.791592	0
55900	2.811528	0
56100	2.831534	0
56300	2.851610	0
56500	2.871758	0
56700	2.891977	0
56900	2.912267	0
57100	2.932627	0
57300	2.953059	0
57500	2.973562	0
57700	2.994135	0
57900	3.014779	77
58100	3.035495	2
58300	3.056281	0
58500	3.077138	0
58700	3.098066	0
58900	3.119065	0
59100	3.140135	0
59300	3.161276	0
59500	3.182487	0
59700	3.203770	0
59900	3.225124	0
60100	3.246548	0
60300	3.268044	0
