# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000401	0
300	0.000675	0
500	0.001020	0
700	0.001436	0
900	0.001922	0
1100	0.002480	0
1300	0.003108	0
1500	0.003808	0
1700	0.004578	0
1900	0.005419	0
2100	0.006331	0
2300	0.007314	0
2500	0.008367	0
2700	0.009492	0
2900	0.010688	0
3100	0.011954	0
3300	0.013291	0
3500	0.014699	0
3700	0.016178	0
3900	0.017728	0
4100	0.019349	0
4300	0.021041	0
4500	0.022804	0
4700	0.024637	0
4900	0.026541	0
5100	0.028517	0
5300	0.030563	0
5500	0.032680	0
5700	0.034868	0
5900	0.037127	0
6100	0.039456	0
6300	0.041857	0
6500	0.044328	0
6700	0.046871	0
6900	0.049484	0
7100	0.052168	0
7300	0.054923	0
7500	0.057749	0
7700	0.060646	0
7900	0.063614	0
8100	0.066652	0
8300	0.069762	0
8500	0.072942	0
8700	0.076193	0
8900	0.079516	0
9100	0.082909	0
9300	0.086372	0
9500	0.089907	0
9700	0.093513	0
9900	0.097190	0
10100	0.100937	0
10300	0.104755	0
10500	0.108645	0
10700	0.112605	0
10900	0.116636	0
11100	0.120738	0
11300	0.124910	0
11500	0.129154	0
11700	0.133469	0
11900	0.137854	0
12100	0.142310	0
12300	0.146838	0
12500	0.151436	0
12700	0.156105	0
12900	0.160845	0
13100	0.165655	0
13300	0.170537	0
13500	0.175490	0
13700	0.180513	0
13900	0.185607	0
14100	0.190773	0
14300	0.196009	0
14500	0.201316	0
14700	0.206694	0
14900	0.212142	0
15100	0.217662	0
15300	0.223253	0
15500	0.228914	0
15700	0.234646	0
15900	0.240450	0
16100	0.246324	0
16300	0.252269	0
16500	0.258285	0
16700	0.264371	0
16900	0.270529	0
17100	0.276758	0
17300	0.283057	0
17500	0.289427	0
17700	0.295868	0
17900	0.302381	0
18100	0.308964	0
18300	0.315617	0
18500	0.322342	0
18700	0.329138	0
18900	0.336004	0
19100	0.342942	0
19300	0.349950	0
19500	0.357029	0
19700	0.364179	0
19900	0.371400	0
20100	0.378692	0
20300	0.386055	0
20500	0.393488	0
20700	0.400993	0
20900	0.408568	0
21100	0.416215	0
21300	0.423932	0
21500	0.431720	0
21700	0.439579	0
21900	0.447509	0
22100	0.455509	0
22300	0.463581	0
22500	0.471724	0
22700	0.479937	0
22900	0.488221	0
23100	0.496576	0
23300	0.505002	0
23500	0.513499	0
23700	0.522067	0
23900	0.530706	1
24100	0.539416	0
24300	0.548196	0
24500	0.557047	0
24700	0.565970	0
24900	0.574963	0
25100	0.584027	0
25300	0.593162	0
25500	0.602368	0
25700	0.611644	0
25900	0.620992	0
26100	0.630410	0
26300	0.639900	0
26500	0.649460	0
26700	0.659091	0
26900	0.668793	0
27100	0.678566	0
27300	0.688410	0
27500	0.698325	0
27700	0.708310	0
27900	0.718367	0
28100	0.728494	0
28300	0.738692	0
28500	0.748962	0
28700	0.759302	0
28900	0.769712	0
29100	0.780194	0
29300	0.790747	0
29500	0.801371	0
29700	0.812065	0
29900	0.822830	0
30100	0.833667	0
30300	0.844574	0
30500	0.855552	0
30700	0.866601	0
30900	0.877720	0
31100	0.888911	0
31300	0.900173	0
31500	0.911505	0
31700	0.922908	0
31900	0.934383	0
32100	0.945928	1
32300	0.957544	0
32500	0.969231	0
32700	0.980988	0
32900	0.992817	0
33100	1.004717	2837
33300	1.016687	15
33500	1.028728	0
33700	1.040841	0
33900	1.053024	0
34100	1.065278	0
34300	1.077603	0
34500	1.089998	0
34700	1.102465	0
34900	1.115003	0
35100	1.127611	0
35300	1.140290	0
35500	1.153041	0
35700	1.165862	0
35900	1.178754	0
36100	1.191717	0
36300	1.204750	0
36500	1.217855	0
36700	1.231031	0
36900	1.244277	0
37100	1.257594	0
