# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000226	0
300	0.000445	0
500	0.000738	0
700	0.001105	0
900	0.001544	0
1100	0.002058	0
1300	0.002645	0
1500	0.003305	0
1700	0.004040	0
1900	0.004847	0
2100	0.005729	0
2300	0.006683	0
2500	0.007712	0
2700	0.008814	0
2900	0.009989	0
3100	0.011238	0
3300	0.012561	0
3500	0.013957	0
3700	0.015427	0
3900	0.016970	0
4100	0.018587	0
4300	0.020278	0
4500	0.022042	0
4700	0.023880	0
4900	0.025791	0
5100	0.027775	0
5300	0.029834	0
5500	0.031966	0
5700	0.034171	0
5900	0.036450	0
6100	0.038802	0
6300	0.041229	0
6500	0.043728	0
6700	0.046301	0
6900	0.048948	0
7100	0.051669	0
7300	0.054463	0
7500	0.057330	0
7700	0.060271	0
7900	0.063286	0
8100	0.066374	0
8300	0.069536	0
8500	0.072771	0
8700	0.076080	1
8900	0.079462	0
9100	0.082918	0
9300	0.086448	0
9500	0.090051	0
9700	0.093728	0
9900	0.097478	0
10100	0.101302	0
10300	0.105199	0
10500	0.109170	0
10700	0.113214	0
10900	0.117332	0
11100	0.121524	0
11300	0.125789	0
11500	0.130128	0
11700	0.134540	0
11900	0.139026	0
12100	0.143586	0
12300	0.148219	0
12500	0.152925	0
12700	0.157705	0
12900	0.162559	0
13100	0.167486	0
13300	0.172487	0
13500	0.177562	0
13700	0.182709	0
13900	0.187931	0
14100	0.193226	0
14300	0.198595	0
14500	0.204037	0
14700	0.209553	0
14900	0.215142	0
15100	0.220805	0
15300	0.226541	0
15500	0.232351	0
15700	0.238235	0
15900	0.244192	0
16100	0.250223	0
16300	0.256327	0
16500	0.262505	0
16700	0.268756	0
16900	0.275081	0
17100	0.281480	1
17300	0.287952	0
17500	0.294497	0
17700	0.301117	0
17900	0.307809	0
18100	0.314576	0
18300	0.321416	0
18500	0.328329	0
18700	0.335316	0
18900	0.342377	0
19100	0.349511	0
19300	0.356719	0
19500	0.364000	0
19700	0.371355	0
19900	0.378783	0
20100	0.386285	0
20300	0.393861	0
20500	0.401510	0
20700	0.409232	0
20900	0.417029	0
21100	0.424898	1
21300	0.432842	0
21500	0.440859	0
21700	0.448949	0
21900	0.457113	0
22100	0.465351	0
22300	0.473662	0
22500	0.482047	0
22700	0.490505	0
22900	0.499037	0
23100	0.507642	0
23300	0.516321	0
23500	0.525074	0
23700	0.533900	0
23900	0.542799	0
24100	0.551773	0
24300	0.560819	0
24500	0.569940	0
24700	0.579134	0
24900	0.588401	0
25100	0.597742	0
25300	0.607157	0
25500	0.616645	0
25700	0.626207	0
25900	0.635842	0
26100	0.645551	0
26300	0.655333	0
26500	0.665189	0
26700	0.675119	0
26900	0.685122	0
27100	0.695199	0
27300	0.705349	0
27500	0.715573	0
27700	0.725870	0
27900	0.736241	0
28100	0.746686	0
28300	0.757204	0
28500	0.767795	0
28700	0.778460	0
28900	0.789199	0
29100	0.800011	0
29300	0.810897	0
29500	0.821857	0
29700	0.832890	0
29900	0.843996	0
30100	0.855176	0
30300	0.866430	0
30500	0.877757	0
30700	0.889158	0
30900	0.900633	0
31100	0.912181	0
31300	0.923802	0
31500	0.935497	0
31700	0.947266	0
31900	0.959108	0
32100	0.971024	1
32300	0.983013	0
32500	0.995076	0
32700	1.007212	25809
32900	1.019422	6
33100	1.031706	1
33300	1.044063	0
33500	1.056494	1
33700	1.068998	0
33900	1.081576	0
34100	1.094227	0
34300	1.106952	1
34500	1.119751	0
34700	1.132623	0
34900	1.145569	0
35100	1.158588	0
35300	1.171680	0
35500	1.184847	0
35700	1.198087	0
35900	1.211400	0
36100	1.224787	0
36300	1.238248	0
36500	1.251782	0
36700	1.265390	0
36900	1.279071	0
37100	1.292826	0
37300	1.306654	0
37500	1.320556	0
37700	1.334532	0
37900	1.348581	0
38100	1.362703	0
38300	1.376900	0
38500	1.391169	0
38700	1.405513	0
38900	1.419930	0
39100	1.434420	0
39300	1.448984	0
39500	1.463622	0
39700	1.478333	0
39900	1.493118	0
40100	1.507976	0
40300	1.522908	0
40500	1.537913	0
40700	1.552992	0
40900	1.568145	0
41100	1.583371	0
41300	1.598671	0
41500	1.614044	0
41700	1.629491	0
41900	1.645011	0
42100	1.660605	0
42300	1.676272	0
42500	1.692013	0
42700	1.707828	0
42900	1.723716	0
43100	1.739678	0
43300	1.755713	0
43500	1.771822	0
43700	1.788004	0
43900	1.804260	0
44100	1.820590	0
44300	1.836993	0
44500	1.853470	0
44700	1.870020	0
44900	1.886644	0
45100	1.903341	0
45300	1.920112	0
45500	1.936957	0
45700	1.953875	0
45900	1.970866	0
46100	1.987931	0
46300	2.005070	2
46500	2.022283	1163
46700	2.039568	0
46900	2.056928	1
47100	2.074361	0
47300	2.091867	0
47500	2.109448	0
47700	2.127101	0
47900	2.144828	0
48100	2.162629	0
48300	2.180504	0
48500	2.198452	0
48700	2.216473	0
48900	2.234568	0
49100	2.252737	0
49300	2.270979	0
49500	2.289295	0
49700	2.307684	0
49900	2.326147	0
50100	2.344683	0
50300	2.363293	0
50500	2.381977	0
50700	2.400734	0
50900	2.419565	0
51100	2.438469	0
51300	2.457447	0
51500	2.476498	0
51700	2.495623	0
51900	2.514822	0
52100	2.534094	0
52300	2.553440	0
52500	2.572859	0
52700	2.592351	0
52900	2.611918	0
53100	2.631558	0
53300	2.651271	0
53500	2.671058	0
53700	2.690919	0
53900	2.710853	0
54100	2.730861	1
54300	2.750942	0
54500	2.771097	0
54700	2.791325	0
54900	2.811627	0
55100	2.832003	0
55300	2.852452	0
55500	2.872974	0
55700	2.893571	0
55900	2.914240	0
56100	2.934984	0
56300	2.955801	0
56500	2.976691	0
56700	2.997655	0
56900	3.018693	210
57100	3.039804	0
57300	3.060989	0
57500	3.082247	0
57700	3.103579	0
57900	3.124984	0
58100	3.146463	0
58300	3.168016	0
58500	3.189642	0
58700	3.211341	0
58900	3.233115	0
59100	3.254961	0
59300	3.276882	0
59500	3.298876	0
59700	3.320943	0
59900	3.343084	0
60100	3.365299	0
60300	3.387587	0
60500	3.409949	0
60700	3.432384	0
60900	3.454893	0
61100	3.477475	0
61300	3.500131	0
61500	3.522861	0
61700	3.545664	0
61900	3.568541	0
62100	3.591491	0
