# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000239	0
300	0.000463	0
500	0.000761	0
700	0.001133	0
900	0.001577	0
1100	0.002096	0
1300	0.002688	0
1500	0.003354	0
1700	0.004093	0
1900	0.004906	0
2100	0.005792	0
2300	0.006752	0
2500	0.007786	0
2700	0.008893	0
2900	0.010073	0
3100	0.011327	0
3300	0.012655	0
3500	0.014056	0
3700	0.015531	0
3900	0.017080	0
4100	0.018702	0
4300	0.020397	0
4500	0.022166	0
4700	0.024009	0
4900	0.025925	0
5100	0.027915	0
5300	0.029979	0
5500	0.032116	0
5700	0.034326	0
5900	0.036610	0
6100	0.038968	0
6300	0.041399	0
6500	0.043904	0
6700	0.046482	0
6900	0.049134	0
7100	0.051859	0
7300	0.054658	0
7500	0.057531	0
7700	0.060477	0
7900	0.063497	0
8100	0.066590	0
8300	0.069757	0
8500	0.072997	0
8700	0.076311	0
8900	0.079699	0
9100	0.083160	0
9300	0.086695	0
9500	0.090303	0
9700	0.093985	0
9900	0.097740	0
10100	0.101569	0
10300	0.105471	0
10500	0.109447	0
10700	0.113497	0
10900	0.117620	0
11100	0.121817	0
11300	0.126087	0
11500	0.130431	0
11700	0.134848	0
11900	0.139339	0
12100	0.143904	0
12300	0.148542	0
12500	0.153254	0
12700	0.158039	0
12900	0.162898	0
13100	0.167830	0
13300	0.172836	0
13500	0.177916	0
13700	0.183069	0
13900	0.188295	0
14100	0.193596	0
14300	0.198969	0
14500	0.204417	0
14700	0.209937	0
14900	0.215532	0
15100	0.221200	0
15300	0.226941	0
15500	0.232757	0
15700	0.238645	0
15900	0.244608	0
16100	0.250643	0
16300	0.256753	0
16500	0.262936	0
16700	0.269192	0
16900	0.275522	0
17100	0.281926	0
17300	0.288403	0
17500	0.294954	0
17700	0.301578	0
17900	0.308276	0
18100	0.315048	0
18300	0.321893	0
18500	0.328811	0
18700	0.335803	0
18900	0.342869	0
19100	0.350008	0
19300	0.357221	0
19500	0.364508	0
19700	0.371868	0
19900	0.379301	0
20100	0.386808	0
20300	0.394389	0
20500	0.402043	0
20700	0.409771	0
20900	0.417572	0
21100	0.425447	0
21300	0.433396	0
21500	0.441418	0
21700	0.449513	0
21900	0.457683	0
22100	0.465925	0
22300	0.474242	0
22500	0.482632	0
22700	0.491095	0
22900	0.499632	0
23100	0.508243	0
23300	0.516927	0
23500	0.525684	0
23700	0.534516	0
23900	0.543420	0
24100	0.552399	0
24300	0.561451	0
24500	0.570576	0
24700	0.579775	0
24900	0.589048	0
25100	0.598394	0
25300	0.607814	0
25500	0.617307	0
25700	0.626874	0
25900	0.636515	0
26100	0.646229	0
26300	0.656016	0
26500	0.665877	0
26700	0.675812	0
26900	0.685820	0
27100	0.695902	0
27300	0.706058	0
27500	0.716286	0
27700	0.726589	0
27900	0.736965	0
28100	0.747415	0
28300	0.757938	0
28500	0.768535	0
28700	0.779205	0
28900	0.789949	0
29100	0.800766	0
29300	0.811658	0
29500	0.822622	0
29700	0.833660	0
29900	0.844772	0
30100	0.855957	0
30300	0.867216	0
30500	0.878549	0
30700	0.889955	0
30900	0.901434	0
31100	0.912987	0
31300	0.924614	0
31500	0.936314	0
31700	0.948088	0
31900	0.959935	0
32100	0.971856	0
32300	0.983851	1
32500	0.995919	1
32700	1.008060	7939
32900	1.020276	4
33100	1.032564	0
33300	1.044927	0
33500	1.057363	0
33700	1.069872	0
33900	1.082455	0
34100	1.095112	0
34300	1.107842	1
34500	1.120645	0
34700	1.133523	0
34900	1.146473	0
35100	1.159498	0
35300	1.172596	0
35500	1.185767	0
35700	1.199012	0
35900	1.212331	0
36100	1.225723	0
36300	1.239189	0
36500	1.252728	0
36700	1.266341	0
36900	1.280028	0
37100	1.293788	0
37300	1.307621	0
37500	1.321528	0
37700	1.335509	0
37900	1.349563	0
38100	1.363691	0
38300	1.377893	0
38500	1.392168	0
38700	1.406516	0
38900	1.420938	0
39100	1.435434	0
39300	1.450003	0
39500	1.464646	0
39700	1.479362	0
39900	1.494152	0
40100	1.509016	0
40300	1.523953	0
40500	1.538963	0
40700	1.554048	0
40900	1.569205	0
41100	1.584437	0
41300	1.599742	0
41500	1.615120	0
41700	1.630572	0
41900	1.646098	0
42100	1.661697	0
42300	1.677369	0
42500	1.693116	0
42700	1.708935	0
42900	1.724829	0
43100	1.740796	0
43300	1.756836	0
43500	1.772950	0
43700	1.789138	0
43900	1.805399	0
44100	1.821734	0
44300	1.838142	0
44500	1.854624	0
44700	1.871180	0
44900	1.887809	0
45100	1.904511	0
45300	1.921287	0
45500	1.938137	0
45700	1.955060	0
45900	1.972057	0
46100	1.989127	1
46300	2.006271	168
46500	2.023489	333
46700	2.040780	1
46900	2.058145	0
47100	2.075583	0
47300	2.093095	0
47500	2.110680	0
47700	2.128339	0
47900	2.146071	0
48100	2.163877	0
48300	2.181757	0
48500	2.199710	0
48700	2.217737	0
48900	2.235837	0
49100	2.254011	0
49300	2.272259	0
49500	2.290579	0
49700	2.308974	0
49900	2.327442	0
50100	2.345984	0
50300	2.364599	0
50500	2.383288	0
50700	2.402050	0
50900	2.420886	0
51100	2.439796	0
51300	2.458779	0
51500	2.477835	0
51700	2.496966	0
51900	2.516169	0
52100	2.535447	0
52300	2.554797	0
52500	2.574222	0
52700	2.593720	0
52900	2.613291	0
53100	2.632937	0
53300	2.652655	0
53500	2.672448	0
53700	2.692313	0
53900	2.712253	0
54100	2.732266	0
54300	2.752352	0
54500	2.772512	0
54700	2.792746	0
54900	2.813053	0
55100	2.833434	0
55300	2.853888	0
55500	2.874416	0
55700	2.895018	0
55900	2.915693	0
56100	2.936441	0
56300	2.957263	0
56500	2.978159	0
56700	2.999128	0
56900	3.020171	94
57100	3.041288	0
57300	3.062478	0
57500	3.083741	0
57700	3.105078	0
57900	3.126489	0
58100	3.147973	0
58300	3.169531	1
58500	3.191162	0
58700	3.212867	0
58900	3.234646	0
59100	3.256498	0
59300	3.278423	0
59500	3.300422	0
59700	3.322495	0
59900	3.344642	0
60100	3.366861	0
60300	3.389155	0
60500	3.411522	0
60700	3.433962	0
60900	3.456476	0
61100	3.479064	0
61300	3.501725	0
61500	3.524460	0
61700	3.547269	0
61900	3.570151	0
62100	3.593106	0
62300	3.616135	0
62500	3.639238	0
62700	3.662414	0
62900	3.685664	0
63100	3.708987	0
63300	3.732384	0
63500	3.755854	0
63700	3.779398	0
63900	3.803016	0
64100	3.826707	0
64300	3.850472	0
64500	3.874310	0
64700	3.898222	0
64900	3.922207	0
65100	3.946266	0
65300	3.970399	0
65500	3.994605	0
65700	4.018884	0
65900	4.043238	0
66100	4.067664	0
66300	4.092165	0
66500	4.116739	0
66700	4.141386	0
66900	4.166107	0
67100	4.190902	0
67300	4.215770	0
67500	4.240712	0
67700	4.265727	0
67900	4.290816	1
68100	4.315978	0
68300	4.341214	0
68500	4.366524	0
68700	4.391907	0
68900	4.417364	0
69100	4.442894	0
69300	4.468498	0
69500	4.494175	0
69700	4.519926	0
69900	4.545750	0
70100	4.571648	0
70300	4.597620	0
70500	4.623665	0
70700	4.649784	0
70900	4.675976	0
71100	4.702242	0
71300	4.728582	0
71500	4.754995	0
71700	4.781481	0
71900	4.808041	0
72100	4.834675	0
72300	4.861382	0
72500	4.888163	0
72700	4.915017	0
72900	4.941945	0
73100	4.968947	0
73300	4.996022	0
73500	5.023171	0
73700	5.050393	0
73900	5.077689	0
74100	5.105058	0
74300	5.132501	0
74500	5.160017	0
74700	5.187607	0
74900	5.215271	0
75100	5.243008	0
75300	5.270819	0
75500	5.298703	0
75700	5.326661	0
