# Binning: 200 channels
# Deadtime Correction: on
Channel	m/z	Intensity
100	0.000197	0
300	0.000404	0
500	0.000685	0
700	0.001040	0
900	0.001468	0
1100	0.001969	0
1300	0.002545	0
1500	0.003194	0
1700	0.003916	0
1900	0.004712	0
2100	0.005582	0
2300	0.006525	0
2500	0.007542	0
2700	0.008633	0
2900	0.009797	0
3100	0.011035	0
3300	0.012346	0
3500	0.013731	0
3700	0.015190	0
3900	0.016722	0
4100	0.018328	0
4300	0.020008	0
4500	0.021761	0
4700	0.023587	0
4900	0.025488	0
5100	0.027462	0
5300	0.029509	0
5500	0.031631	0
5700	0.033825	0
5900	0.036094	0
6100	0.038436	0
6300	0.040851	0
6500	0.043341	0
6700	0.045904	0
6900	0.048540	0
7100	0.051250	0
7300	0.054034	0
7500	0.056891	0
7700	0.059822	0
7900	0.062827	0
8100	0.065905	0
8300	0.069057	0
8500	0.072282	0
8700	0.075581	0
8900	0.078954	0
9100	0.082400	0
9300	0.085920	0
9500	0.089513	0
9700	0.093181	0
9900	0.096921	0
10100	0.100736	0
10300	0.104624	0
10500	0.108585	0
10700	0.112620	0
10900	0.116729	0
11100	0.120911	0
11300	0.125167	0
11500	0.129497	0
11700	0.133900	0
11900	0.138377	0
12100	0.142928	0
12300	0.147552	0
12500	0.152249	0
12700	0.157021	0
12900	0.161866	0
13100	0.166784	0
13300	0.171776	0
13500	0.176842	0
13700	0.181982	0
13900	0.187195	0
14100	0.192481	0
14300	0.197841	0
14500	0.203275	0
14700	0.208783	0
14900	0.214364	0
15100	0.220019	0
15300	0.225747	0
15500	0.231549	0
15700	0.237424	0
15900	0.243373	0
16100	0.249396	0
16300	0.255493	0
16500	0.261663	0
16700	0.267906	0
16900	0.274223	0
17100	0.280614	0
17300	0.287079	0
17500	0.293617	0
17700	0.300229	0
17900	0.306914	0
18100	0.313673	0
18300	0.320505	0
18500	0.327411	0
18700	0.334391	0
18900	0.341445	0
19100	0.348572	0
19300	0.355772	0
19500	0.363046	0
19700	0.370394	0
19900	0.377816	1
20100	0.385311	0
20300	0.392879	0
20500	0.400522	0
20700	0.408238	0
20900	0.416027	0
21100	0.423890	0
21300	0.431827	0
21500	0.439837	0
21700	0.447921	0
21900	0.456079	0
22100	0.464310	0
22300	0.472615	1
22500	0.480993	0
22700	0.489445	0
22900	0.497971	0
23100	0.506570	0
23300	0.515243	0
23500	0.523990	0
23700	0.532810	0
23900	0.541704	0
24100	0.550671	0
24300	0.559712	0
24500	0.568827	0
24700	0.578015	0
24900	0.587277	0
25100	0.596612	0
25300	0.606021	0
25500	0.615504	0
25700	0.625060	0
25900	0.634690	0
26100	0.644393	0
26300	0.654171	0
26500	0.664021	0
26700	0.673946	0
26900	0.683944	0
27100	0.694015	0
27300	0.704160	0
27500	0.714379	0
27700	0.724672	0
27900	0.735038	0
28100	0.745477	0
28300	0.755991	0
28500	0.766577	0
28700	0.777238	0
28900	0.787972	0
29100	0.798780	0
29300	0.809661	0
29500	0.820616	0
29700	0.831645	0
29900	0.842747	0
30100	0.853923	0
30300	0.865172	0
30500	0.876495	0
30700	0.887892	0
30900	0.899362	0
31100	0.910906	0
31300	0.922523	0
31500	0.934214	0
31700	0.945979	0
31900	0.957817	0
32100	0.969729	0
32300	0.981715	0
32500	0.993774	0
32700	1.005907	10730
32900	1.018113	4
33100	1.030393	1
33300	1.042747	0
33500	1.055174	1
33700	1.067675	0
33900	1.080250	0
34100	1.092898	1
34300	1.105619	0
34500	1.118415	0
34700	1.131284	0
34900	1.144226	1
35100	1.157242	0
35300	1.170332	0
35500	1.183496	1
35700	1.196733	0
35900	1.210043	1
36100	1.223427	0
36300	1.236885	0
36500	1.250417	0
36700	1.264022	0
36900	1.277701	0
37100	1.291453	0
37300	1.305279	0
37500	1.319178	0
37700	1.333151	0
37900	1.347198	0
38100	1.361319	0
38300	1.375513	1
38500	1.389780	0
38700	1.404121	0
38900	1.418536	0
39100	1.433025	0
39300	1.447587	0
39500	1.462223	0
39700	1.476932	0
39900	1.491715	0
40100	1.506571	0
40300	1.521501	0
40500	1.536505	0
40700	1.551583	0
40900	1.566734	0
41100	1.581958	0
41300	1.597256	0
41500	1.612628	0
41700	1.628074	0
41900	1.643593	0
42100	1.659185	0
42300	1.674852	0
42500	1.690592	0
42700	1.706405	0
42900	1.722292	0
43100	1.738253	0
43300	1.754287	0
43500	1.770395	0
43700	1.786577	0
43900	1.802832	0
44100	1.819161	0
44300	1.835564	0
44500	1.852040	0
44700	1.868589	0
44900	1.885213	0
45100	1.901909	0
45300	1.918680	0
45500	1.935524	0
45700	1.952442	0
45900	1.969433	0
46100	1.986498	0
46300	2.003637	0
46500	2.020849	302
46700	2.038135	0
46900	2.055494	0
47100	2.072927	0
47300	2.090434	0
47500	2.108014	0
47700	2.125668	0
